排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol,持仓量
1,中信期货,8471.0,-1775.0,2025-08-18,sn2509,成交量,SN,
2,国泰君安,6844.0,-1309.0,2025-08-18,sn2509,成交量,SN,
3,东证期货,5439.0,-941.0,2025-08-18,sn2509,成交量,SN,
4,中泰期货,4771.0,-2183.0,2025-08-18,sn2509,成交量,SN,
5,华泰期货,2400.0,-676.0,2025-08-18,sn2509,成交量,SN,
6,广发期货,2350.0,155.0,2025-08-18,sn2509,成交量,SN,
7,浙商期货,2215.0,-1097.0,2025-08-18,sn2509,成交量,SN,
8,瑞达期货,2066.0,-404.0,2025-08-18,sn2509,成交量,SN,
9,方正中期,1953.0,77.0,2025-08-18,sn2509,成交量,SN,
10,南华期货,1909.0,-560.0,2025-08-18,sn2509,成交量,SN,
11,申万期货,1657.0,-678.0,2025-08-18,sn2509,成交量,SN,
12,银河期货,1494.0,-769.0,2025-08-18,sn2509,成交量,SN,
13,华闻期货,1351.0,-914.0,2025-08-18,sn2509,成交量,SN,
14,海通期货,1232.0,-496.0,2025-08-18,sn2509,成交量,SN,
15,中信建投,1022.0,27.0,2025-08-18,sn2509,成交量,SN,
16,国联期货,895.0,-714.0,2025-08-18,sn2509,成交量,SN,
17,徽商期货,892.0,-30.0,2025-08-18,sn2509,成交量,SN,
18,国投期货,861.0,-731.0,2025-08-18,sn2509,成交量,SN,
19,信达期货,814.0,12.0,2025-08-18,sn2509,成交量,SN,
20,国元期货,775.0,-282.0,2025-08-18,sn2509,成交量,SN,
1,国泰君安,17048.0,10204.0,2025-08-19,sn2509,成交量,SN,
2,中信期货,8514.0,43.0,2025-08-19,sn2509,成交量,SN,
3,中泰期货,6456.0,1685.0,2025-08-19,sn2509,成交量,SN,
4,东证期货,5788.0,349.0,2025-08-19,sn2509,成交量,SN,
5,浙商期货,2908.0,693.0,2025-08-19,sn2509,成交量,SN,
6,华泰期货,2577.0,177.0,2025-08-19,sn2509,成交量,SN,
7,瑞达期货,2432.0,366.0,2025-08-19,sn2509,成交量,SN,
8,广发期货,2090.0,-260.0,2025-08-19,sn2509,成交量,SN,
9,国联期货,2082.0,1187.0,2025-08-19,sn2509,成交量,SN,
10,银河期货,2061.0,567.0,2025-08-19,sn2509,成交量,SN,
11,申万期货,1935.0,278.0,2025-08-19,sn2509,成交量,SN,
12,华闻期货,1759.0,408.0,2025-08-19,sn2509,成交量,SN,
13,方正中期,1679.0,-274.0,2025-08-19,sn2509,成交量,SN,
14,海通期货,1596.0,364.0,2025-08-19,sn2509,成交量,SN,
15,南华期货,1317.0,-592.0,2025-08-19,sn2509,成交量,SN,
16,国投期货,1172.0,311.0,2025-08-19,sn2509,成交量,SN,
17,光大期货,1169.0,407.0,2025-08-19,sn2509,成交量,SN,
18,国元期货,1097.0,322.0,2025-08-19,sn2509,成交量,SN,
19,中信建投,1064.0,42.0,2025-08-19,sn2509,成交量,SN,
20,招商期货,1026.0,529.0,2025-08-19,sn2509,成交量,SN,
1,国泰君安,22931.0,5883.0,2025-08-20,sn2509,成交量,SN,
2,中信期货,11906.0,3392.0,2025-08-20,sn2509,成交量,SN,
3,东证期货,8470.0,2682.0,2025-08-20,sn2509,成交量,SN,
4,中泰期货,8283.0,1827.0,2025-08-20,sn2509,成交量,SN,
5,华泰期货,4247.0,1670.0,2025-08-20,sn2509,成交量,SN,
6,广发期货,3725.0,1635.0,2025-08-20,sn2509,成交量,SN,
7,浙商期货,3683.0,775.0,2025-08-20,sn2509,成交量,SN,
8,海通期货,2984.0,1388.0,2025-08-20,sn2509,成交量,SN,
9,银河期货,2644.0,583.0,2025-08-20,sn2509,成交量,SN,
10,申万期货,2568.0,633.0,2025-08-20,sn2509,成交量,SN,
11,华闻期货,2460.0,701.0,2025-08-20,sn2509,成交量,SN,
12,瑞达期货,2257.0,-175.0,2025-08-20,sn2509,成交量,SN,
13,南华期货,2181.0,864.0,2025-08-20,sn2509,成交量,SN,
14,方正中期,2098.0,419.0,2025-08-20,sn2509,成交量,SN,
15,中信建投,1793.0,729.0,2025-08-20,sn2509,成交量,SN,
16,光大期货,1781.0,612.0,2025-08-20,sn2509,成交量,SN,
17,信达期货,1598.0,967.0,2025-08-20,sn2509,成交量,SN,
18,徽商期货,1523.0,535.0,2025-08-20,sn2509,成交量,SN,
19,国联期货,1468.0,-614.0,2025-08-20,sn2509,成交量,SN,
20,国元期货,1408.0,311.0,2025-08-20,sn2509,成交量,SN,
1,中信期货,8451.0,-3455.0,2025-08-21,sn2509,成交量,SN,
2,国泰君安,7264.0,-15667.0,2025-08-21,sn2509,成交量,SN,
3,中泰期货,6105.0,-2178.0,2025-08-21,sn2509,成交量,SN,
4,东证期货,5776.0,-2694.0,2025-08-21,sn2509,成交量,SN,
5,浙商期货,2669.0,-1014.0,2025-08-21,sn2509,成交量,SN,
6,华泰期货,2324.0,-1923.0,2025-08-21,sn2509,成交量,SN,
7,广发期货,1945.0,-1780.0,2025-08-21,sn2509,成交量,SN,
8,方正中期,1763.0,-335.0,2025-08-21,sn2509,成交量,SN,
9,瑞达期货,1733.0,-524.0,2025-08-21,sn2509,成交量,SN,
10,银河期货,1719.0,-925.0,2025-08-21,sn2509,成交量,SN,
11,海通期货,1658.0,-1326.0,2025-08-21,sn2509,成交量,SN,
12,申万期货,1627.0,-941.0,2025-08-21,sn2509,成交量,SN,
13,华闻期货,1590.0,-870.0,2025-08-21,sn2509,成交量,SN,
14,南华期货,1515.0,-666.0,2025-08-21,sn2509,成交量,SN,
15,光大期货,1335.0,-446.0,2025-08-21,sn2509,成交量,SN,
16,国联期货,1169.0,-299.0,2025-08-21,sn2509,成交量,SN,
17,国投期货,929.0,-229.0,2025-08-21,sn2509,成交量,SN,
18,中信建投,914.0,-879.0,2025-08-21,sn2509,成交量,SN,
19,徽商期货,834.0,-689.0,2025-08-21,sn2509,成交量,SN,
20,招商期货,799.0,-112.0,2025-08-21,sn2509,成交量,SN,
1,中信期货,,751.0,20250822,sn2510,成交量,SN,6301.0
2,东证期货,,732.0,20250822,sn2510,成交量,SN,4082.0
3,南华期货,,350.0,20250822,sn2510,成交量,SN,3003.0
4,国泰君安,,245.0,20250822,sn2510,成交量,SN,2894.0
5,华泰期货,,584.0,20250822,sn2510,成交量,SN,1761.0
6,海通期货,,-488.0,20250822,sn2510,成交量,SN,1755.0
7,中泰期货,,199.0,20250822,sn2510,成交量,SN,1748.0
8,华闻期货,,741.0,20250822,sn2510,成交量,SN,1374.0
9,广发期货,,531.0,20250822,sn2510,成交量,SN,1333.0
10,浙商期货,,-228.0,20250822,sn2510,成交量,SN,1237.0
11,申万期货,,-60.0,20250822,sn2510,成交量,SN,1195.0
12,瑞达期货,,197.0,20250822,sn2510,成交量,SN,998.0
13,国联期货,,475.0,20250822,sn2510,成交量,SN,979.0
14,国投期货,,248.0,20250822,sn2510,成交量,SN,918.0
15,银河期货,,-83.0,20250822,sn2510,成交量,SN,878.0
16,国贸期货,,375.0,20250822,sn2510,成交量,SN,875.0
17,金瑞期货,,301.0,20250822,sn2510,成交量,SN,760.0
18,方正中期,,-56.0,20250822,sn2510,成交量,SN,758.0
19,东海期货,,121.0,20250822,sn2510,成交量,SN,619.0
20,中信建投,,131.0,20250822,sn2510,成交量,SN,438.0
