排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,10688,105.0,2025-08-18,sp2511,多单持仓,SP
2,国泰君安,8550,-161.0,2025-08-18,sp2511,多单持仓,SP
3,华泰期货,7366,163.0,2025-08-18,sp2511,多单持仓,SP
4,海通期货,6627,217.0,2025-08-18,sp2511,多单持仓,SP
5,永安期货,6503,-45.0,2025-08-18,sp2511,多单持仓,SP
6,东证期货,5582,12.0,2025-08-18,sp2511,多单持仓,SP
7,长江期货,5257,154.0,2025-08-18,sp2511,多单持仓,SP
8,宏源期货,5195,195.0,2025-08-18,sp2511,多单持仓,SP
9,中原期货,4596,18.0,2025-08-18,sp2511,多单持仓,SP
10,国元期货,4520,-96.0,2025-08-18,sp2511,多单持仓,SP
11,中粮期货,4469,-99.0,2025-08-18,sp2511,多单持仓,SP
12,建信期货,3911,146.0,2025-08-18,sp2511,多单持仓,SP
13,广发期货,3675,238.0,2025-08-18,sp2511,多单持仓,SP
14,银河期货,3391,-135.0,2025-08-18,sp2511,多单持仓,SP
15,中信建投,3054,125.0,2025-08-18,sp2511,多单持仓,SP
16,弘业期货,3003,-49.0,2025-08-18,sp2511,多单持仓,SP
17,中辉期货,3002,244.0,2025-08-18,sp2511,多单持仓,SP
18,中国国际,2997,50.0,2025-08-18,sp2511,多单持仓,SP
19,东方财富,2871,560.0,2025-08-18,sp2511,多单持仓,SP
20,徽商期货,2582,-62.0,2025-08-18,sp2511,多单持仓,SP
1,中信期货,11067,379.0,2025-08-19,sp2511,多单持仓,SP
2,国泰君安,8609,59.0,2025-08-19,sp2511,多单持仓,SP
3,东证期货,6739,1157.0,2025-08-19,sp2511,多单持仓,SP
4,华泰期货,6688,-678.0,2025-08-19,sp2511,多单持仓,SP
5,永安期货,6403,-100.0,2025-08-19,sp2511,多单持仓,SP
6,海通期货,6330,-297.0,2025-08-19,sp2511,多单持仓,SP
7,长江期货,5329,72.0,2025-08-19,sp2511,多单持仓,SP
8,国元期货,4994,474.0,2025-08-19,sp2511,多单持仓,SP
9,宏源期货,4918,-277.0,2025-08-19,sp2511,多单持仓,SP
10,中原期货,4643,47.0,2025-08-19,sp2511,多单持仓,SP
11,中粮期货,4513,44.0,2025-08-19,sp2511,多单持仓,SP
12,建信期货,4048,137.0,2025-08-19,sp2511,多单持仓,SP
13,银河期货,3778,387.0,2025-08-19,sp2511,多单持仓,SP
14,中信建投,3743,689.0,2025-08-19,sp2511,多单持仓,SP
15,广发期货,3617,-58.0,2025-08-19,sp2511,多单持仓,SP
16,方正中期,3274,743.0,2025-08-19,sp2511,多单持仓,SP
17,东方财富,3210,339.0,2025-08-19,sp2511,多单持仓,SP
18,徽商期货,3112,530.0,2025-08-19,sp2511,多单持仓,SP
19,中国国际,3063,66.0,2025-08-19,sp2511,多单持仓,SP
20,弘业期货,2964,-39.0,2025-08-19,sp2511,多单持仓,SP
1,国泰君安,10981,2372.0,2025-08-20,sp2511,多单持仓,SP
2,中信期货,10827,-240.0,2025-08-20,sp2511,多单持仓,SP
3,海通期货,6893,563.0,2025-08-20,sp2511,多单持仓,SP
4,东证期货,6876,137.0,2025-08-20,sp2511,多单持仓,SP
5,永安期货,6744,341.0,2025-08-20,sp2511,多单持仓,SP
6,华泰期货,6048,-640.0,2025-08-20,sp2511,多单持仓,SP
7,长江期货,5506,177.0,2025-08-20,sp2511,多单持仓,SP
8,国元期货,5184,190.0,2025-08-20,sp2511,多单持仓,SP
9,宏源期货,5128,210.0,2025-08-20,sp2511,多单持仓,SP
10,银河期货,5073,1295.0,2025-08-20,sp2511,多单持仓,SP
11,中粮期货,4464,-49.0,2025-08-20,sp2511,多单持仓,SP
12,中原期货,4273,-370.0,2025-08-20,sp2511,多单持仓,SP
13,建信期货,4261,213.0,2025-08-20,sp2511,多单持仓,SP
14,广发期货,3540,-77.0,2025-08-20,sp2511,多单持仓,SP
15,中信建投,3428,-315.0,2025-08-20,sp2511,多单持仓,SP
16,国信期货,3264,646.0,2025-08-20,sp2511,多单持仓,SP
17,方正中期,3194,-80.0,2025-08-20,sp2511,多单持仓,SP
18,弘业期货,3121,157.0,2025-08-20,sp2511,多单持仓,SP
19,中国国际,3054,-9.0,2025-08-20,sp2511,多单持仓,SP
20,东方财富,3003,-207.0,2025-08-20,sp2511,多单持仓,SP
1,中信期货,11065,238.0,2025-08-21,sp2511,多单持仓,SP
2,国泰君安,10614,-367.0,2025-08-21,sp2511,多单持仓,SP
3,东证期货,7624,748.0,2025-08-21,sp2511,多单持仓,SP
4,永安期货,7026,282.0,2025-08-21,sp2511,多单持仓,SP
5,海通期货,6941,48.0,2025-08-21,sp2511,多单持仓,SP
6,长江期货,5511,5.0,2025-08-21,sp2511,多单持仓,SP
7,华泰期货,5413,-635.0,2025-08-21,sp2511,多单持仓,SP
8,银河期货,5133,60.0,2025-08-21,sp2511,多单持仓,SP
9,国元期货,5014,-170.0,2025-08-21,sp2511,多单持仓,SP
10,宏源期货,4968,-160.0,2025-08-21,sp2511,多单持仓,SP
11,中粮期货,4345,-119.0,2025-08-21,sp2511,多单持仓,SP
12,建信期货,4104,-157.0,2025-08-21,sp2511,多单持仓,SP
13,中原期货,3823,-450.0,2025-08-21,sp2511,多单持仓,SP
14,中信建投,3756,328.0,2025-08-21,sp2511,多单持仓,SP
15,方正中期,3589,395.0,2025-08-21,sp2511,多单持仓,SP
16,广发期货,3502,-38.0,2025-08-21,sp2511,多单持仓,SP
17,弘业期货,3468,347.0,2025-08-21,sp2511,多单持仓,SP
18,国信期货,3412,148.0,2025-08-21,sp2511,多单持仓,SP
19,东方财富,3292,289.0,2025-08-21,sp2511,多单持仓,SP
20,徽商期货,3252,470.0,2025-08-21,sp2511,多单持仓,SP
1,中信期货,11185,120.0,20250822,sp2511,多单持仓,SP
2,国泰君安,10558,-56.0,20250822,sp2511,多单持仓,SP
3,海通期货,7724,783.0,20250822,sp2511,多单持仓,SP
4,东证期货,7182,-442.0,20250822,sp2511,多单持仓,SP
5,永安期货,7166,140.0,20250822,sp2511,多单持仓,SP
6,银河期货,6112,979.0,20250822,sp2511,多单持仓,SP
7,长江期货,5351,-160.0,20250822,sp2511,多单持仓,SP
8,华泰期货,5350,-63.0,20250822,sp2511,多单持仓,SP
9,宏源期货,5076,108.0,20250822,sp2511,多单持仓,SP
10,国元期货,5062,48.0,20250822,sp2511,多单持仓,SP
11,中信建投,4537,781.0,20250822,sp2511,多单持仓,SP
