排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,20330,1766.0,2025-08-18,sp2511,空单持仓,SP
2,银河期货,12357,-114.0,2025-08-18,sp2511,空单持仓,SP
3,中信期货,10437,409.0,2025-08-18,sp2511,空单持仓,SP
4,东证期货,9624,-115.0,2025-08-18,sp2511,空单持仓,SP
5,华泰期货,7402,4.0,2025-08-18,sp2511,空单持仓,SP
6,瑞达期货,6273,3.0,2025-08-18,sp2511,空单持仓,SP
7,永安期货,5926,-106.0,2025-08-18,sp2511,空单持仓,SP
8,海通期货,5282,300.0,2025-08-18,sp2511,空单持仓,SP
9,建信期货,5189,18.0,2025-08-18,sp2511,空单持仓,SP
10,长江期货,4573,-5.0,2025-08-18,sp2511,空单持仓,SP
11,中原期货,4486,-23.0,2025-08-18,sp2511,空单持仓,SP
12,国投期货,4226,-73.0,2025-08-18,sp2511,空单持仓,SP
13,中粮期货,4168,-73.0,2025-08-18,sp2511,空单持仓,SP
14,国元期货,3945,33.0,2025-08-18,sp2511,空单持仓,SP
15,宏源期货,3781,2.0,2025-08-18,sp2511,空单持仓,SP
16,国贸期货,3053,-143.0,2025-08-18,sp2511,空单持仓,SP
17,中国国际,2855,4.0,2025-08-18,sp2511,空单持仓,SP
18,中信建投,2508,-46.0,2025-08-18,sp2511,空单持仓,SP
19,弘业期货,2353,6.0,2025-08-18,sp2511,空单持仓,SP
20,港信期货,2053,263.0,2025-08-18,sp2511,空单持仓,SP
1,国泰君安,21720,1390.0,2025-08-19,sp2511,空单持仓,SP
2,中信期货,14221,3784.0,2025-08-19,sp2511,空单持仓,SP
3,银河期货,14103,1746.0,2025-08-19,sp2511,空单持仓,SP
4,东证期货,10008,384.0,2025-08-19,sp2511,空单持仓,SP
5,华泰期货,6691,-711.0,2025-08-19,sp2511,空单持仓,SP
6,永安期货,6460,534.0,2025-08-19,sp2511,空单持仓,SP
7,瑞达期货,6417,144.0,2025-08-19,sp2511,空单持仓,SP
8,海通期货,5766,484.0,2025-08-19,sp2511,空单持仓,SP
9,建信期货,4575,-614.0,2025-08-19,sp2511,空单持仓,SP
10,长江期货,4549,-24.0,2025-08-19,sp2511,空单持仓,SP
11,中原期货,4508,22.0,2025-08-19,sp2511,空单持仓,SP
12,中粮期货,4475,307.0,2025-08-19,sp2511,空单持仓,SP
13,国投期货,4250,24.0,2025-08-19,sp2511,空单持仓,SP
14,宏源期货,3981,200.0,2025-08-19,sp2511,空单持仓,SP
15,国元期货,3929,-16.0,2025-08-19,sp2511,空单持仓,SP
16,中国国际,2849,-6.0,2025-08-19,sp2511,空单持仓,SP
17,弘业期货,2345,-8.0,2025-08-19,sp2511,空单持仓,SP
18,国贸期货,2251,-802.0,2025-08-19,sp2511,空单持仓,SP
19,中信建投,2231,-277.0,2025-08-19,sp2511,空单持仓,SP
20,南华期货,2124,402.0,2025-08-19,sp2511,空单持仓,SP
1,国泰君安,21746,26.0,2025-08-20,sp2511,空单持仓,SP
2,中信期货,15051,830.0,2025-08-20,sp2511,空单持仓,SP
3,银河期货,13377,-726.0,2025-08-20,sp2511,空单持仓,SP
4,东证期货,8627,-1381.0,2025-08-20,sp2511,空单持仓,SP
5,华泰期货,6218,-473.0,2025-08-20,sp2511,空单持仓,SP
6,永安期货,6169,-291.0,2025-08-20,sp2511,空单持仓,SP
7,海通期货,5769,3.0,2025-08-20,sp2511,空单持仓,SP
8,瑞达期货,4921,-1496.0,2025-08-20,sp2511,空单持仓,SP
9,长江期货,4688,139.0,2025-08-20,sp2511,空单持仓,SP
10,中粮期货,4582,107.0,2025-08-20,sp2511,空单持仓,SP
11,中原期货,4386,-122.0,2025-08-20,sp2511,空单持仓,SP
12,建信期货,4247,-328.0,2025-08-20,sp2511,空单持仓,SP
13,国投期货,4245,-5.0,2025-08-20,sp2511,空单持仓,SP
14,宏源期货,4025,44.0,2025-08-20,sp2511,空单持仓,SP
15,国元期货,3902,-27.0,2025-08-20,sp2511,空单持仓,SP
16,中国国际,2968,119.0,2025-08-20,sp2511,空单持仓,SP
17,中金财富,2646,767.0,2025-08-20,sp2511,空单持仓,SP
18,浙商期货,2645,1689.0,2025-08-20,sp2511,空单持仓,SP
19,中信建投,2450,219.0,2025-08-20,sp2511,空单持仓,SP
20,弘业期货,2361,16.0,2025-08-20,sp2511,空单持仓,SP
1,国泰君安,22140,394.0,2025-08-21,sp2511,空单持仓,SP
2,中信期货,15141,90.0,2025-08-21,sp2511,空单持仓,SP
3,银河期货,13332,-45.0,2025-08-21,sp2511,空单持仓,SP
4,东证期货,8774,147.0,2025-08-21,sp2511,空单持仓,SP
5,永安期货,6528,359.0,2025-08-21,sp2511,空单持仓,SP
6,华泰期货,5828,-390.0,2025-08-21,sp2511,空单持仓,SP
7,瑞达期货,5681,760.0,2025-08-21,sp2511,空单持仓,SP
8,海通期货,5616,-153.0,2025-08-21,sp2511,空单持仓,SP
9,长江期货,4722,34.0,2025-08-21,sp2511,空单持仓,SP
10,国投期货,4502,257.0,2025-08-21,sp2511,空单持仓,SP
11,中粮期货,4469,-113.0,2025-08-21,sp2511,空单持仓,SP
12,建信期货,4257,10.0,2025-08-21,sp2511,空单持仓,SP
13,宏源期货,4059,34.0,2025-08-21,sp2511,空单持仓,SP
14,中原期货,3969,-417.0,2025-08-21,sp2511,空单持仓,SP
15,中金财富,3886,1240.0,2025-08-21,sp2511,空单持仓,SP
16,国元期货,3800,-102.0,2025-08-21,sp2511,空单持仓,SP
17,乾坤期货,3521,1241.0,2025-08-21,sp2511,空单持仓,SP
18,中国国际,2976,8.0,2025-08-21,sp2511,空单持仓,SP
19,浙商期货,2757,112.0,2025-08-21,sp2511,空单持仓,SP
20,弘业期货,2679,318.0,2025-08-21,sp2511,空单持仓,SP
1,国泰君安,22375,235.0,20250822,sp2511,空单持仓,SP
2,中信期货,16891,1750.0,20250822,sp2511,空单持仓,SP
3,银河期货,13587,255.0,20250822,sp2511,空单持仓,SP
4,东证期货,9004,230.0,20250822,sp2511,空单持仓,SP
5,永安期货,6883,355.0,20250822,sp2511,空单持仓,SP
6,瑞达期货,5821,140.0,20250822,sp2511,空单持仓,SP
7,海通期货,5758,142.0,20250822,sp2511,空单持仓,SP
8,华泰期货,5679,-149.0,20250822,sp2511,空单持仓,SP
9,长江期货,4879,157.0,20250822,sp2511,空单持仓,SP
10,中金财富,4654,768.0,20250822,sp2511,空单持仓,SP
11,国投期货,4380,-122.0,20250822,sp2511,空单持仓,SP
12,宏源期货,4300,241.0,20250822,sp2511,空单持仓,SP
13,建信期货,4287,30.0,20250822,sp2511,空单持仓,SP
14,乾坤期货,4221,700.0,20250822,sp2511,空单持仓,SP
15,中粮期货,3849,-620.0,20250822,sp2511,空单持仓,SP
16,国元期货,3690,-110.0,20250822,sp2511,空单持仓,SP
17,中原期货,3186,-783.0,20250822,sp2511,空单持仓,SP
18,中国国际,3159,183.0,20250822,sp2511,空单持仓,SP
19,浙商期货,2875,118.0,20250822,sp2511,空单持仓,SP
20,中信建投,2783,228.0,20250822,sp2511,空单持仓,SP
1,国泰君安,23051,676.0,20250825,sp2511,空单持仓,SP
2,中信期货,16968,77.0,20250825,sp2511,空单持仓,SP
3,银河期货,13775,188.0,20250825,sp2511,空单持仓,SP
4,东证期货,10072,1068.0,20250825,sp2511,空单持仓,SP
5,海通期货,5602,-156.0,20250825,sp2511,空单持仓,SP
6,瑞达期货,5526,-295.0,20250825,sp2511,空单持仓,SP
7,永安期货,5509,-1374.0,20250825,sp2511,空单持仓,SP
8,中金财富,4939,285.0,20250825,sp2511,空单持仓,SP
9,华泰期货,4832,-847.0,20250825,sp2511,空单持仓,SP
10,长江期货,4566,-313.0,20250825,sp2511,空单持仓,SP
11,乾坤期货,4528,307.0,20250825,sp2511,空单持仓,SP
12,国投期货,4451,71.0,20250825,sp2511,空单持仓,SP
13,宏源期货,4386,86.0,20250825,sp2511,空单持仓,SP
14,建信期货,4245,-42.0,20250825,sp2511,空单持仓,SP
15,中粮期货,3525,-324.0,20250825,sp2511,空单持仓,SP
16,国元期货,3478,-212.0,20250825,sp2511,空单持仓,SP
17,中国国际,2968,-191.0,20250825,sp2511,空单持仓,SP
18,中信建投,2919,136.0,20250825,sp2511,空单持仓,SP
19,弘业期货,2295,-482.0,20250825,sp2511,空单持仓,SP
20,中原期货,2259,-927.0,20250825,sp2511,空单持仓,SP
1,国泰君安,23800,749.0,20250826,sp2511,空单持仓,SP
2,中信期货,16093,-875.0,20250826,sp2511,空单持仓,SP
