排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,54479,160.0,2025-11-05,SR2601,多单持仓,SR
2,中粮期货,31777,-105.0,2025-11-05,SR2601,多单持仓,SR
3,国泰君安,21233,-61.0,2025-11-05,SR2601,多单持仓,SR
4,东证期货,16197,1396.0,2025-11-05,SR2601,多单持仓,SR
5,国贸期货,14202,29.0,2025-11-05,SR2601,多单持仓,SR
6,创元期货,13989,-152.0,2025-11-05,SR2601,多单持仓,SR
7,华泰期货,13288,-687.0,2025-11-05,SR2601,多单持仓,SR
8,平安期货,12843,-146.0,2025-11-05,SR2601,多单持仓,SR
9,宏源期货,7934,-193.0,2025-11-05,SR2601,多单持仓,SR
10,广发期货,7287,141.0,2025-11-05,SR2601,多单持仓,SR
11,首创期货,6817,881.0,2025-11-05,SR2601,多单持仓,SR
12,首创京都期货,6756,-21.0,2025-11-05,SR2601,多单持仓,SR
13,银河期货,6361,-670.0,2025-11-05,SR2601,多单持仓,SR
14,国信期货,6033,1145.0,2025-11-05,SR2601,多单持仓,SR
15,华金期货,5523,1000.0,2025-11-05,SR2601,多单持仓,SR
16,国投期货,5427,179.0,2025-11-05,SR2601,多单持仓,SR
17,光大期货,5290,-338.0,2025-11-05,SR2601,多单持仓,SR
18,浙商期货,5140,142.0,2025-11-05,SR2601,多单持仓,SR
19,瑞达期货,5122,69.0,2025-11-05,SR2601,多单持仓,SR
20,国富期货,4788,-64.0,2025-11-05,SR2601,多单持仓,SR
1,中信期货,53922,-557.0,2025-11-06,SR2601,多单持仓,SR
2,中粮期货,31789,12.0,2025-11-06,SR2601,多单持仓,SR
3,国泰君安,21481,248.0,2025-11-06,SR2601,多单持仓,SR
4,东证期货,18852,2655.0,2025-11-06,SR2601,多单持仓,SR
5,国贸期货,14350,148.0,2025-11-06,SR2601,多单持仓,SR
6,创元期货,14012,23.0,2025-11-06,SR2601,多单持仓,SR
7,华泰期货,13363,75.0,2025-11-06,SR2601,多单持仓,SR
8,平安期货,12843,0.0,2025-11-06,SR2601,多单持仓,SR
9,首创京都期货,7377,621.0,2025-11-06,SR2601,多单持仓,SR
10,首创期货,7305,488.0,2025-11-06,SR2601,多单持仓,SR
11,宏源期货,7240,-694.0,2025-11-06,SR2601,多单持仓,SR
12,广发期货,7204,-83.0,2025-11-06,SR2601,多单持仓,SR
13,银河期货,6361,0.0,2025-11-06,SR2601,多单持仓,SR
14,国信期货,6216,183.0,2025-11-06,SR2601,多单持仓,SR
15,光大期货,5722,432.0,2025-11-06,SR2601,多单持仓,SR
16,国投期货,5413,-14.0,2025-11-06,SR2601,多单持仓,SR
17,浙商期货,5327,187.0,2025-11-06,SR2601,多单持仓,SR
18,瑞达期货,5285,163.0,2025-11-06,SR2601,多单持仓,SR
19,中信建投,5120,859.0,2025-11-06,SR2601,多单持仓,SR
20,华金期货,4885,-638.0,2025-11-06,SR2601,多单持仓,SR
1,中信期货,55007,1085.0,2025-11-07,SR2601,多单持仓,SR
2,中粮期货,32067,278.0,2025-11-07,SR2601,多单持仓,SR
3,国泰君安,21521,40.0,2025-11-07,SR2601,多单持仓,SR
4,东证期货,18622,-230.0,2025-11-07,SR2601,多单持仓,SR
5,国贸期货,14393,43.0,2025-11-07,SR2601,多单持仓,SR
6,创元期货,13915,-97.0,2025-11-07,SR2601,多单持仓,SR
7,华泰期货,13554,191.0,2025-11-07,SR2601,多单持仓,SR
8,平安期货,12481,-362.0,2025-11-07,SR2601,多单持仓,SR
9,首创京都期货,7391,14.0,2025-11-07,SR2601,多单持仓,SR
10,宏源期货,7312,72.0,2025-11-07,SR2601,多单持仓,SR
11,广发期货,6926,-278.0,2025-11-07,SR2601,多单持仓,SR
12,国信期货,6519,303.0,2025-11-07,SR2601,多单持仓,SR
13,首创期货,6480,-825.0,2025-11-07,SR2601,多单持仓,SR
14,银河期货,6457,96.0,2025-11-07,SR2601,多单持仓,SR
15,中信建投,5914,794.0,2025-11-07,SR2601,多单持仓,SR
16,浙商期货,5792,465.0,2025-11-07,SR2601,多单持仓,SR
17,国投期货,5586,173.0,2025-11-07,SR2601,多单持仓,SR
18,光大期货,5353,-369.0,2025-11-07,SR2601,多单持仓,SR
19,瑞达期货,5020,-265.0,2025-11-07,SR2601,多单持仓,SR
20,国富期货,4810,19.0,2025-11-07,SR2601,多单持仓,SR
1,中信期货,55916,909.0,2025-11-10,SR2601,多单持仓,SR
2,中粮期货,32004,-63.0,2025-11-10,SR2601,多单持仓,SR
3,国泰君安,21890,369.0,2025-11-10,SR2601,多单持仓,SR
4,东证期货,18479,-143.0,2025-11-10,SR2601,多单持仓,SR
5,华泰期货,14423,869.0,2025-11-10,SR2601,多单持仓,SR
6,国贸期货,14312,-81.0,2025-11-10,SR2601,多单持仓,SR
7,创元期货,13708,-207.0,2025-11-10,SR2601,多单持仓,SR
8,平安期货,12242,-239.0,2025-11-10,SR2601,多单持仓,SR
9,广发期货,7562,636.0,2025-11-10,SR2601,多单持仓,SR
10,宏源期货,7389,77.0,2025-11-10,SR2601,多单持仓,SR
11,首创京都期货,7072,-319.0,2025-11-10,SR2601,多单持仓,SR
12,银河期货,6708,251.0,2025-11-10,SR2601,多单持仓,SR
13,中信建投,6332,418.0,2025-11-10,SR2601,多单持仓,SR
14,国信期货,6070,-449.0,2025-11-10,SR2601,多单持仓,SR
15,浙商期货,5777,-15.0,2025-11-10,SR2601,多单持仓,SR
16,国投期货,5680,94.0,2025-11-10,SR2601,多单持仓,SR
17,首创期货,5586,-894.0,2025-11-10,SR2601,多单持仓,SR
18,瑞达期货,5462,442.0,2025-11-10,SR2601,多单持仓,SR
19,光大期货,5159,-194.0,2025-11-10,SR2601,多单持仓,SR
20,国富期货,4847,37.0,2025-11-10,SR2601,多单持仓,SR
1,中信期货,56991,1075.0,2025-11-11,SR2601,多单持仓,SR
2,中粮期货,32158,154.0,2025-11-11,SR2601,多单持仓,SR
3,国泰君安,22347,457.0,2025-11-11,SR2601,多单持仓,SR
4,东证期货,17900,-579.0,2025-11-11,SR2601,多单持仓,SR
5,华泰期货,14747,324.0,2025-11-11,SR2601,多单持仓,SR
6,国贸期货,13972,-340.0,2025-11-11,SR2601,多单持仓,SR
7,创元期货,13690,-18.0,2025-11-11,SR2601,多单持仓,SR
8,平安期货,12043,-199.0,2025-11-11,SR2601,多单持仓,SR
9,宏源期货,7978,589.0,2025-11-11,SR2601,多单持仓,SR
10,广发期货,7627,65.0,2025-11-11,SR2601,多单持仓,SR
11,首创京都期货,7205,133.0,2025-11-11,SR2601,多单持仓,SR
12,银河期货,6999,291.0,2025-11-11,SR2601,多单持仓,SR
13,中信建投,6673,341.0,2025-11-11,SR2601,多单持仓,SR
14,国投期货,5934,254.0,2025-11-11,SR2601,多单持仓,SR
15,浙商期货,5719,-58.0,2025-11-11,SR2601,多单持仓,SR
16,光大期货,5454,295.0,2025-11-11,SR2601,多单持仓,SR
17,瑞达期货,5409,-53.0,2025-11-11,SR2601,多单持仓,SR
18,首创期货,5354,-232.0,2025-11-11,SR2601,多单持仓,SR
19,国信期货,5129,-941.0,2025-11-11,SR2601,多单持仓,SR
20,国富期货,4410,-437.0,2025-11-11,SR2601,多单持仓,SR
1,中信期货,55492,-1499.0,2025-11-12,SR2601,多单持仓,SR
2,中粮期货,31977,-181.0,2025-11-12,SR2601,多单持仓,SR
3,国泰君安,22494,147.0,2025-11-12,SR2601,多单持仓,SR
4,东证期货,18533,633.0,2025-11-12,SR2601,多单持仓,SR
5,华泰期货,14506,-241.0,2025-11-12,SR2601,多单持仓,SR
6,国贸期货,13981,9.0,2025-11-12,SR2601,多单持仓,SR
7,创元期货,13523,-167.0,2025-11-12,SR2601,多单持仓,SR
8,平安期货,11949,-94.0,2025-11-12,SR2601,多单持仓,SR
9,宏源期货,7888,-90.0,2025-11-12,SR2601,多单持仓,SR
10,广发期货,7590,-37.0,2025-11-12,SR2601,多单持仓,SR
11,首创京都期货,7474,269.0,2025-11-12,SR2601,多单持仓,SR
12,银河期货,7062,63.0,2025-11-12,SR2601,多单持仓,SR
13,中信建投,7042,369.0,2025-11-12,SR2601,多单持仓,SR
14,国投期货,5814,-120.0,2025-11-12,SR2601,多单持仓,SR
15,浙商期货,5574,-145.0,2025-11-12,SR2601,多单持仓,SR
16,瑞达期货,5333,-76.0,2025-11-12,SR2601,多单持仓,SR
17,光大期货,4932,-522.0,2025-11-12,SR2601,多单持仓,SR
18,国信期货,4860,-269.0,2025-11-12,SR2601,多单持仓,SR
19,国富期货,4609,199.0,2025-11-12,SR2601,多单持仓,SR
20,首创期货,4421,-933.0,2025-11-12,SR2601,多单持仓,SR
