排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,高盛期货,114283,-3605.0,2026-06-22,SR2609,空单持仓,SR
2,中信期货,83255,-9948.0,2026-06-22,SR2609,空单持仓,SR
3,中粮期货,57295,622.0,2026-06-22,SR2609,空单持仓,SR
4,东证期货,50253,-1974.0,2026-06-22,SR2609,空单持仓,SR
5,中金财富,40580,-929.0,2026-06-22,SR2609,空单持仓,SR
6,国泰君安,38311,543.0,2026-06-22,SR2609,空单持仓,SR
7,华泰期货,26282,-618.0,2026-06-22,SR2609,空单持仓,SR
8,永安期货,22757,-445.0,2026-06-22,SR2609,空单持仓,SR
9,银河期货,21207,828.0,2026-06-22,SR2609,空单持仓,SR
10,浙商期货,17586,450.0,2026-06-22,SR2609,空单持仓,SR
11,瑞达期货,12110,292.0,2026-06-22,SR2609,空单持仓,SR
12,国投期货,12064,79.0,2026-06-22,SR2609,空单持仓,SR
13,融达期货,11023,66.0,2026-06-22,SR2609,空单持仓,SR
14,宏源期货,10760,-36.0,2026-06-22,SR2609,空单持仓,SR
15,光大期货,10133,-916.0,2026-06-22,SR2609,空单持仓,SR
16,平安期货,10016,209.0,2026-06-22,SR2609,空单持仓,SR
17,华金期货,9033,308.0,2026-06-22,SR2609,空单持仓,SR
18,方正中期,7743,-266.0,2026-06-22,SR2609,空单持仓,SR
19,国信期货,7651,1053.0,2026-06-22,SR2609,空单持仓,SR
20,创元期货,7642,375.0,2026-06-22,SR2609,空单持仓,SR
1,高盛期货,115836,1553.0,2026-06-23,SR2609,空单持仓,SR
2,中信期货,86956,3701.0,2026-06-23,SR2609,空单持仓,SR
3,东证期货,56175,5922.0,2026-06-23,SR2609,空单持仓,SR
4,中粮期货,50682,-6613.0,2026-06-23,SR2609,空单持仓,SR
5,国泰君安,45015,6704.0,2026-06-23,SR2609,空单持仓,SR
6,中金财富,41496,916.0,2026-06-23,SR2609,空单持仓,SR
7,华泰期货,26215,-67.0,2026-06-23,SR2609,空单持仓,SR
8,永安期货,26189,3432.0,2026-06-23,SR2609,空单持仓,SR
9,银河期货,22312,1105.0,2026-06-23,SR2609,空单持仓,SR
10,浙商期货,15836,-1750.0,2026-06-23,SR2609,空单持仓,SR
11,瑞达期货,12809,699.0,2026-06-23,SR2609,空单持仓,SR
12,国投期货,12454,390.0,2026-06-23,SR2609,空单持仓,SR
13,宏源期货,11573,813.0,2026-06-23,SR2609,空单持仓,SR
14,光大期货,10809,676.0,2026-06-23,SR2609,空单持仓,SR
15,平安期货,10705,689.0,2026-06-23,SR2609,空单持仓,SR
16,融达期货,10183,-840.0,2026-06-23,SR2609,空单持仓,SR
17,广发期货,8623,1939.0,2026-06-23,SR2609,空单持仓,SR
18,方正中期,8501,758.0,2026-06-23,SR2609,空单持仓,SR
19,创元期货,8286,644.0,2026-06-23,SR2609,空单持仓,SR
20,华金期货,8281,-752.0,2026-06-23,SR2609,空单持仓,SR
1,高盛期货,119794,3958.0,2026-06-24,SR2609,空单持仓,SR
2,中信期货,92884,5928.0,2026-06-24,SR2609,空单持仓,SR
3,东证期货,51911,-4264.0,2026-06-24,SR2609,空单持仓,SR
4,中粮期货,48113,-2569.0,2026-06-24,SR2609,空单持仓,SR
5,国泰君安,44027,-988.0,2026-06-24,SR2609,空单持仓,SR
6,中金财富,42492,996.0,2026-06-24,SR2609,空单持仓,SR
7,华泰期货,31418,5203.0,2026-06-24,SR2609,空单持仓,SR
8,永安期货,24131,-2058.0,2026-06-24,SR2609,空单持仓,SR
9,银河期货,22756,444.0,2026-06-24,SR2609,空单持仓,SR
10,浙商期货,16891,1055.0,2026-06-24,SR2609,空单持仓,SR
11,瑞达期货,14613,1804.0,2026-06-24,SR2609,空单持仓,SR
12,国投期货,12457,3.0,2026-06-24,SR2609,空单持仓,SR
13,宏源期货,11947,374.0,2026-06-24,SR2609,空单持仓,SR
14,平安期货,11111,406.0,2026-06-24,SR2609,空单持仓,SR
15,光大期货,10932,123.0,2026-06-24,SR2609,空单持仓,SR
16,广发期货,9875,1252.0,2026-06-24,SR2609,空单持仓,SR
17,融达期货,9341,-842.0,2026-06-24,SR2609,空单持仓,SR
18,创元期货,8440,154.0,2026-06-24,SR2609,空单持仓,SR
19,中信建投,8230,62.0,2026-06-24,SR2609,空单持仓,SR
20,方正中期,8158,-343.0,2026-06-24,SR2609,空单持仓,SR
1,高盛期货,123561,3767.0,2026-06-25,SR2609,空单持仓,SR
2,中信期货,99167,6283.0,2026-06-25,SR2609,空单持仓,SR
3,中粮期货,48937,824.0,2026-06-25,SR2609,空单持仓,SR
4,东证期货,48551,-3360.0,2026-06-25,SR2609,空单持仓,SR
5,国泰君安,45364,1337.0,2026-06-25,SR2609,空单持仓,SR
6,中金财富,42537,45.0,2026-06-25,SR2609,空单持仓,SR
7,华泰期货,32772,1354.0,2026-06-25,SR2609,空单持仓,SR
8,永安期货,26213,2082.0,2026-06-25,SR2609,空单持仓,SR
9,银河期货,23486,730.0,2026-06-25,SR2609,空单持仓,SR
10,浙商期货,17724,833.0,2026-06-25,SR2609,空单持仓,SR
11,瑞达期货,16330,1717.0,2026-06-25,SR2609,空单持仓,SR
12,国投期货,12551,94.0,2026-06-25,SR2609,空单持仓,SR
13,宏源期货,12063,116.0,2026-06-25,SR2609,空单持仓,SR
14,平安期货,11031,-80.0,2026-06-25,SR2609,空单持仓,SR
15,广发期货,10358,483.0,2026-06-25,SR2609,空单持仓,SR
16,光大期货,10034,-898.0,2026-06-25,SR2609,空单持仓,SR
17,创元期货,8611,171.0,2026-06-25,SR2609,空单持仓,SR
18,中信建投,7897,-333.0,2026-06-25,SR2609,空单持仓,SR
19,方正中期,7748,-410.0,2026-06-25,SR2609,空单持仓,SR
20,国信期货,7479,421.0,2026-06-25,SR2609,空单持仓,SR
1,高盛期货,124701,1140.0,2026-06-26,SR2609,空单持仓,SR
2,中信期货,102803,3636.0,2026-06-26,SR2609,空单持仓,SR
3,东证期货,48425,-126.0,2026-06-26,SR2609,空单持仓,SR
4,国泰君安,45074,-290.0,2026-06-26,SR2609,空单持仓,SR
5,中粮期货,44225,-4712.0,2026-06-26,SR2609,空单持仓,SR
6,中金财富,43741,1204.0,2026-06-26,SR2609,空单持仓,SR
7,华泰期货,33568,796.0,2026-06-26,SR2609,空单持仓,SR
8,永安期货,26837,624.0,2026-06-26,SR2609,空单持仓,SR
9,银河期货,23840,354.0,2026-06-26,SR2609,空单持仓,SR
10,浙商期货,16731,-993.0,2026-06-26,SR2609,空单持仓,SR
11,瑞达期货,15418,-912.0,2026-06-26,SR2609,空单持仓,SR
12,国投期货,12211,-340.0,2026-06-26,SR2609,空单持仓,SR
13,宏源期货,11546,-517.0,2026-06-26,SR2609,空单持仓,SR
14,平安期货,11038,7.0,2026-06-26,SR2609,空单持仓,SR
15,广发期货,11018,660.0,2026-06-26,SR2609,空单持仓,SR
16,光大期货,9400,-634.0,2026-06-26,SR2609,空单持仓,SR
17,创元期货,8880,269.0,2026-06-26,SR2609,空单持仓,SR
18,招商期货,8518,1150.0,2026-06-26,SR2609,空单持仓,SR
19,方正中期,7675,-73.0,2026-06-26,SR2609,空单持仓,SR
20,国信期货,7552,73.0,2026-06-26,SR2609,空单持仓,SR
