排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,86515,-24201.0,2026-06-22,SR2609,成交量,SR
2,东证期货,59502,-9152.0,2026-06-22,SR2609,成交量,SR
3,国泰君安,54471,1023.0,2026-06-22,SR2609,成交量,SR
4,华泰期货,20351,-18606.0,2026-06-22,SR2609,成交量,SR
5,招商期货,18431,6493.0,2026-06-22,SR2609,成交量,SR
6,光大期货,15552,-3932.0,2026-06-22,SR2609,成交量,SR
7,银河期货,13554,-3465.0,2026-06-22,SR2609,成交量,SR
8,广发期货,12349,-6317.0,2026-06-22,SR2609,成交量,SR
9,中泰期货,12079,-1808.0,2026-06-22,SR2609,成交量,SR
10,国信期货,11099,-3589.0,2026-06-22,SR2609,成交量,SR
11,海通期货,10900,-2773.0,2026-06-22,SR2609,成交量,SR
12,中粮期货,9931,-2315.0,2026-06-22,SR2609,成交量,SR
13,华闻期货,9405,-8445.0,2026-06-22,SR2609,成交量,SR
14,中信建投,8099,-5783.0,2026-06-22,SR2609,成交量,SR
15,徽商期货,6894,-3142.0,2026-06-22,SR2609,成交量,SR
16,东吴期货,6840,-2144.0,2026-06-22,SR2609,成交量,SR
17,永安期货,6592,-3460.0,2026-06-22,SR2609,成交量,SR
18,五矿期货,6114,-10538.0,2026-06-22,SR2609,成交量,SR
19,瑞达期货,5828,-3667.0,2026-06-22,SR2609,成交量,SR
20,国投期货,5584,791.0,2026-06-22,SR2609,成交量,SR
1,中信期货,145718,59203.0,2026-06-23,SR2609,成交量,SR
2,东证期货,105242,45740.0,2026-06-23,SR2609,成交量,SR
3,国泰君安,80177,25706.0,2026-06-23,SR2609,成交量,SR
4,华泰期货,54653,34302.0,2026-06-23,SR2609,成交量,SR
5,招商期货,45704,27273.0,2026-06-23,SR2609,成交量,SR
6,广发期货,31794,19445.0,2026-06-23,SR2609,成交量,SR
7,海通期货,26069,15169.0,2026-06-23,SR2609,成交量,SR
8,银河期货,23963,10409.0,2026-06-23,SR2609,成交量,SR
9,国信期货,23812,12713.0,2026-06-23,SR2609,成交量,SR
10,光大期货,22934,7382.0,2026-06-23,SR2609,成交量,SR
11,中泰期货,21815,9736.0,2026-06-23,SR2609,成交量,SR
12,中粮期货,21536,11605.0,2026-06-23,SR2609,成交量,SR
13,徽商期货,17306,10412.0,2026-06-23,SR2609,成交量,SR
14,瑞达期货,17236,11408.0,2026-06-23,SR2609,成交量,SR
15,永安期货,17216,10624.0,2026-06-23,SR2609,成交量,SR
16,中信建投,16870,8771.0,2026-06-23,SR2609,成交量,SR
17,华闻期货,16103,6698.0,2026-06-23,SR2609,成交量,SR
18,浙商期货,14306,10085.0,2026-06-23,SR2609,成交量,SR
19,南华期货,11252,7179.0,2026-06-23,SR2609,成交量,SR
20,方正中期,10931,5541.0,2026-06-23,SR2609,成交量,SR
1,中信期货,114456,-31262.0,2026-06-24,SR2609,成交量,SR
2,东证期货,88659,-16583.0,2026-06-24,SR2609,成交量,SR
3,国泰君安,58821,-21356.0,2026-06-24,SR2609,成交量,SR
4,招商期货,41843,-3861.0,2026-06-24,SR2609,成交量,SR
5,华泰期货,40004,-14649.0,2026-06-24,SR2609,成交量,SR
6,华闻期货,31311,15208.0,2026-06-24,SR2609,成交量,SR
7,广发期货,25033,-6761.0,2026-06-24,SR2609,成交量,SR
8,中泰期货,23571,1756.0,2026-06-24,SR2609,成交量,SR
9,海通期货,21225,-4844.0,2026-06-24,SR2609,成交量,SR
10,银河期货,20067,-3896.0,2026-06-24,SR2609,成交量,SR
11,国信期货,19082,-4730.0,2026-06-24,SR2609,成交量,SR
12,光大期货,16385,-6549.0,2026-06-24,SR2609,成交量,SR
13,海证期货,15432,5297.0,2026-06-24,SR2609,成交量,SR
14,中信建投,15210,-1660.0,2026-06-24,SR2609,成交量,SR
15,中粮期货,13538,-7998.0,2026-06-24,SR2609,成交量,SR
16,永安期货,12994,-4222.0,2026-06-24,SR2609,成交量,SR
17,五矿期货,11970,1079.0,2026-06-24,SR2609,成交量,SR
18,浙商期货,10236,-4070.0,2026-06-24,SR2609,成交量,SR
19,徽商期货,9099,-8207.0,2026-06-24,SR2609,成交量,SR
20,瑞达期货,8339,-8897.0,2026-06-24,SR2609,成交量,SR
1,中信期货,119637,5181.0,2026-06-25,SR2609,成交量,SR
2,国泰君安,85437,26616.0,2026-06-25,SR2609,成交量,SR
3,东证期货,84146,-4513.0,2026-06-25,SR2609,成交量,SR
4,华闻期货,35864,4553.0,2026-06-25,SR2609,成交量,SR
5,华泰期货,29124,-10880.0,2026-06-25,SR2609,成交量,SR
6,招商期货,28087,-13756.0,2026-06-25,SR2609,成交量,SR
7,中泰期货,22736,-835.0,2026-06-25,SR2609,成交量,SR
8,广发期货,21895,-3138.0,2026-06-25,SR2609,成交量,SR
9,光大期货,20398,4013.0,2026-06-25,SR2609,成交量,SR
10,海通期货,18328,-2897.0,2026-06-25,SR2609,成交量,SR
11,银河期货,16693,-3374.0,2026-06-25,SR2609,成交量,SR
12,国信期货,16153,-2929.0,2026-06-25,SR2609,成交量,SR
13,中粮期货,15680,2142.0,2026-06-25,SR2609,成交量,SR
14,五矿期货,14732,2762.0,2026-06-25,SR2609,成交量,SR
15,中信建投,14623,-587.0,2026-06-25,SR2609,成交量,SR
16,海证期货,13677,-1755.0,2026-06-25,SR2609,成交量,SR
17,中财期货,12765,5113.0,2026-06-25,SR2609,成交量,SR
18,永安期货,12177,-817.0,2026-06-25,SR2609,成交量,SR
19,浙商期货,12034,1798.0,2026-06-25,SR2609,成交量,SR
20,弘业期货,9566,3322.0,2026-06-25,SR2609,成交量,SR
1,中信期货,103255,-16382.0,2026-06-26,SR2609,成交量,SR
2,东证期货,79784,-4362.0,2026-06-26,SR2609,成交量,SR
3,国泰君安,63973,-21464.0,2026-06-26,SR2609,成交量,SR
4,华闻期货,35744,-120.0,2026-06-26,SR2609,成交量,SR
5,招商期货,26709,-1378.0,2026-06-26,SR2609,成交量,SR
6,华泰期货,25708,-3416.0,2026-06-26,SR2609,成交量,SR
7,海通期货,19213,885.0,2026-06-26,SR2609,成交量,SR
8,广发期货,19191,-2704.0,2026-06-26,SR2609,成交量,SR
9,光大期货,19017,-1381.0,2026-06-26,SR2609,成交量,SR
10,中泰期货,17752,-4984.0,2026-06-26,SR2609,成交量,SR
11,国信期货,17462,1309.0,2026-06-26,SR2609,成交量,SR
12,银河期货,15344,-1349.0,2026-06-26,SR2609,成交量,SR
13,海证期货,15180,1503.0,2026-06-26,SR2609,成交量,SR
14,五矿期货,14256,-476.0,2026-06-26,SR2609,成交量,SR
15,浙商期货,12708,674.0,2026-06-26,SR2609,成交量,SR
16,中信建投,11925,-2698.0,2026-06-26,SR2609,成交量,SR
17,中粮期货,11704,-3976.0,2026-06-26,SR2609,成交量,SR
18,瑞达期货,11312,2145.0,2026-06-26,SR2609,成交量,SR
19,徽商期货,8676,592.0,2026-06-26,SR2609,成交量,SR
20,国投期货,7886,1256.0,2026-06-26,SR2609,成交量,SR
