排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,18495,403.0,2025-08-18,ss2510,多单持仓,SS
2,浙商期货,9645,-13.0,2025-08-18,ss2510,多单持仓,SS
3,华泰期货,7085,-53.0,2025-08-18,ss2510,多单持仓,SS
4,国泰君安,6419,104.0,2025-08-18,ss2510,多单持仓,SS
5,中粮期货,4839,317.0,2025-08-18,ss2510,多单持仓,SS
6,广发期货,4557,-36.0,2025-08-18,ss2510,多单持仓,SS
7,东证期货,4530,-1374.0,2025-08-18,ss2510,多单持仓,SS
8,国联期货,4160,-343.0,2025-08-18,ss2510,多单持仓,SS
9,银河期货,3694,126.0,2025-08-18,ss2510,多单持仓,SS
10,中金财富,3443,33.0,2025-08-18,ss2510,多单持仓,SS
11,南华期货,3131,464.0,2025-08-18,ss2510,多单持仓,SS
12,中信建投,2651,-550.0,2025-08-18,ss2510,多单持仓,SS
13,东方财富,2535,-93.0,2025-08-18,ss2510,多单持仓,SS
14,恒力期货,2523,-4.0,2025-08-18,ss2510,多单持仓,SS
15,国投期货,2483,32.0,2025-08-18,ss2510,多单持仓,SS
16,乾坤期货,2372,-701.0,2025-08-18,ss2510,多单持仓,SS
17,中泰期货,2198,-106.0,2025-08-18,ss2510,多单持仓,SS
18,平安期货,1967,404.0,2025-08-18,ss2510,多单持仓,SS
19,光大期货,1799,-72.0,2025-08-18,ss2510,多单持仓,SS
20,东海期货,1708,-44.0,2025-08-18,ss2510,多单持仓,SS
1,中信期货,18748,253.0,2025-08-19,ss2510,多单持仓,SS
2,浙商期货,9453,-192.0,2025-08-19,ss2510,多单持仓,SS
3,华泰期货,7305,220.0,2025-08-19,ss2510,多单持仓,SS
4,国泰君安,6953,534.0,2025-08-19,ss2510,多单持仓,SS
5,国联期货,4964,804.0,2025-08-19,ss2510,多单持仓,SS
6,东证期货,4874,344.0,2025-08-19,ss2510,多单持仓,SS
7,中粮期货,4827,-12.0,2025-08-19,ss2510,多单持仓,SS
8,广发期货,4679,122.0,2025-08-19,ss2510,多单持仓,SS
9,银河期货,4032,338.0,2025-08-19,ss2510,多单持仓,SS
10,南华期货,3316,185.0,2025-08-19,ss2510,多单持仓,SS
11,中信建投,3000,349.0,2025-08-19,ss2510,多单持仓,SS
12,东方财富,2873,338.0,2025-08-19,ss2510,多单持仓,SS
13,中金财富,2858,-585.0,2025-08-19,ss2510,多单持仓,SS
14,中泰期货,2421,223.0,2025-08-19,ss2510,多单持仓,SS
15,恒力期货,2409,-114.0,2025-08-19,ss2510,多单持仓,SS
16,国投期货,1787,-696.0,2025-08-19,ss2510,多单持仓,SS
17,平安期货,1738,-229.0,2025-08-19,ss2510,多单持仓,SS
18,东海期货,1723,15.0,2025-08-19,ss2510,多单持仓,SS
19,永安期货,1697,18.0,2025-08-19,ss2510,多单持仓,SS
20,金石期货,1602,181.0,2025-08-19,ss2510,多单持仓,SS
1,中信期货,19048,300.0,2025-08-20,ss2510,多单持仓,SS
2,浙商期货,8816,-637.0,2025-08-20,ss2510,多单持仓,SS
3,华泰期货,7970,665.0,2025-08-20,ss2510,多单持仓,SS
4,国泰君安,7594,641.0,2025-08-20,ss2510,多单持仓,SS
5,国联期货,5855,891.0,2025-08-20,ss2510,多单持仓,SS
6,东证期货,4940,66.0,2025-08-20,ss2510,多单持仓,SS
7,中粮期货,4904,77.0,2025-08-20,ss2510,多单持仓,SS
8,银河期货,4543,511.0,2025-08-20,ss2510,多单持仓,SS
9,东方财富,4014,1141.0,2025-08-20,ss2510,多单持仓,SS
10,南华期货,3565,249.0,2025-08-20,ss2510,多单持仓,SS
11,广发期货,3163,-1516.0,2025-08-20,ss2510,多单持仓,SS
12,中信建投,3132,132.0,2025-08-20,ss2510,多单持仓,SS
13,恒力期货,2771,362.0,2025-08-20,ss2510,多单持仓,SS
14,国投期货,2560,773.0,2025-08-20,ss2510,多单持仓,SS
15,中金财富,2144,-714.0,2025-08-20,ss2510,多单持仓,SS
16,东亚期货,2143,783.0,2025-08-20,ss2510,多单持仓,SS
17,光大期货,2034,579.0,2025-08-20,ss2510,多单持仓,SS
18,东海期货,1826,103.0,2025-08-20,ss2510,多单持仓,SS
19,金石期货,1695,93.0,2025-08-20,ss2510,多单持仓,SS
20,永安期货,1607,-90.0,2025-08-20,ss2510,多单持仓,SS
1,中信期货,19371,323.0,2025-08-21,ss2510,多单持仓,SS
2,浙商期货,8311,-505.0,2025-08-21,ss2510,多单持仓,SS
3,华泰期货,7921,-49.0,2025-08-21,ss2510,多单持仓,SS
4,国泰君安,7279,-315.0,2025-08-21,ss2510,多单持仓,SS
5,国联期货,5697,-158.0,2025-08-21,ss2510,多单持仓,SS
6,东证期货,5433,493.0,2025-08-21,ss2510,多单持仓,SS
7,中粮期货,4905,1.0,2025-08-21,ss2510,多单持仓,SS
8,银河期货,4721,178.0,2025-08-21,ss2510,多单持仓,SS
9,东方财富,4152,138.0,2025-08-21,ss2510,多单持仓,SS
10,南华期货,3646,81.0,2025-08-21,ss2510,多单持仓,SS
11,中信建投,3201,69.0,2025-08-21,ss2510,多单持仓,SS
12,广发期货,3160,-3.0,2025-08-21,ss2510,多单持仓,SS
13,恒力期货,2954,183.0,2025-08-21,ss2510,多单持仓,SS
14,国投期货,2694,134.0,2025-08-21,ss2510,多单持仓,SS
15,东亚期货,2137,-6.0,2025-08-21,ss2510,多单持仓,SS
16,光大期货,1987,-47.0,2025-08-21,ss2510,多单持仓,SS
17,宏源期货,1969,379.0,2025-08-21,ss2510,多单持仓,SS
18,金石期货,1911,216.0,2025-08-21,ss2510,多单持仓,SS
19,方正中期,1868,592.0,2025-08-21,ss2510,多单持仓,SS
20,东海期货,1805,-21.0,2025-08-21,ss2510,多单持仓,SS
1,中信期货,18605,-766.0,20250822,ss2510,多单持仓,SS
2,华泰期货,8389,468.0,20250822,ss2510,多单持仓,SS
3,浙商期货,7868,-443.0,20250822,ss2510,多单持仓,SS
4,国泰君安,7732,453.0,20250822,ss2510,多单持仓,SS
5,国联期货,6384,687.0,20250822,ss2510,多单持仓,SS
6,东证期货,6136,703.0,20250822,ss2510,多单持仓,SS
7,中粮期货,4910,5.0,20250822,ss2510,多单持仓,SS
8,银河期货,4434,-287.0,20250822,ss2510,多单持仓,SS
9,东方财富,4377,225.0,20250822,ss2510,多单持仓,SS
10,南华期货,3806,160.0,20250822,ss2510,多单持仓,SS
11,中信建投,3607,406.0,20250822,ss2510,多单持仓,SS
12,恒力期货,3530,576.0,20250822,ss2510,多单持仓,SS
13,广发期货,3339,179.0,20250822,ss2510,多单持仓,SS
14,国投期货,3047,353.0,20250822,ss2510,多单持仓,SS
15,方正中期,2157,289.0,20250822,ss2510,多单持仓,SS
16,东亚期货,2149,12.0,20250822,ss2510,多单持仓,SS
17,广州期货,2127,665.0,20250822,ss2510,多单持仓,SS
18,金石期货,2026,115.0,20250822,ss2510,多单持仓,SS
19,中泰期货,1913,144.0,20250822,ss2510,多单持仓,SS
20,宏源期货,1912,-57.0,20250822,ss2510,多单持仓,SS
1,中信期货,17684,-921.0,20250825,ss2510,多单持仓,SS
2,华泰期货,8107,-282.0,20250825,ss2510,多单持仓,SS
3,东证期货,7846,1710.0,20250825,ss2510,多单持仓,SS
4,国泰君安,7689,-43.0,20250825,ss2510,多单持仓,SS
5,浙商期货,7535,-333.0,20250825,ss2510,多单持仓,SS
6,国联期货,5892,-492.0,20250825,ss2510,多单持仓,SS
7,中粮期货,4947,37.0,20250825,ss2510,多单持仓,SS
8,银河期货,4080,-354.0,20250825,ss2510,多单持仓,SS
9,东方财富,4080,-297.0,20250825,ss2510,多单持仓,SS
10,恒力期货,3839,309.0,20250825,ss2510,多单持仓,SS
11,南华期货,3497,-309.0,20250825,ss2510,多单持仓,SS
12,中信建投,3425,-182.0,20250825,ss2510,多单持仓,SS
13,广发期货,3138,-201.0,20250825,ss2510,多单持仓,SS
14,国投期货,2505,-542.0,20250825,ss2510,多单持仓,SS
15,方正中期,2471,314.0,20250825,ss2510,多单持仓,SS
16,东亚期货,2120,-29.0,20250825,ss2510,多单持仓,SS
17,宏源期货,2074,162.0,20250825,ss2510,多单持仓,SS
18,金石期货,1954,-72.0,20250825,ss2510,多单持仓,SS
19,中泰期货,1907,-6.0,20250825,ss2510,多单持仓,SS
20,广州期货,1885,-242.0,20250825,ss2510,多单持仓,SS
1,中信期货,16844,-840.0,20250826,ss2510,多单持仓,SS
2,国泰君安,7731,42.0,20250826,ss2510,多单持仓,SS
3,东证期货,7291,-555.0,20250826,ss2510,多单持仓,SS
4,华泰期货,7233,-874.0,20250826,ss2510,多单持仓,SS
5,国联期货,6131,239.0,20250826,ss2510,多单持仓,SS
6,浙商期货,5188,-2347.0,20250826,ss2510,多单持仓,SS
7,东方财富,4102,22.0,20250826,ss2510,多单持仓,SS
8,中粮期货,3988,-959.0,20250826,ss2510,多单持仓,SS
9,恒力期货,3629,-210.0,20250826,ss2510,多单持仓,SS
10,中信建投,3435,10.0,20250826,ss2510,多单持仓,SS
11,银河期货,3300,-780.0,20250826,ss2510,多单持仓,SS
12,广发期货,3011,-127.0,20250826,ss2510,多单持仓,SS
13,南华期货,2518,-979.0,20250826,ss2510,多单持仓,SS
14,国投期货,2283,-222.0,20250826,ss2510,多单持仓,SS
15,东亚期货,2175,55.0,20250826,ss2510,多单持仓,SS
16,广州期货,2148,263.0,20250826,ss2510,多单持仓,SS
17,方正中期,2117,-354.0,20250826,ss2510,多单持仓,SS
18,宏源期货,2063,-11.0,20250826,ss2510,多单持仓,SS
19,金石期货,1938,-16.0,20250826,ss2510,多单持仓,SS
20,中泰期货,1929,22.0,20250826,ss2510,多单持仓,SS
1,中信期货,16086,-758.0,20250827,ss2510,多单持仓,SS
2,国泰君安,8445,714.0,20250827,ss2510,多单持仓,SS
3,华泰期货,6813,-420.0,20250827,ss2510,多单持仓,SS
4,东证期货,6612,-679.0,20250827,ss2510,多单持仓,SS
5,国联期货,6126,-5.0,20250827,ss2510,多单持仓,SS
6,中粮期货,3924,-64.0,20250827,ss2510,多单持仓,SS
7,东方财富,3870,-232.0,20250827,ss2510,多单持仓,SS
8,中信建投,3379,-56.0,20250827,ss2510,多单持仓,SS
9,恒力期货,3360,-269.0,20250827,ss2510,多单持仓,SS
10,银河期货,3281,-19.0,20250827,ss2510,多单持仓,SS
11,浙商期货,3217,-1971.0,20250827,ss2510,多单持仓,SS
12,广发期货,3107,96.0,20250827,ss2510,多单持仓,SS
13,南华期货,2480,-38.0,20250827,ss2510,多单持仓,SS
14,国投期货,2371,88.0,20250827,ss2510,多单持仓,SS
15,申万期货,2212,813.0,20250827,ss2510,多单持仓,SS
16,东亚期货,2188,13.0,20250827,ss2510,多单持仓,SS
17,宏源期货,2094,31.0,20250827,ss2510,多单持仓,SS
18,金石期货,1940,2.0,20250827,ss2510,多单持仓,SS
19,方正中期,1872,-245.0,20250827,ss2510,多单持仓,SS
20,广州期货,1860,-288.0,20250827,ss2510,多单持仓,SS
1,中信期货,14672,-1414.0,20250828,SS2510,多单持仓,SS
2,国泰君安,8174,-271.0,20250828,SS2510,多单持仓,SS
3,华泰期货,6924,111.0,20250828,SS2510,多单持仓,SS
4,东证期货,6920,308.0,20250828,SS2510,多单持仓,SS
5,国联期货,6231,105.0,20250828,SS2510,多单持仓,SS
6,东方财富,3858,-12.0,20250828,SS2510,多单持仓,SS
7,中粮期货,3669,-255.0,20250828,SS2510,多单持仓,SS
8,恒力期货,3333,-27.0,20250828,SS2510,多单持仓,SS
9,广发期货,3239,132.0,20250828,SS2510,多单持仓,SS
10,银河期货,3172,-109.0,20250828,SS2510,多单持仓,SS
11,国投期货,3157,786.0,20250828,SS2510,多单持仓,SS
12,申万期货,2887,675.0,20250828,SS2510,多单持仓,SS
13,浙商期货,2855,-362.0,20250828,SS2510,多单持仓,SS
14,南华期货,2734,254.0,20250828,SS2510,多单持仓,SS
15,中信建投,2704,-675.0,20250828,SS2510,多单持仓,SS
16,方正中期,2466,594.0,20250828,SS2510,多单持仓,SS
17,东亚期货,2169,-19.0,20250828,SS2510,多单持仓,SS
18,宏源期货,2067,-27.0,20250828,SS2510,多单持仓,SS
19,金石期货,1949,9.0,20250828,SS2510,多单持仓,SS
20,广州期货,1838,-22.0,20250828,SS2510,多单持仓,SS
1,中信期货,14024,-648.0,20250829,SS2510,多单持仓,SS
2,东证期货,8191,1271.0,20250829,SS2510,多单持仓,SS
3,国泰君安,7791,-383.0,20250829,SS2510,多单持仓,SS
4,国联期货,6426,195.0,20250829,SS2510,多单持仓,SS
5,华泰期货,6344,-580.0,20250829,SS2510,多单持仓,SS
6,东方财富,3824,-34.0,20250829,SS2510,多单持仓,SS
7,中粮期货,3786,117.0,20250829,SS2510,多单持仓,SS
8,国投期货,3240,83.0,20250829,SS2510,多单持仓,SS
9,浙商期货,2754,-101.0,20250829,SS2510,多单持仓,SS
10,申万期货,2719,-168.0,20250829,SS2510,多单持仓,SS
11,方正中期,2715,249.0,20250829,SS2510,多单持仓,SS
12,银河期货,2663,-509.0,20250829,SS2510,多单持仓,SS
13,广发期货,2657,-582.0,20250829,SS2510,多单持仓,SS
14,南华期货,2522,-212.0,20250829,SS2510,多单持仓,SS
15,金石期货,2172,223.0,20250829,SS2510,多单持仓,SS
16,广州期货,2116,278.0,20250829,SS2510,多单持仓,SS
17,恒力期货,2097,-1236.0,20250829,SS2510,多单持仓,SS
18,中信建投,2032,-672.0,20250829,SS2510,多单持仓,SS
19,东亚期货,1989,-180.0,20250829,SS2510,多单持仓,SS
20,华闻期货,1778,7.0,20250829,SS2510,多单持仓,SS
1,中信期货,10491,-3533.0,20250901,SS2510,多单持仓,SS
