排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,17431,-191.0,2026-06-22,ss2608,空单持仓,SS
2,国泰君安,14840,756.0,2026-06-22,ss2608,空单持仓,SS
3,东证期货,8429,1615.0,2026-06-22,ss2608,空单持仓,SS
4,银河期货,7240,201.0,2026-06-22,ss2608,空单持仓,SS
5,华泰期货,5517,495.0,2026-06-22,ss2608,空单持仓,SS
6,申万期货,3946,55.0,2026-06-22,ss2608,空单持仓,SS
7,国贸期货,3190,97.0,2026-06-22,ss2608,空单持仓,SS
8,广州期货,3126,161.0,2026-06-22,ss2608,空单持仓,SS
9,广发期货,2753,348.0,2026-06-22,ss2608,空单持仓,SS
10,一德期货,2466,103.0,2026-06-22,ss2608,空单持仓,SS
11,浙商期货,2279,26.0,2026-06-22,ss2608,空单持仓,SS
12,中泰期货,2066,-177.0,2026-06-22,ss2608,空单持仓,SS
13,国联期货,2050,181.0,2026-06-22,ss2608,空单持仓,SS
14,东方财富,2046,342.0,2026-06-22,ss2608,空单持仓,SS
15,方正中期,1934,-765.0,2026-06-22,ss2608,空单持仓,SS
16,国信期货,1781,152.0,2026-06-22,ss2608,空单持仓,SS
17,民生期货,1704,62.0,2026-06-22,ss2608,空单持仓,SS
18,金瑞期货,1658,-27.0,2026-06-22,ss2608,空单持仓,SS
19,创元期货,1592,-63.0,2026-06-22,ss2608,空单持仓,SS
20,国投期货,1438,419.0,2026-06-22,ss2608,空单持仓,SS
1,中信期货,14793,-2638.0,2026-06-23,ss2608,空单持仓,SS
2,国泰君安,14408,-432.0,2026-06-23,ss2608,空单持仓,SS
3,东证期货,9269,840.0,2026-06-23,ss2608,空单持仓,SS
4,银河期货,7476,236.0,2026-06-23,ss2608,空单持仓,SS
5,华泰期货,4784,-733.0,2026-06-23,ss2608,空单持仓,SS
6,申万期货,3775,-171.0,2026-06-23,ss2608,空单持仓,SS
7,广州期货,2868,-258.0,2026-06-23,ss2608,空单持仓,SS
8,广发期货,2610,-143.0,2026-06-23,ss2608,空单持仓,SS
9,一德期货,2515,49.0,2026-06-23,ss2608,空单持仓,SS
10,方正中期,2337,403.0,2026-06-23,ss2608,空单持仓,SS
11,中泰期货,2307,241.0,2026-06-23,ss2608,空单持仓,SS
12,国贸期货,2244,-946.0,2026-06-23,ss2608,空单持仓,SS
13,浙商期货,2090,-189.0,2026-06-23,ss2608,空单持仓,SS
14,平安期货,1818,469.0,2026-06-23,ss2608,空单持仓,SS
15,高盛期货,1805,1576.0,2026-06-23,ss2608,空单持仓,SS
16,民生期货,1715,11.0,2026-06-23,ss2608,空单持仓,SS
17,金瑞期货,1710,52.0,2026-06-23,ss2608,空单持仓,SS
18,光大期货,1612,477.0,2026-06-23,ss2608,空单持仓,SS
19,海证期货,1462,520.0,2026-06-23,ss2608,空单持仓,SS
20,东方财富,1416,-630.0,2026-06-23,ss2608,空单持仓,SS
1,国泰君安,14007,-401.0,2026-06-24,ss2608,空单持仓,SS
2,中信期货,13815,-978.0,2026-06-24,ss2608,空单持仓,SS
3,东证期货,8710,-559.0,2026-06-24,ss2608,空单持仓,SS
4,银河期货,7328,-148.0,2026-06-24,ss2608,空单持仓,SS
5,华泰期货,4489,-295.0,2026-06-24,ss2608,空单持仓,SS
6,广发期货,2923,313.0,2026-06-24,ss2608,空单持仓,SS
7,申万期货,2617,-1158.0,2026-06-24,ss2608,空单持仓,SS
8,金瑞期货,2529,819.0,2026-06-24,ss2608,空单持仓,SS
9,一德期货,2410,-105.0,2026-06-24,ss2608,空单持仓,SS
10,中泰期货,2358,51.0,2026-06-24,ss2608,空单持仓,SS
11,广州期货,2344,-524.0,2026-06-24,ss2608,空单持仓,SS
12,方正中期,2312,-25.0,2026-06-24,ss2608,空单持仓,SS
13,平安期货,2186,368.0,2026-06-24,ss2608,空单持仓,SS
14,五矿期货,2110,1042.0,2026-06-24,ss2608,空单持仓,SS
15,光大期货,1716,104.0,2026-06-24,ss2608,空单持仓,SS
16,民生期货,1609,-106.0,2026-06-24,ss2608,空单持仓,SS
17,国信期货,1605,425.0,2026-06-24,ss2608,空单持仓,SS
18,浙商期货,1526,-564.0,2026-06-24,ss2608,空单持仓,SS
19,中金财富,1505,453.0,2026-06-24,ss2608,空单持仓,SS
20,永安期货,1477,105.0,2026-06-24,ss2608,空单持仓,SS
1,中信期货,13738,-77.0,2026-06-25,ss2608,空单持仓,SS
2,国泰君安,12402,-1605.0,2026-06-25,ss2608,空单持仓,SS
3,银河期货,5965,-1363.0,2026-06-25,ss2608,空单持仓,SS
4,华泰期货,5156,667.0,2026-06-25,ss2608,空单持仓,SS
5,东证期货,4933,-3777.0,2026-06-25,ss2608,空单持仓,SS
6,广发期货,2940,17.0,2026-06-25,ss2608,空单持仓,SS
7,一德期货,2938,528.0,2026-06-25,ss2608,空单持仓,SS
8,平安期货,2826,640.0,2026-06-25,ss2608,空单持仓,SS
9,申万期货,2789,172.0,2026-06-25,ss2608,空单持仓,SS
10,方正中期,2582,270.0,2026-06-25,ss2608,空单持仓,SS
11,中泰期货,2545,187.0,2026-06-25,ss2608,空单持仓,SS
12,中金财富,2248,743.0,2026-06-25,ss2608,空单持仓,SS
13,广州期货,2104,-240.0,2026-06-25,ss2608,空单持仓,SS
14,国投期货,1856,851.0,2026-06-25,ss2608,空单持仓,SS
15,光大期货,1843,127.0,2026-06-25,ss2608,空单持仓,SS
16,金瑞期货,1721,-808.0,2026-06-25,ss2608,空单持仓,SS
17,民生期货,1635,26.0,2026-06-25,ss2608,空单持仓,SS
18,宏源期货,1491,47.0,2026-06-25,ss2608,空单持仓,SS
19,招商期货,1466,340.0,2026-06-25,ss2608,空单持仓,SS
20,永安期货,1420,-57.0,2026-06-25,ss2608,空单持仓,SS
1,中信期货,12822,-916.0,2026-06-26,ss2608,空单持仓,SS
2,国泰君安,11641,-761.0,2026-06-26,ss2608,空单持仓,SS
3,华泰期货,6062,906.0,2026-06-26,ss2608,空单持仓,SS
4,银河期货,5914,-51.0,2026-06-26,ss2608,空单持仓,SS
5,东证期货,5122,189.0,2026-06-26,ss2608,空单持仓,SS
6,广发期货,3058,118.0,2026-06-26,ss2608,空单持仓,SS
7,平安期货,2753,-73.0,2026-06-26,ss2608,空单持仓,SS
8,中金财富,2621,373.0,2026-06-26,ss2608,空单持仓,SS
9,方正中期,2525,-57.0,2026-06-26,ss2608,空单持仓,SS
10,一德期货,2434,-504.0,2026-06-26,ss2608,空单持仓,SS
11,中泰期货,2181,-364.0,2026-06-26,ss2608,空单持仓,SS
12,广州期货,1974,-130.0,2026-06-26,ss2608,空单持仓,SS
13,国投期货,1782,-74.0,2026-06-26,ss2608,空单持仓,SS
14,金瑞期货,1744,23.0,2026-06-26,ss2608,空单持仓,SS
15,招商期货,1729,263.0,2026-06-26,ss2608,空单持仓,SS
16,宏源期货,1723,232.0,2026-06-26,ss2608,空单持仓,SS
17,申万期货,1693,-1096.0,2026-06-26,ss2608,空单持仓,SS
18,光大期货,1620,-223.0,2026-06-26,ss2608,空单持仓,SS
19,创元期货,1445,277.0,2026-06-26,ss2608,空单持仓,SS
20,民生期货,1426,-209.0,2026-06-26,ss2608,空单持仓,SS
