排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,东证期货,45104,-14075.0,2026-06-22,ss2608,成交量,SS
2,国泰君安,33687,-10589.0,2026-06-22,ss2608,成交量,SS
3,海通期货,20681,-3343.0,2026-06-22,ss2608,成交量,SS
4,中信期货,16798,-5917.0,2026-06-22,ss2608,成交量,SS
5,华泰期货,9386,-2952.0,2026-06-22,ss2608,成交量,SS
6,华闻期货,9308,-8667.0,2026-06-22,ss2608,成交量,SS
7,兴证期货,6369,1457.0,2026-06-22,ss2608,成交量,SS
8,东方财富,6157,-2994.0,2026-06-22,ss2608,成交量,SS
9,中泰期货,5959,-2429.0,2026-06-22,ss2608,成交量,SS
10,广发期货,5526,-5297.0,2026-06-22,ss2608,成交量,SS
11,方正中期,4710,-6746.0,2026-06-22,ss2608,成交量,SS
12,高盛期货,3561,-632.0,2026-06-22,ss2608,成交量,SS
13,银河期货,3536,-3765.0,2026-06-22,ss2608,成交量,SS
14,国投期货,3213,-1392.0,2026-06-22,ss2608,成交量,SS
15,招商期货,2710,643.0,2026-06-22,ss2608,成交量,SS
16,申万期货,2626,-847.0,2026-06-22,ss2608,成交量,SS
17,永安期货,2399,-72.0,2026-06-22,ss2608,成交量,SS
18,浙商期货,2334,-2990.0,2026-06-22,ss2608,成交量,SS
19,中信建投,2227,-839.0,2026-06-22,ss2608,成交量,SS
20,国联期货,2131,-2453.0,2026-06-22,ss2608,成交量,SS
1,东证期货,78537,33433.0,2026-06-23,ss2608,成交量,SS
2,国泰君安,62172,28485.0,2026-06-23,ss2608,成交量,SS
3,华泰期货,29044,19658.0,2026-06-23,ss2608,成交量,SS
4,中信期货,28083,11285.0,2026-06-23,ss2608,成交量,SS
5,海通期货,18722,-1959.0,2026-06-23,ss2608,成交量,SS
6,华闻期货,17085,7777.0,2026-06-23,ss2608,成交量,SS
7,中泰期货,16512,10553.0,2026-06-23,ss2608,成交量,SS
8,东方财富,13258,7101.0,2026-06-23,ss2608,成交量,SS
9,方正中期,8745,4035.0,2026-06-23,ss2608,成交量,SS
10,广发期货,7489,1963.0,2026-06-23,ss2608,成交量,SS
11,兴证期货,7233,864.0,2026-06-23,ss2608,成交量,SS
12,银河期货,7128,3592.0,2026-06-23,ss2608,成交量,SS
13,国联期货,6350,4219.0,2026-06-23,ss2608,成交量,SS
14,中信建投,4355,2128.0,2026-06-23,ss2608,成交量,SS
15,高盛期货,4198,637.0,2026-06-23,ss2608,成交量,SS
16,招商期货,4072,1362.0,2026-06-23,ss2608,成交量,SS
17,国信期货,3953,2370.0,2026-06-23,ss2608,成交量,SS
18,国投期货,3949,736.0,2026-06-23,ss2608,成交量,SS
19,瑞达期货,3498,2439.0,2026-06-23,ss2608,成交量,SS
20,徽商期货,3462,1819.0,2026-06-23,ss2608,成交量,SS
1,东证期货,68298,-10239.0,2026-06-24,ss2608,成交量,SS
2,国泰君安,53859,-8313.0,2026-06-24,ss2608,成交量,SS
3,华泰期货,27027,-2017.0,2026-06-24,ss2608,成交量,SS
4,中信期货,23647,-4436.0,2026-06-24,ss2608,成交量,SS
5,海通期货,21970,3248.0,2026-06-24,ss2608,成交量,SS
