排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中财期货,68629,-1099.0,2025-08-18,v2601,多单持仓,V
2,宝城期货,49915,300.0,2025-08-18,v2601,多单持仓,V
3,国泰君安,49829,11184.0,2025-08-18,v2601,多单持仓,V
4,安粮期货,43740,114.0,2025-08-18,v2601,多单持仓,V
5,信达期货,38673,528.0,2025-08-18,v2601,多单持仓,V
6,中信期货,36896,651.0,2025-08-18,v2601,多单持仓,V
7,华泰期货,34452,8164.0,2025-08-18,v2601,多单持仓,V
8,物产中大,32627,392.0,2025-08-18,v2601,多单持仓,V
9,海通期货,21761,583.0,2025-08-18,v2601,多单持仓,V
10,广州期货,18533,10388.0,2025-08-18,v2601,多单持仓,V
11,东证期货,17825,-2705.0,2025-08-18,v2601,多单持仓,V
12,永安期货,16997,1656.0,2025-08-18,v2601,多单持仓,V
13,方正中期,16768,900.0,2025-08-18,v2601,多单持仓,V
14,中信建投,16209,909.0,2025-08-18,v2601,多单持仓,V
15,浙商期货,15504,2267.0,2025-08-18,v2601,多单持仓,V
16,南华期货,14358,2413.0,2025-08-18,v2601,多单持仓,V
17,徽商期货,14312,1015.0,2025-08-18,v2601,多单持仓,V
18,盛达期货,14109,941.0,2025-08-18,v2601,多单持仓,V
19,广发期货,13464,580.0,2025-08-18,v2601,多单持仓,V
20,光大期货,11908,572.0,2025-08-18,v2601,多单持仓,V
1,中财期货,67131,-1498.0,2025-08-19,v2601,多单持仓,V
2,国泰君安,54821,4992.0,2025-08-19,v2601,多单持仓,V
3,宝城期货,50055,140.0,2025-08-19,v2601,多单持仓,V
4,安粮期货,44312,572.0,2025-08-19,v2601,多单持仓,V
5,中信期货,41183,4287.0,2025-08-19,v2601,多单持仓,V
6,信达期货,40140,1467.0,2025-08-19,v2601,多单持仓,V
7,物产中大,32216,-411.0,2025-08-19,v2601,多单持仓,V
8,华泰期货,31663,-2789.0,2025-08-19,v2601,多单持仓,V
9,广州期货,29179,10646.0,2025-08-19,v2601,多单持仓,V
10,海通期货,22119,358.0,2025-08-19,v2601,多单持仓,V
11,东证期货,20246,2421.0,2025-08-19,v2601,多单持仓,V
12,方正中期,19158,2390.0,2025-08-19,v2601,多单持仓,V
13,永安期货,18747,1750.0,2025-08-19,v2601,多单持仓,V
14,中信建投,17322,1113.0,2025-08-19,v2601,多单持仓,V
15,徽商期货,16185,1873.0,2025-08-19,v2601,多单持仓,V
16,浙商期货,15360,-144.0,2025-08-19,v2601,多单持仓,V
17,南华期货,15326,968.0,2025-08-19,v2601,多单持仓,V
18,广发期货,14207,743.0,2025-08-19,v2601,多单持仓,V
19,盛达期货,13968,-141.0,2025-08-19,v2601,多单持仓,V
20,银河期货,12838,1617.0,2025-08-19,v2601,多单持仓,V
1,中财期货,66187,-944.0,2025-08-20,v2601,多单持仓,V
2,国泰君安,56218,1397.0,2025-08-20,v2601,多单持仓,V
3,宝城期货,50543,488.0,2025-08-20,v2601,多单持仓,V
4,中信期货,44365,3182.0,2025-08-20,v2601,多单持仓,V
5,安粮期货,44300,-12.0,2025-08-20,v2601,多单持仓,V
6,信达期货,40510,370.0,2025-08-20,v2601,多单持仓,V
7,物产中大,34429,2213.0,2025-08-20,v2601,多单持仓,V
8,华泰期货,31531,-132.0,2025-08-20,v2601,多单持仓,V
9,广州期货,29387,208.0,2025-08-20,v2601,多单持仓,V
10,东证期货,27152,6906.0,2025-08-20,v2601,多单持仓,V
11,海通期货,24824,2705.0,2025-08-20,v2601,多单持仓,V
12,方正中期,21119,1961.0,2025-08-20,v2601,多单持仓,V
13,永安期货,19878,1131.0,2025-08-20,v2601,多单持仓,V
14,中信建投,17126,-196.0,2025-08-20,v2601,多单持仓,V
15,南华期货,17014,1688.0,2025-08-20,v2601,多单持仓,V
16,广发期货,15177,970.0,2025-08-20,v2601,多单持仓,V
17,盛达期货,14279,311.0,2025-08-20,v2601,多单持仓,V
18,徽商期货,13947,-2238.0,2025-08-20,v2601,多单持仓,V
19,浙商期货,13010,-2350.0,2025-08-20,v2601,多单持仓,V
20,银河期货,12887,49.0,2025-08-20,v2601,多单持仓,V
1,中财期货,66492,305.0,2025-08-21,v2601,多单持仓,V
2,国泰君安,56376,158.0,2025-08-21,v2601,多单持仓,V
3,宝城期货,51028,485.0,2025-08-21,v2601,多单持仓,V
4,中信期货,46933,2568.0,2025-08-21,v2601,多单持仓,V
5,安粮期货,44711,411.0,2025-08-21,v2601,多单持仓,V
6,信达期货,41354,844.0,2025-08-21,v2601,多单持仓,V
7,物产中大,35604,1175.0,2025-08-21,v2601,多单持仓,V
8,华泰期货,32865,1334.0,2025-08-21,v2601,多单持仓,V
9,广州期货,29824,437.0,2025-08-21,v2601,多单持仓,V
10,东证期货,23738,-3414.0,2025-08-21,v2601,多单持仓,V
11,海通期货,23622,-1202.0,2025-08-21,v2601,多单持仓,V
12,永安期货,21681,1803.0,2025-08-21,v2601,多单持仓,V
13,方正中期,21674,555.0,2025-08-21,v2601,多单持仓,V
14,中信建投,18290,1164.0,2025-08-21,v2601,多单持仓,V
15,南华期货,17213,199.0,2025-08-21,v2601,多单持仓,V
16,浙商期货,16649,3639.0,2025-08-21,v2601,多单持仓,V
17,广发期货,15597,420.0,2025-08-21,v2601,多单持仓,V
18,徽商期货,15172,1225.0,2025-08-21,v2601,多单持仓,V
19,银河期货,14849,1962.0,2025-08-21,v2601,多单持仓,V
20,盛达期货,14191,-88.0,2025-08-21,v2601,多单持仓,V
1,中财期货,67010,518.0,20250822,v2601,多单持仓,V
2,国泰君安,56491,115.0,20250822,v2601,多单持仓,V
3,宝城期货,51370,342.0,20250822,v2601,多单持仓,V
4,中信期货,46669,-264.0,20250822,v2601,多单持仓,V
5,安粮期货,44711,0.0,20250822,v2601,多单持仓,V
6,信达期货,42486,1132.0,20250822,v2601,多单持仓,V
7,物产中大,35822,218.0,20250822,v2601,多单持仓,V
8,华泰期货,32655,-210.0,20250822,v2601,多单持仓,V
9,广州期货,29942,118.0,20250822,v2601,多单持仓,V
10,东证期货,25812,2074.0,20250822,v2601,多单持仓,V
11,海通期货,25504,1882.0,20250822,v2601,多单持仓,V
12,永安期货,22437,756.0,20250822,v2601,多单持仓,V
13,方正中期,22125,451.0,20250822,v2601,多单持仓,V
14,南华期货,18153,940.0,20250822,v2601,多单持仓,V
15,中信建投,17947,-343.0,20250822,v2601,多单持仓,V
16,浙商期货,17474,825.0,20250822,v2601,多单持仓,V
17,银河期货,16036,1187.0,20250822,v2601,多单持仓,V
18,广发期货,15310,-287.0,20250822,v2601,多单持仓,V
19,徽商期货,15246,74.0,20250822,v2601,多单持仓,V
20,华安期货,14272,201.0,20250822,v2601,多单持仓,V
1,中财期货,66945,-65.0,20250825,v2601,多单持仓,V
2,宝城期货,51560,190.0,20250825,v2601,多单持仓,V
3,国泰君安,49500,-6991.0,20250825,v2601,多单持仓,V
4,中信期货,48590,1921.0,20250825,v2601,多单持仓,V
5,安粮期货,44699,-12.0,20250825,v2601,多单持仓,V
6,信达期货,43611,1125.0,20250825,v2601,多单持仓,V
7,恒力期货,38819,28924.0,20250825,v2601,多单持仓,V
8,物产中大,35571,-251.0,20250825,v2601,多单持仓,V
9,华泰期货,33013,358.0,20250825,v2601,多单持仓,V
10,广州期货,29205,-737.0,20250825,v2601,多单持仓,V
11,东证期货,25238,-574.0,20250825,v2601,多单持仓,V
12,永安期货,23782,1345.0,20250825,v2601,多单持仓,V
13,海通期货,22433,-3071.0,20250825,v2601,多单持仓,V
14,方正中期,21162,-963.0,20250825,v2601,多单持仓,V
15,南华期货,18878,725.0,20250825,v2601,多单持仓,V
16,中信建投,18249,302.0,20250825,v2601,多单持仓,V
17,徽商期货,16299,1053.0,20250825,v2601,多单持仓,V
18,浙商期货,16258,-1216.0,20250825,v2601,多单持仓,V
19,广发期货,15892,582.0,20250825,v2601,多单持仓,V
20,华安期货,14400,128.0,20250825,v2601,多单持仓,V
1,中财期货,67486,541.0,20250826,v2601,多单持仓,V
2,宝城期货,52285,725.0,20250826,v2601,多单持仓,V
3,中信期货,52087,3497.0,20250826,v2601,多单持仓,V
4,国泰君安,52051,2551.0,20250826,v2601,多单持仓,V
5,安粮期货,45393,694.0,20250826,v2601,多单持仓,V
6,信达期货,43536,-75.0,20250826,v2601,多单持仓,V
7,恒力期货,38938,119.0,20250826,v2601,多单持仓,V
8,华泰期货,35803,2790.0,20250826,v2601,多单持仓,V
9,物产中大,35608,37.0,20250826,v2601,多单持仓,V
10,广州期货,29492,287.0,20250826,v2601,多单持仓,V
11,永安期货,25040,1258.0,20250826,v2601,多单持仓,V
12,海通期货,22634,201.0,20250826,v2601,多单持仓,V
13,方正中期,22355,1193.0,20250826,v2601,多单持仓,V
14,东证期货,22130,-3108.0,20250826,v2601,多单持仓,V
15,南华期货,20128,1250.0,20250826,v2601,多单持仓,V
16,中信建投,19550,1301.0,20250826,v2601,多单持仓,V
17,徽商期货,18062,1763.0,20250826,v2601,多单持仓,V
18,浙商期货,17105,847.0,20250826,v2601,多单持仓,V
19,广发期货,16397,505.0,20250826,v2601,多单持仓,V
20,华安期货,15418,1018.0,20250826,v2601,多单持仓,V
1,中财期货,67202,-284.0,20250827,V2601,多单持仓,V
2,国泰君安,57738,5687.0,20250827,V2601,多单持仓,V
