排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,东证期货,157410,1089.0,2025-11-06,v2601,成交量,V
2,国泰君安,147678,-38675.0,2025-11-06,v2601,成交量,V
3,中信期货,145879,7660.0,2025-11-06,v2601,成交量,V
4,华闻期货,74503,-11479.0,2025-11-06,v2601,成交量,V
5,广发期货,70330,-8258.0,2025-11-06,v2601,成交量,V
6,浙商期货,50540,6261.0,2025-11-06,v2601,成交量,V
7,华泰期货,39653,-5382.0,2025-11-06,v2601,成交量,V
8,国联期货,36873,-9718.0,2025-11-06,v2601,成交量,V
9,南华期货,35156,3468.0,2025-11-06,v2601,成交量,V
10,徽商期货,32502,-2146.0,2025-11-06,v2601,成交量,V
11,银河期货,27886,-2353.0,2025-11-06,v2601,成交量,V
12,中信建投,27765,-375.0,2025-11-06,v2601,成交量,V
13,永安期货,18466,6793.0,2025-11-06,v2601,成交量,V
14,东方财富,18338,2281.0,2025-11-06,v2601,成交量,V
15,国信期货,18054,-1492.0,2025-11-06,v2601,成交量,V
16,方正中期,17211,-1947.0,2025-11-06,v2601,成交量,V
17,申银万国,16862,720.0,2025-11-06,v2601,成交量,V
18,瑞达期货,16172,-2000.0,2025-11-06,v2601,成交量,V
19,海通期货,15995,-150.0,2025-11-06,v2601,成交量,V
20,创元期货,14856,-2652.0,2025-11-06,v2601,成交量,V
1,国泰君安,151774,22669.0,2025-11-10,v2601,成交量,V
2,东证期货,137246,6599.0,2025-11-10,v2601,成交量,V
3,中信期货,130342,3416.0,2025-11-10,v2601,成交量,V
4,广发期货,68935,4529.0,2025-11-10,v2601,成交量,V
5,华闻期货,59361,15245.0,2025-11-10,v2601,成交量,V
6,浙商期货,49676,1804.0,2025-11-10,v2601,成交量,V
7,华泰期货,47111,10320.0,2025-11-10,v2601,成交量,V
8,南华期货,39969,5331.0,2025-11-10,v2601,成交量,V
9,徽商期货,31616,3397.0,2025-11-10,v2601,成交量,V
10,国联期货,29719,2914.0,2025-11-10,v2601,成交量,V
11,瑞达期货,29330,11290.0,2025-11-10,v2601,成交量,V
12,中信建投,28014,4186.0,2025-11-10,v2601,成交量,V
13,银河期货,27713,3891.0,2025-11-10,v2601,成交量,V
14,方正中期,22668,9774.0,2025-11-10,v2601,成交量,V
15,东方财富,19423,4881.0,2025-11-10,v2601,成交量,V
16,创元期货,19340,6668.0,2025-11-10,v2601,成交量,V
17,申银万国,17307,2768.0,2025-11-10,v2601,成交量,V
18,海通期货,16292,1731.0,2025-11-10,v2601,成交量,V
19,国信期货,15099,-1321.0,2025-11-10,v2601,成交量,V
20,宝城期货,14407,4072.0,2025-11-10,v2601,成交量,V
1,国泰君安,139928,-11846.0,2025-11-11,v2601,成交量,V
2,东证期货,126242,-11004.0,2025-11-11,v2601,成交量,V
3,中信期货,122652,-7690.0,2025-11-11,v2601,成交量,V
4,广发期货,58215,-10720.0,2025-11-11,v2601,成交量,V
5,华闻期货,44927,-14434.0,2025-11-11,v2601,成交量,V
6,浙商期货,38914,-10762.0,2025-11-11,v2601,成交量,V
7,徽商期货,34181,2565.0,2025-11-11,v2601,成交量,V
8,华泰期货,31450,-15661.0,2025-11-11,v2601,成交量,V
9,国联期货,28305,-1414.0,2025-11-11,v2601,成交量,V
10,银河期货,25005,-2708.0,2025-11-11,v2601,成交量,V
11,南华期货,24562,-15407.0,2025-11-11,v2601,成交量,V
12,中信建投,20758,-7256.0,2025-11-11,v2601,成交量,V
13,瑞达期货,18612,-10718.0,2025-11-11,v2601,成交量,V
14,国信期货,16334,1235.0,2025-11-11,v2601,成交量,V
15,东吴期货,15802,3462.0,2025-11-11,v2601,成交量,V
16,东方财富,15029,-4394.0,2025-11-11,v2601,成交量,V
17,宝城期货,14054,-353.0,2025-11-11,v2601,成交量,V
18,海通期货,13590,-2702.0,2025-11-11,v2601,成交量,V
19,申银万国,13495,-3812.0,2025-11-11,v2601,成交量,V
20,方正中期,13189,-9479.0,2025-11-11,v2601,成交量,V
1,国泰君安,127537,-12391.0,2025-11-12,v2601,成交量,V
2,东证期货,121584,-4658.0,2025-11-12,v2601,成交量,V
3,中信期货,102394,-20258.0,2025-11-12,v2601,成交量,V
4,广发期货,47527,-10688.0,2025-11-12,v2601,成交量,V
5,华闻期货,40504,-4423.0,2025-11-12,v2601,成交量,V
6,国联期货,27631,-674.0,2025-11-12,v2601,成交量,V
7,南华期货,25974,1412.0,2025-11-12,v2601,成交量,V
8,银河期货,22872,-2133.0,2025-11-12,v2601,成交量,V
9,华泰期货,22752,-8698.0,2025-11-12,v2601,成交量,V
10,徽商期货,21412,-12769.0,2025-11-12,v2601,成交量,V
11,浙商期货,18396,-20518.0,2025-11-12,v2601,成交量,V
12,中信建投,17452,-3306.0,2025-11-12,v2601,成交量,V
13,瑞达期货,14416,-4196.0,2025-11-12,v2601,成交量,V
14,东方财富,12781,-2248.0,2025-11-12,v2601,成交量,V
15,东吴期货,12100,-3702.0,2025-11-12,v2601,成交量,V
16,海通期货,11686,-1904.0,2025-11-12,v2601,成交量,V
17,国信期货,10985,-5349.0,2025-11-12,v2601,成交量,V
18,创元期货,10675,-1605.0,2025-11-12,v2601,成交量,V
19,方正中期,10598,-2591.0,2025-11-12,v2601,成交量,V
20,申银万国,10161,-3334.0,2025-11-12,v2601,成交量,V
