排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,39419,-792.0,2025-11-06,y2601,多单持仓,Y
2,国投期货,37324,-1743.0,2025-11-06,y2601,多单持仓,Y
3,一德期货,25926,688.0,2025-11-06,y2601,多单持仓,Y
4,摩根大通,25051,-918.0,2025-11-06,y2601,多单持仓,Y
5,东证期货,20584,443.0,2025-11-06,y2601,多单持仓,Y
6,中粮期货,20310,-1890.0,2025-11-06,y2601,多单持仓,Y
7,弘业期货,19778,-1500.0,2025-11-06,y2601,多单持仓,Y
8,永安期货,17910,1262.0,2025-11-06,y2601,多单持仓,Y
9,华泰期货,14966,-63.0,2025-11-06,y2601,多单持仓,Y
10,广发期货,13821,457.0,2025-11-06,y2601,多单持仓,Y
11,西部期货,10213,100.0,2025-11-06,y2601,多单持仓,Y
12,建信期货,9596,68.0,2025-11-06,y2601,多单持仓,Y
13,中泰期货,9351,733.0,2025-11-06,y2601,多单持仓,Y
14,中信期货,9348,1032.0,2025-11-06,y2601,多单持仓,Y
15,五矿期货,8467,554.0,2025-11-06,y2601,多单持仓,Y
16,中信建投,8439,-571.0,2025-11-06,y2601,多单持仓,Y
17,浙商期货,8337,-856.0,2025-11-06,y2601,多单持仓,Y
18,光大期货,7794,66.0,2025-11-06,y2601,多单持仓,Y
19,中国国际,6405,-36.0,2025-11-06,y2601,多单持仓,Y
20,国富期货,6226,-706.0,2025-11-06,y2601,多单持仓,Y
1,国泰君安,39541,1824.0,2025-11-10,y2601,多单持仓,Y
2,国投期货,35527,-1841.0,2025-11-10,y2601,多单持仓,Y
3,摩根大通,23791,731.0,2025-11-10,y2601,多单持仓,Y
4,一德期货,21071,-1177.0,2025-11-10,y2601,多单持仓,Y
5,东证期货,20135,-1619.0,2025-11-10,y2601,多单持仓,Y
6,中粮期货,17969,-2759.0,2025-11-10,y2601,多单持仓,Y
7,永安期货,17830,97.0,2025-11-10,y2601,多单持仓,Y
8,华泰期货,16135,58.0,2025-11-10,y2601,多单持仓,Y
9,弘业期货,15274,-4482.0,2025-11-10,y2601,多单持仓,Y
10,广发期货,13069,-262.0,2025-11-10,y2601,多单持仓,Y
11,中信期货,10710,1622.0,2025-11-10,y2601,多单持仓,Y
12,中信建投,9544,248.0,2025-11-10,y2601,多单持仓,Y
13,建信期货,9473,-122.0,2025-11-10,y2601,多单持仓,Y
14,中泰期货,9369,734.0,2025-11-10,y2601,多单持仓,Y
15,银河期货,9254,1334.0,2025-11-10,y2601,多单持仓,Y
16,中国国际,8799,-1.0,2025-11-10,y2601,多单持仓,Y
17,五矿期货,8671,-188.0,2025-11-10,y2601,多单持仓,Y
18,光大期货,8176,410.0,2025-11-10,y2601,多单持仓,Y
19,浙商期货,7549,-545.0,2025-11-10,y2601,多单持仓,Y
20,新湖期货,6943,1074.0,2025-11-10,y2601,多单持仓,Y
1,国泰君安,37271,-2270.0,2025-11-11,y2601,多单持仓,Y
2,国投期货,36988,1461.0,2025-11-11,y2601,多单持仓,Y
3,摩根大通,28175,4384.0,2025-11-11,y2601,多单持仓,Y
4,一德期货,17808,-3263.0,2025-11-11,y2601,多单持仓,Y
5,东证期货,17521,-2614.0,2025-11-11,y2601,多单持仓,Y
6,中粮期货,17262,-707.0,2025-11-11,y2601,多单持仓,Y
7,永安期货,15297,-2533.0,2025-11-11,y2601,多单持仓,Y
8,华泰期货,15228,-907.0,2025-11-11,y2601,多单持仓,Y
9,中信期货,13586,2876.0,2025-11-11,y2601,多单持仓,Y
10,中信建投,13295,3751.0,2025-11-11,y2601,多单持仓,Y
11,弘业期货,13265,-2009.0,2025-11-11,y2601,多单持仓,Y
12,广发期货,12469,-600.0,2025-11-11,y2601,多单持仓,Y
13,乾坤期货,11628,5352.0,2025-11-11,y2601,多单持仓,Y
14,银河期货,10330,1076.0,2025-11-11,y2601,多单持仓,Y
15,建信期货,9484,11.0,2025-11-11,y2601,多单持仓,Y
16,五矿期货,8956,285.0,2025-11-11,y2601,多单持仓,Y
17,中泰期货,8169,-1200.0,2025-11-11,y2601,多单持仓,Y
18,浙商期货,7122,-427.0,2025-11-11,y2601,多单持仓,Y
19,光大期货,7085,-1091.0,2025-11-11,y2601,多单持仓,Y
20,西部期货,6094,-192.0,2025-11-11,y2601,多单持仓,Y
1,国泰君安,36496,-775.0,2025-11-12,y2601,多单持仓,Y
2,摩根大通,36219,8044.0,2025-11-12,y2601,多单持仓,Y
3,国投期货,34947,-2041.0,2025-11-12,y2601,多单持仓,Y
4,东证期货,19130,1609.0,2025-11-12,y2601,多单持仓,Y
5,一德期货,17574,-234.0,2025-11-12,y2601,多单持仓,Y
6,乾坤期货,16557,4929.0,2025-11-12,y2601,多单持仓,Y
7,永安期货,16421,1124.0,2025-11-12,y2601,多单持仓,Y
8,中粮期货,14986,-2276.0,2025-11-12,y2601,多单持仓,Y
9,华泰期货,14790,-438.0,2025-11-12,y2601,多单持仓,Y
10,广发期货,13747,1278.0,2025-11-12,y2601,多单持仓,Y
11,中信建投,13061,-234.0,2025-11-12,y2601,多单持仓,Y
12,中信期货,12823,-763.0,2025-11-12,y2601,多单持仓,Y
13,弘业期货,11407,-1858.0,2025-11-12,y2601,多单持仓,Y
14,银河期货,11020,690.0,2025-11-12,y2601,多单持仓,Y
15,建信期货,9279,-205.0,2025-11-12,y2601,多单持仓,Y
16,五矿期货,8156,-800.0,2025-11-12,y2601,多单持仓,Y
17,光大期货,7298,213.0,2025-11-12,y2601,多单持仓,Y
18,中泰期货,6966,-1203.0,2025-11-12,y2601,多单持仓,Y
19,中财期货,6384,865.0,2025-11-12,y2601,多单持仓,Y
20,西部期货,6147,53.0,2025-11-12,y2601,多单持仓,Y
