排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol,持仓量
1,国泰君安,97971.0,33137.0,2025-08-18,y2601,成交量,Y,
2,中信期货,87709.0,26255.0,2025-08-18,y2601,成交量,Y,
3,东证期货,83606.0,19469.0,2025-08-18,y2601,成交量,Y,
4,广发期货,52860.0,13687.0,2025-08-18,y2601,成交量,Y,
5,中粮期货,34405.0,19799.0,2025-08-18,y2601,成交量,Y,
6,光大期货,33194.0,-1424.0,2025-08-18,y2601,成交量,Y,
7,海通期货,32584.0,6950.0,2025-08-18,y2601,成交量,Y,
8,华泰期货,31240.0,22935.0,2025-08-18,y2601,成交量,Y,
9,徽商期货,16657.0,2232.0,2025-08-18,y2601,成交量,Y,
10,国投期货,16287.0,3859.0,2025-08-18,y2601,成交量,Y,
11,银河期货,14998.0,2643.0,2025-08-18,y2601,成交量,Y,
12,弘业期货,14700.0,4134.0,2025-08-18,y2601,成交量,Y,
13,华闻期货,13007.0,-12275.0,2025-08-18,y2601,成交量,Y,
14,国信期货,10863.0,3258.0,2025-08-18,y2601,成交量,Y,
15,一德期货,10617.0,2538.0,2025-08-18,y2601,成交量,Y,
16,浙商期货,10113.0,776.0,2025-08-18,y2601,成交量,Y,
17,永安期货,8743.0,5041.0,2025-08-18,y2601,成交量,Y,
18,南华期货,8631.0,-1865.0,2025-08-18,y2601,成交量,Y,
19,中泰期货,8332.0,1349.0,2025-08-18,y2601,成交量,Y,
20,宏源期货,7984.0,1389.0,2025-08-18,y2601,成交量,Y,
1,国泰君安,75850.0,-22121.0,2025-08-19,y2601,成交量,Y,
2,东证期货,75655.0,-7951.0,2025-08-19,y2601,成交量,Y,
3,中信期货,67778.0,-19931.0,2025-08-19,y2601,成交量,Y,
4,广发期货,36705.0,-16155.0,2025-08-19,y2601,成交量,Y,
5,光大期货,33660.0,466.0,2025-08-19,y2601,成交量,Y,
6,海通期货,31101.0,-1483.0,2025-08-19,y2601,成交量,Y,
7,中粮期货,27131.0,-7274.0,2025-08-19,y2601,成交量,Y,
8,国联期货,24924.0,19367.0,2025-08-19,y2601,成交量,Y,
9,华泰期货,23154.0,-8086.0,2025-08-19,y2601,成交量,Y,
10,中辉期货,22993.0,19134.0,2025-08-19,y2601,成交量,Y,
11,浙商期货,18164.0,8051.0,2025-08-19,y2601,成交量,Y,
12,华闻期货,15614.0,2607.0,2025-08-19,y2601,成交量,Y,
13,徽商期货,14310.0,-2347.0,2025-08-19,y2601,成交量,Y,
14,银河期货,13760.0,-1238.0,2025-08-19,y2601,成交量,Y,
15,宏源期货,13358.0,5374.0,2025-08-19,y2601,成交量,Y,
16,一德期货,11235.0,618.0,2025-08-19,y2601,成交量,Y,
17,弘业期货,10948.0,-3752.0,2025-08-19,y2601,成交量,Y,
18,国信期货,10663.0,-200.0,2025-08-19,y2601,成交量,Y,
19,申银万国,10553.0,3328.0,2025-08-19,y2601,成交量,Y,
20,中泰期货,9403.0,1071.0,2025-08-19,y2601,成交量,Y,
1,国泰君安,130814.0,54964.0,2025-08-20,y2601,成交量,Y,
2,中信期货,113044.0,45266.0,2025-08-20,y2601,成交量,Y,
3,东证期货,102318.0,26663.0,2025-08-20,y2601,成交量,Y,
4,广发期货,62546.0,25841.0,2025-08-20,y2601,成交量,Y,
5,海通期货,45679.0,14578.0,2025-08-20,y2601,成交量,Y,
6,华闻期货,40018.0,24404.0,2025-08-20,y2601,成交量,Y,
7,光大期货,36393.0,2733.0,2025-08-20,y2601,成交量,Y,
8,国联期货,30932.0,6008.0,2025-08-20,y2601,成交量,Y,
9,中粮期货,30138.0,3007.0,2025-08-20,y2601,成交量,Y,
10,华泰期货,21954.0,-1200.0,2025-08-20,y2601,成交量,Y,
11,银河期货,20793.0,7033.0,2025-08-20,y2601,成交量,Y,
12,徽商期货,20386.0,6076.0,2025-08-20,y2601,成交量,Y,
13,国投期货,17722.0,10725.0,2025-08-20,y2601,成交量,Y,
14,一德期货,16434.0,5199.0,2025-08-20,y2601,成交量,Y,
15,浙商期货,15961.0,-2203.0,2025-08-20,y2601,成交量,Y,
16,中辉期货,15541.0,-7452.0,2025-08-20,y2601,成交量,Y,
17,弘业期货,15180.0,4232.0,2025-08-20,y2601,成交量,Y,
18,国信期货,13436.0,2773.0,2025-08-20,y2601,成交量,Y,
19,中泰期货,12591.0,3188.0,2025-08-20,y2601,成交量,Y,
20,中信建投,11495.0,4520.0,2025-08-20,y2601,成交量,Y,
1,国泰君安,87120.0,-43694.0,2025-08-21,y2601,成交量,Y,
2,中信期货,79802.0,-33242.0,2025-08-21,y2601,成交量,Y,
3,东证期货,75910.0,-26408.0,2025-08-21,y2601,成交量,Y,
4,广发期货,47400.0,-15146.0,2025-08-21,y2601,成交量,Y,
5,海通期货,35085.0,-10594.0,2025-08-21,y2601,成交量,Y,
6,光大期货,31850.0,-4543.0,2025-08-21,y2601,成交量,Y,
7,国联期货,27022.0,-3910.0,2025-08-21,y2601,成交量,Y,
8,华泰期货,23424.0,1470.0,2025-08-21,y2601,成交量,Y,
9,中粮期货,19088.0,-11050.0,2025-08-21,y2601,成交量,Y,
10,华闻期货,14864.0,-25154.0,2025-08-21,y2601,成交量,Y,
11,中辉期货,13812.0,-1729.0,2025-08-21,y2601,成交量,Y,
12,徽商期货,13068.0,-7318.0,2025-08-21,y2601,成交量,Y,
13,银河期货,11955.0,-8838.0,2025-08-21,y2601,成交量,Y,
14,国投期货,10732.0,-6990.0,2025-08-21,y2601,成交量,Y,
15,国信期货,9478.0,-3958.0,2025-08-21,y2601,成交量,Y,
16,浙商期货,7126.0,-8835.0,2025-08-21,y2601,成交量,Y,
17,宏源期货,6449.0,-3725.0,2025-08-21,y2601,成交量,Y,
18,一德期货,6428.0,-10006.0,2025-08-21,y2601,成交量,Y,
19,中信建投,6083.0,-5412.0,2025-08-21,y2601,成交量,Y,
20,申银万国,6023.0,-1526.0,2025-08-21,y2601,成交量,Y,
1,国泰君安,,-5424.0,20250822,y2601,成交量,Y,81696.0
2,中信期货,,-7747.0,20250822,y2601,成交量,Y,72055.0
3,东证期货,,-8945.0,20250822,y2601,成交量,Y,66965.0
4,广发期货,,-3413.0,20250822,y2601,成交量,Y,43987.0
5,海通期货,,-4164.0,20250822,y2601,成交量,Y,30921.0
6,光大期货,,-1219.0,20250822,y2601,成交量,Y,30631.0
7,国联期货,,-756.0,20250822,y2601,成交量,Y,26266.0
8,华闻期货,,10457.0,20250822,y2601,成交量,Y,25321.0
9,华泰期货,,-1114.0,20250822,y2601,成交量,Y,22310.0
10,中粮期货,,702.0,20250822,y2601,成交量,Y,19790.0
11,中辉期货,,1096.0,20250822,y2601,成交量,Y,14908.0
12,国信期货,,4920.0,20250822,y2601,成交量,Y,14398.0
13,银河期货,,1140.0,20250822,y2601,成交量,Y,13095.0
14,徽商期货,,26.0,20250822,y2601,成交量,Y,13094.0
15,浙商期货,,5797.0,20250822,y2601,成交量,Y,12923.0
