排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,17262,1023.0,2026-06-22,zn2608,多单持仓,ZN
2,东证期货,9967,2187.0,2026-06-22,zn2608,多单持仓,ZN
3,国泰君安,9575,614.0,2026-06-22,zn2608,多单持仓,ZN
4,高盛期货,8685,-52.0,2026-06-22,zn2608,多单持仓,ZN
5,银河期货,3391,-384.0,2026-06-22,zn2608,多单持仓,ZN
6,浙商期货,3063,167.0,2026-06-22,zn2608,多单持仓,ZN
7,中泰期货,2788,71.0,2026-06-22,zn2608,多单持仓,ZN
8,国信期货,2698,1.0,2026-06-22,zn2608,多单持仓,ZN
9,东吴期货,2496,24.0,2026-06-22,zn2608,多单持仓,ZN
10,华泰期货,2458,-403.0,2026-06-22,zn2608,多单持仓,ZN
11,东亚期货,2448,-39.0,2026-06-22,zn2608,多单持仓,ZN
12,方正中期,2373,335.0,2026-06-22,zn2608,多单持仓,ZN
13,中信建投,2257,-91.0,2026-06-22,zn2608,多单持仓,ZN
14,广发期货,1950,358.0,2026-06-22,zn2608,多单持仓,ZN
15,南华期货,1689,301.0,2026-06-22,zn2608,多单持仓,ZN
16,中金财富,1664,474.0,2026-06-22,zn2608,多单持仓,ZN
17,建信期货,1620,45.0,2026-06-22,zn2608,多单持仓,ZN
18,瑞银期货,1613,0.0,2026-06-22,zn2608,多单持仓,ZN
19,永安期货,1368,183.0,2026-06-22,zn2608,多单持仓,ZN
20,海通期货,1333,190.0,2026-06-22,zn2608,多单持仓,ZN
1,中信期货,17447,185.0,2026-06-23,zn2608,多单持仓,ZN
2,东证期货,9787,-180.0,2026-06-23,zn2608,多单持仓,ZN
3,国泰君安,9390,-185.0,2026-06-23,zn2608,多单持仓,ZN
4,高盛期货,8065,-620.0,2026-06-23,zn2608,多单持仓,ZN
5,银河期货,3579,188.0,2026-06-23,zn2608,多单持仓,ZN
6,浙商期货,3304,241.0,2026-06-23,zn2608,多单持仓,ZN
7,东亚期货,2853,405.0,2026-06-23,zn2608,多单持仓,ZN
8,中泰期货,2775,-13.0,2026-06-23,zn2608,多单持仓,ZN
9,国信期货,2620,-78.0,2026-06-23,zn2608,多单持仓,ZN
10,东吴期货,2550,54.0,2026-06-23,zn2608,多单持仓,ZN
11,中信建投,2430,173.0,2026-06-23,zn2608,多单持仓,ZN
12,华泰期货,2426,-32.0,2026-06-23,zn2608,多单持仓,ZN
13,广发期货,2221,271.0,2026-06-23,zn2608,多单持仓,ZN
14,方正中期,2108,-265.0,2026-06-23,zn2608,多单持仓,ZN
15,建信期货,1852,232.0,2026-06-23,zn2608,多单持仓,ZN
16,南华期货,1753,64.0,2026-06-23,zn2608,多单持仓,ZN
17,瑞银期货,1612,-1.0,2026-06-23,zn2608,多单持仓,ZN
18,中粮期货,1610,1019.0,2026-06-23,zn2608,多单持仓,ZN
19,中金财富,1416,-248.0,2026-06-23,zn2608,多单持仓,ZN
20,海通期货,1391,58.0,2026-06-23,zn2608,多单持仓,ZN
1,中信期货,12600,-4847.0,2026-06-24,zn2608,多单持仓,ZN
2,东证期货,10638,851.0,2026-06-24,zn2608,多单持仓,ZN
3,国泰君安,8600,-790.0,2026-06-24,zn2608,多单持仓,ZN
4,高盛期货,7778,-287.0,2026-06-24,zn2608,多单持仓,ZN
5,银河期货,3576,-3.0,2026-06-24,zn2608,多单持仓,ZN
6,浙商期货,3332,28.0,2026-06-24,zn2608,多单持仓,ZN
7,东亚期货,3164,311.0,2026-06-24,zn2608,多单持仓,ZN
8,国信期货,3045,425.0,2026-06-24,zn2608,多单持仓,ZN
9,中泰期货,2824,49.0,2026-06-24,zn2608,多单持仓,ZN
10,东吴期货,2670,120.0,2026-06-24,zn2608,多单持仓,ZN
11,广发期货,2454,233.0,2026-06-24,zn2608,多单持仓,ZN
12,华泰期货,2393,-33.0,2026-06-24,zn2608,多单持仓,ZN
13,中信建投,2367,-63.0,2026-06-24,zn2608,多单持仓,ZN
14,方正中期,2070,-38.0,2026-06-24,zn2608,多单持仓,ZN
15,中粮期货,1944,334.0,2026-06-24,zn2608,多单持仓,ZN
16,建信期货,1856,4.0,2026-06-24,zn2608,多单持仓,ZN
17,南华期货,1824,71.0,2026-06-24,zn2608,多单持仓,ZN
18,瑞银期货,1528,-84.0,2026-06-24,zn2608,多单持仓,ZN
19,东航期货,1316,360.0,2026-06-24,zn2608,多单持仓,ZN
20,海通期货,1273,-118.0,2026-06-24,zn2608,多单持仓,ZN
1,中信期货,11062,-1538.0,2026-06-25,zn2608,多单持仓,ZN
2,东证期货,10787,149.0,2026-06-25,zn2608,多单持仓,ZN
3,国泰君安,7986,-614.0,2026-06-25,zn2608,多单持仓,ZN
