排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,9568,-837.0,2026-06-22,zn2608,空单持仓,ZN
2,国泰君安,8358,565.0,2026-06-22,zn2608,空单持仓,ZN
3,建信期货,5621,541.0,2026-06-22,zn2608,空单持仓,ZN
4,高盛期货,4229,66.0,2026-06-22,zn2608,空单持仓,ZN
5,中粮期货,3840,416.0,2026-06-22,zn2608,空单持仓,ZN
6,东证期货,3239,316.0,2026-06-22,zn2608,空单持仓,ZN
7,国贸期货,3053,74.0,2026-06-22,zn2608,空单持仓,ZN
8,银河期货,3037,798.0,2026-06-22,zn2608,空单持仓,ZN
9,华泰期货,2901,157.0,2026-06-22,zn2608,空单持仓,ZN
10,国投期货,2818,162.0,2026-06-22,zn2608,空单持仓,ZN
11,云晨期货,2448,33.0,2026-06-22,zn2608,空单持仓,ZN
12,铜冠金源,2347,-368.0,2026-06-22,zn2608,空单持仓,ZN
13,光大期货,2038,-168.0,2026-06-22,zn2608,空单持仓,ZN
14,新湖期货,1952,83.0,2026-06-22,zn2608,空单持仓,ZN
15,永安期货,1785,104.0,2026-06-22,zn2608,空单持仓,ZN
16,金瑞期货,1560,-166.0,2026-06-22,zn2608,空单持仓,ZN
17,宏源期货,1513,27.0,2026-06-22,zn2608,空单持仓,ZN
18,申万期货,1484,410.0,2026-06-22,zn2608,空单持仓,ZN
19,摩根大通,1482,402.0,2026-06-22,zn2608,空单持仓,ZN
20,瑞达期货,1386,491.0,2026-06-22,zn2608,空单持仓,ZN
1,中信期货,9234,-334.0,2026-06-23,zn2608,空单持仓,ZN
2,国泰君安,8759,401.0,2026-06-23,zn2608,空单持仓,ZN
3,建信期货,5689,68.0,2026-06-23,zn2608,空单持仓,ZN
4,高盛期货,4463,234.0,2026-06-23,zn2608,空单持仓,ZN
5,中粮期货,3877,37.0,2026-06-23,zn2608,空单持仓,ZN
6,东证期货,3529,290.0,2026-06-23,zn2608,空单持仓,ZN
7,国投期货,3349,531.0,2026-06-23,zn2608,空单持仓,ZN
8,华泰期货,3044,143.0,2026-06-23,zn2608,空单持仓,ZN
9,银河期货,3042,5.0,2026-06-23,zn2608,空单持仓,ZN
10,国贸期货,3019,-34.0,2026-06-23,zn2608,空单持仓,ZN
11,云晨期货,2493,45.0,2026-06-23,zn2608,空单持仓,ZN
12,铜冠金源,2364,17.0,2026-06-23,zn2608,空单持仓,ZN
13,金瑞期货,2056,496.0,2026-06-23,zn2608,空单持仓,ZN
14,新湖期货,1948,-4.0,2026-06-23,zn2608,空单持仓,ZN
15,光大期货,1922,-116.0,2026-06-23,zn2608,空单持仓,ZN
16,永安期货,1899,114.0,2026-06-23,zn2608,空单持仓,ZN
17,宏源期货,1854,341.0,2026-06-23,zn2608,空单持仓,ZN
18,瑞达期货,1578,192.0,2026-06-23,zn2608,空单持仓,ZN
19,华鑫期货,1570,604.0,2026-06-23,zn2608,空单持仓,ZN
20,中泰期货,1455,224.0,2026-06-23,zn2608,空单持仓,ZN
1,中信期货,9936,702.0,2026-06-24,zn2608,空单持仓,ZN
2,国泰君安,9865,1106.0,2026-06-24,zn2608,空单持仓,ZN
3,建信期货,5683,-6.0,2026-06-24,zn2608,空单持仓,ZN
4,高盛期货,4719,256.0,2026-06-24,zn2608,空单持仓,ZN
5,华泰期货,3957,913.0,2026-06-24,zn2608,空单持仓,ZN
6,东证期货,3859,330.0,2026-06-24,zn2608,空单持仓,ZN
7,国投期货,3662,313.0,2026-06-24,zn2608,空单持仓,ZN
8,银河期货,3212,170.0,2026-06-24,zn2608,空单持仓,ZN
9,国贸期货,2816,-203.0,2026-06-24,zn2608,空单持仓,ZN
10,中粮期货,2742,-1135.0,2026-06-24,zn2608,空单持仓,ZN
11,云晨期货,2428,-65.0,2026-06-24,zn2608,空单持仓,ZN
12,永安期货,2349,450.0,2026-06-24,zn2608,空单持仓,ZN
13,光大期货,1938,16.0,2026-06-24,zn2608,空单持仓,ZN
14,宏源期货,1928,74.0,2026-06-24,zn2608,空单持仓,ZN
15,铜冠金源,1762,-602.0,2026-06-24,zn2608,空单持仓,ZN
16,新湖期货,1616,-332.0,2026-06-24,zn2608,空单持仓,ZN
17,申万期货,1569,248.0,2026-06-24,zn2608,空单持仓,ZN
18,金瑞期货,1475,-581.0,2026-06-24,zn2608,空单持仓,ZN
19,海通期货,1401,308.0,2026-06-24,zn2608,空单持仓,ZN
20,中泰期货,1395,-60.0,2026-06-24,zn2608,空单持仓,ZN
1,中信期货,12780,2844.0,2026-06-25,zn2608,空单持仓,ZN
2,国泰君安,10969,1104.0,2026-06-25,zn2608,空单持仓,ZN
3,建信期货,5317,-366.0,2026-06-25,zn2608,空单持仓,ZN
4,国投期货,4236,574.0,2026-06-25,zn2608,空单持仓,ZN
5,东证期货,4157,298.0,2026-06-25,zn2608,空单持仓,ZN
6,华泰期货,3782,-175.0,2026-06-25,zn2608,空单持仓,ZN
7,银河期货,3229,17.0,2026-06-25,zn2608,空单持仓,ZN
8,永安期货,3027,678.0,2026-06-25,zn2608,空单持仓,ZN
9,高盛期货,2874,-1845.0,2026-06-25,zn2608,空单持仓,ZN
10,国贸期货,2766,-50.0,2026-06-25,zn2608,空单持仓,ZN
11,南华期货,2302,1498.0,2026-06-25,zn2608,空单持仓,ZN
12,云晨期货,2205,-223.0,2026-06-25,zn2608,空单持仓,ZN
13,宏源期货,2203,275.0,2026-06-25,zn2608,空单持仓,ZN
14,中粮期货,2072,-670.0,2026-06-25,zn2608,空单持仓,ZN
15,中金财富,1863,753.0,2026-06-25,zn2608,空单持仓,ZN
16,光大期货,1772,-166.0,2026-06-25,zn2608,空单持仓,ZN
17,铜冠金源,1597,-165.0,2026-06-25,zn2608,空单持仓,ZN
18,申万期货,1454,-115.0,2026-06-25,zn2608,空单持仓,ZN
19,新湖期货,1391,-225.0,2026-06-25,zn2608,空单持仓,ZN
20,中泰期货,1285,-110.0,2026-06-25,zn2608,空单持仓,ZN
