排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol,持仓量
1,中信期货,26596.0,8118.0,2025-08-18,zn2510,成交量,ZN,
2,东证期货,19211.0,4074.0,2025-08-18,zn2510,成交量,ZN,
3,中泰期货,18475.0,4100.0,2025-08-18,zn2510,成交量,ZN,
4,国泰君安,14735.0,5366.0,2025-08-18,zn2510,成交量,ZN,
5,华泰期货,13201.0,1378.0,2025-08-18,zn2510,成交量,ZN,
6,华闻期货,7492.0,2853.0,2025-08-18,zn2510,成交量,ZN,
7,南华期货,6829.0,3778.0,2025-08-18,zn2510,成交量,ZN,
8,广发期货,6632.0,3800.0,2025-08-18,zn2510,成交量,ZN,
9,浙商期货,4641.0,-1270.0,2025-08-18,zn2510,成交量,ZN,
10,申万期货,4565.0,1489.0,2025-08-18,zn2510,成交量,ZN,
11,海通期货,4270.0,827.0,2025-08-18,zn2510,成交量,ZN,
12,银河期货,3958.0,2551.0,2025-08-18,zn2510,成交量,ZN,
13,国信期货,3342.0,804.0,2025-08-18,zn2510,成交量,ZN,
14,东吴期货,2593.0,1454.0,2025-08-18,zn2510,成交量,ZN,
15,乾坤期货,2549.0,1326.0,2025-08-18,zn2510,成交量,ZN,
16,方正中期,2159.0,315.0,2025-08-18,zn2510,成交量,ZN,
17,宏源期货,2140.0,1013.0,2025-08-18,zn2510,成交量,ZN,
18,永安期货,1868.0,748.0,2025-08-18,zn2510,成交量,ZN,
19,先锋期货,1262.0,343.0,2025-08-18,zn2510,成交量,ZN,
20,瑞达期货,1213.0,148.0,2025-08-18,zn2510,成交量,ZN,
1,中信期货,33301.0,6705.0,2025-08-19,zn2510,成交量,ZN,
2,东证期货,25639.0,6428.0,2025-08-19,zn2510,成交量,ZN,
3,国泰君安,23536.0,8801.0,2025-08-19,zn2510,成交量,ZN,
4,华泰期货,16042.0,2841.0,2025-08-19,zn2510,成交量,ZN,
5,中泰期货,10399.0,-8076.0,2025-08-19,zn2510,成交量,ZN,
6,华闻期货,9963.0,2471.0,2025-08-19,zn2510,成交量,ZN,
7,海通期货,8669.0,4399.0,2025-08-19,zn2510,成交量,ZN,
8,南华期货,8511.0,1682.0,2025-08-19,zn2510,成交量,ZN,
9,广发期货,4736.0,-1896.0,2025-08-19,zn2510,成交量,ZN,
10,中粮期货,3962.0,2939.0,2025-08-19,zn2510,成交量,ZN,
11,申万期货,3645.0,-920.0,2025-08-19,zn2510,成交量,ZN,
12,银河期货,3625.0,-333.0,2025-08-19,zn2510,成交量,ZN,
13,乾坤期货,3219.0,670.0,2025-08-19,zn2510,成交量,ZN,
14,国信期货,3087.0,-255.0,2025-08-19,zn2510,成交量,ZN,
15,浙商期货,2247.0,-2394.0,2025-08-19,zn2510,成交量,ZN,
16,大有期货,2190.0,1294.0,2025-08-19,zn2510,成交量,ZN,
17,方正中期,2173.0,14.0,2025-08-19,zn2510,成交量,ZN,
18,光大期货,2166.0,991.0,2025-08-19,zn2510,成交量,ZN,
19,中信建投,1902.0,699.0,2025-08-19,zn2510,成交量,ZN,
20,一德期货,1850.0,757.0,2025-08-19,zn2510,成交量,ZN,
1,中信期货,30825.0,-2476.0,2025-08-20,zn2510,成交量,ZN,
2,东证期货,27188.0,1549.0,2025-08-20,zn2510,成交量,ZN,
3,国泰君安,26132.0,2596.0,2025-08-20,zn2510,成交量,ZN,
4,华泰期货,13675.0,-2367.0,2025-08-20,zn2510,成交量,ZN,
5,中泰期货,10850.0,451.0,2025-08-20,zn2510,成交量,ZN,
6,海通期货,10217.0,1548.0,2025-08-20,zn2510,成交量,ZN,
7,华闻期货,9745.0,-218.0,2025-08-20,zn2510,成交量,ZN,
8,南华期货,8493.0,-18.0,2025-08-20,zn2510,成交量,ZN,
9,广发期货,5579.0,843.0,2025-08-20,zn2510,成交量,ZN,
10,浙商期货,5559.0,3312.0,2025-08-20,zn2510,成交量,ZN,
11,国信期货,3504.0,417.0,2025-08-20,zn2510,成交量,ZN,
12,申万期货,3140.0,-505.0,2025-08-20,zn2510,成交量,ZN,
13,乾坤期货,3094.0,-125.0,2025-08-20,zn2510,成交量,ZN,
14,永安期货,2885.0,1255.0,2025-08-20,zn2510,成交量,ZN,
15,西部期货,2714.0,1817.0,2025-08-20,zn2510,成交量,ZN,
16,金瑞期货,2611.0,1917.0,2025-08-20,zn2510,成交量,ZN,
17,银河期货,2559.0,-1066.0,2025-08-20,zn2510,成交量,ZN,
18,五矿期货,2546.0,969.0,2025-08-20,zn2510,成交量,ZN,
19,方正中期,2404.0,231.0,2025-08-20,zn2510,成交量,ZN,
20,光大期货,2015.0,-151.0,2025-08-20,zn2510,成交量,ZN,
1,中信期货,23892.0,-6933.0,2025-08-21,zn2510,成交量,ZN,
2,东证期货,21795.0,-5393.0,2025-08-21,zn2510,成交量,ZN,
3,国泰君安,18618.0,-7514.0,2025-08-21,zn2510,成交量,ZN,
4,华泰期货,11830.0,-1845.0,2025-08-21,zn2510,成交量,ZN,
5,华闻期货,7507.0,-2238.0,2025-08-21,zn2510,成交量,ZN,
6,南华期货,7067.0,-1426.0,2025-08-21,zn2510,成交量,ZN,
7,中泰期货,6935.0,-3915.0,2025-08-21,zn2510,成交量,ZN,
8,海通期货,6384.0,-3833.0,2025-08-21,zn2510,成交量,ZN,
9,广发期货,5956.0,377.0,2025-08-21,zn2510,成交量,ZN,
10,浙商期货,3384.0,-2175.0,2025-08-21,zn2510,成交量,ZN,
11,银河期货,2932.0,373.0,2025-08-21,zn2510,成交量,ZN,
12,五矿期货,2468.0,-78.0,2025-08-21,zn2510,成交量,ZN,
13,国信期货,2385.0,-1119.0,2025-08-21,zn2510,成交量,ZN,
14,西部期货,2297.0,-417.0,2025-08-21,zn2510,成交量,ZN,
15,光大期货,2077.0,62.0,2025-08-21,zn2510,成交量,ZN,
16,方正中期,2075.0,-329.0,2025-08-21,zn2510,成交量,ZN,
17,国联期货,2051.0,355.0,2025-08-21,zn2510,成交量,ZN,
