date,receipt,change
2025-06-03,2903199,8933
2025-06-04,2942911,39712
2025-06-05,2992945,50034
2025-06-06,3023255,30310
2025-06-09,3131419,108164
2025-06-10,3221708,90289
2025-06-11,3322052,100344
2025-06-12,3298643,-23409
2025-06-13,3260833,-37810
2025-06-16,3218431,-42402
2025-06-17,3269326,50895
2025-06-18,3309906,40580
2025-06-19,3345943,36037
2025-06-20,3315631,-30312
2025-06-23,3361261,45630
2025-06-24,3384543,23282
2025-06-25,3436356,51813
2025-06-26,3421683,-14673
2025-06-27,3480354,58671
2025-06-30,3491000,10646
2025-07-01,3598816,107816
2025-07-02,3597187,-1629
2025-07-03,3609851,12664
2025-07-04,3604737,-5114
2025-07-07,3587242,-17495
2025-07-08,3591099,3857
2025-07-09,3549420,-41679
2025-07-10,3481479,-67941
2025-07-11,3501059,19580
2025-07-14,3311637,-189422
2025-07-15,3308745,-2892
2025-07-16,3279613,-29132
2025-07-17,3286725,7112
2025-07-18,3258601,-28124
2025-07-21,3239719,-18882
2025-07-22,3228748,-10971
2025-07-23,3203714,-25034
2025-07-24,3204788,1074
2025-07-25,3201297,-3491
2025-07-28,3265693,64396
2025-07-29,3258712,-6981
2025-07-30,3269710,10998
2025-07-31,3268638,-1072
2025-08-01,3202761,-65877
2025-08-04,3186260,-16501
2025-08-05,3139127,-47133
2025-08-06,3138680,-447
2025-08-07,3106505,-32175
2025-08-08,3137317,30812
2025-08-11,3124566,-12751
2025-08-12,3117519,-7047
2025-08-13,3078707,-38812
2025-08-14,3114944,36237
2025-08-15,3096633,-18311
2025-08-18,3089600,-7033
2025-08-19,3123242,33642
2025-08-20,3097922,-25320
2025-08-21,3035660,-62262
2025-08-22,3014465,-21195
2025-08-25,3028615,14150
2025-08-26,3061164,32549
2025-08-27,3162270,101106
2025-08-28,3193306,31036
2025-08-29,3239338,46032
2025-09-01,3269396,30058
2025-09-02,3292504,23108
2025-09-03,3320798,28294
2025-09-04,3403190,82392
2025-09-05,3417117,13927
2025-09-08,3405243,-11874
2025-09-09,3366667,-38576
2025-09-10,3378126,11459
2025-09-11,3348244,-29882
2025-09-12,3367235,18991
2025-09-15,3358303,-8932
2025-09-16,3319212,-39091
2025-09-17,3293350,-25862
2025-09-18,3257422,-35928
2025-09-19,3144111,-113311
