date,receipt,change
2025-06-03,201003,-896.0
2025-06-04,193383,-7620.0
2025-06-05,190117,-3266.0
2025-06-06,188721,-1396.0
2025-06-09,188475,-246.0
2025-06-10,187775,-700.0
2025-06-11,187475,-300.0
2025-06-12,182979,-4496.0
2025-06-13,182375,-604.0
2025-06-16,226315,43940.0
2025-06-17,235431,9116.0
2025-06-18,224335,-11096.0
2025-06-19,212919,-11416.0
2025-06-20,202119,-10800.0
2025-06-23,191291,-10828.0
2025-06-24,181767,-9524.0
2025-06-25,175312,-6455.0
2025-06-26,169104,-6208.0
2025-06-27,135188,-33916.0
2025-06-30,112648,-22540.0
2025-07-01,112498,-150.0
2025-07-02,111652,-846.0
2025-07-03,110856,-796.0
2025-07-04,151768,40912.0
2025-07-07,179740,27972.0
2025-07-08,186700,6960.0
2025-07-09,189151,2451.0
2025-07-10,198059,8908.0
2025-07-11,205799,7740.0
2025-07-14,213247,7448.0
2025-07-15,277191,63944.0
2025-07-16,273591,-3600.0
2025-07-17,270275,-3316.0
2025-07-18,264370,-5905.0
2025-07-21,253154,-11216.0
2025-07-22,241714,-11440.0
2025-07-23,229070,-12644.0
2025-07-24,220870,-8200.0
2025-07-25,216878,-3992.0
2025-07-28,53598,
2025-07-29,53074,
2025-07-30,51217,-1857.0
2025-07-31,49169,-2048.0
2025-08-01,48658,-511.0
2025-08-04,46649,
2025-08-05,44287,-2362.0
2025-08-06,42662,
2025-08-07,42031,-631.0
2025-08-08,43599,1568.0
2025-08-11,48332,4733.0
2025-08-12,48710,378.0
2025-08-13,55116,6406.0
2025-08-14,57946,2830.0
2025-08-15,65191,7245.0
2025-08-18,65492,301.0
2025-08-19,65467,-25.0
2025-08-20,62938,-2529.0
2025-08-21,59890,-3048.0
2025-08-22,57144,-2746.0
2025-08-25,56670,-474.0
2025-08-26,56274,-396.0
2025-08-27,57351,1077.0
2025-08-28,57275,-76.0
2025-08-29,58629,1354.0
2025-09-01,58529,-100.0
2025-09-02,58654,125.0
2025-09-03,59557,903.0
2025-09-04,59583,26.0
2025-09-05,59961,378.0
2025-09-08,64533,4572.0
2025-09-09,64459,-74.0
2025-09-10,64937,478.0
2025-09-11,65734,797.0
2025-09-12,72469,6735.0
2025-09-15,75085,2616.0
2025-09-16,75734,649.0
2025-09-17,74465,-1269.0
2025-09-18,74465,0.0
2025-09-19,71959,-2506.0
2025-09-22,70761,-1198.0
2025-09-23,68960,-1801.0
2025-09-24,67736,-1224.0
2025-09-25,64408,-3328.0
2025-09-26,63230,-1178.0
2025-09-29,59747,-3483.0
2025-09-30,59121,-626.0
2025-10-09,58894,-227.0
2025-10-10,59119,225.0
2025-10-13,63151,4032.0
2025-10-14,63176,25.0
2025-10-15,71394,8218.0
2025-10-16,71542,148.0
2025-10-17,70670,-872.0
2025-10-20,69947,-723.0
2025-10-21,69397,-550.0
2025-10-22,67270,-2127.0
2025-10-23,66894,-376.0
2025-10-24,66695,-199.0
2025-10-27,66293,-402.0
2025-10-28,66243,-50.0
2025-10-29,66044,-199.0
2025-10-30,66418,374.0
2025-10-31,64393,-2025.0
2025-11-03,64269,-124.0
2025-11-04,64194,-75.0
2025-11-05,64194,0.0
2025-11-06,63969,-225.0
2025-11-07,63770,-199.0
2025-11-10,64142,372.0
2025-11-11,64142,0.0
2025-11-12,63818,-324.0
2025-11-13,64742,924.0
2025-11-14,64742,0.0
2026-03-18,392206,
2026-03-19,393226,1020.0
2026-03-20,403558,10332.0
2026-03-23,403360,-198.0
2026-03-24,404811,1451.0
2026-03-25,404811,0.0
2026-03-26,404742,-69.0
2026-03-27,408197,3455.0
2026-03-30,412452,4255.0
2026-03-31,416607,4155.0
2026-04-01,416582,-25.0
2026-04-02,419167,2585.0
2026-04-03,420170,1003.0
2026-04-07,422138,1968.0
2026-04-08,424130,1992.0
2026-04-09,425128,998.0
2026-04-10,425581,453.0
2026-04-13,429545,3964.0
2026-04-14,435216,5671.0
2026-04-15,438567,3351.0
2026-04-16,438542,-25.0
2026-04-17,438542,0.0
2026-04-20,438542,0.0
2026-04-21,440427,1885.0
2026-04-22,441413,986.0
2026-04-23,441741,328.0
2026-04-24,441640,-101.0
2026-04-27,448081,6441.0
2026-04-28,448382,301.0
2026-04-29,449266,884.0
2026-04-30,449216,-50.0
2026-05-06,452008,2792.0
2026-05-07,453094,1086.0
2026-05-08,460976,7882.0
2026-05-11,461525,549.0
2026-05-12,462100,575.0
2026-05-13,464134,2034.0
2026-05-14,472473,8339.0
2026-05-15,478369,5896.0
2026-05-18,480639,2270.0
2026-05-19,480815,176.0
2026-05-20,480765,-50.0
2026-05-21,481603,838.0
2026-05-22,481256,-347.0
2026-05-25,481571,315.0
2026-05-26,481271,-300.0
2026-05-27,481196,-75.0
2026-05-28,483510,2314.0
2026-05-29,485512,2002.0
2026-06-01,487400,1888.0
2026-06-02,490203,2803.0
2026-06-03,489979,-224.0
2026-06-04,489930,-49.0
2026-06-05,489031,-899.0
2026-06-08,489007,-24.0
2026-06-09,488605,-402.0
2026-06-10,488487,-118.0
2026-06-11,487290,-1197.0
2026-06-12,489851,2561.0
2026-06-15,494421,4570.0
2026-06-16,493164,-1257.0
2026-06-17,488273,-4891.0
2026-06-18,486239,-2034.0
2026-06-22,479960,-6279.0
2026-06-23,477234,-2726.0
2026-06-24,472972,-4262.0
2026-06-25,462671,-10301.0
2026-06-26,449551,-13120.0
