date,receipt,change
2025-06-03,4200,0
2025-06-04,600,-3600
2025-06-05,600,0
2025-06-06,600,0
2025-06-09,600,0
2025-06-10,600,0
2025-06-11,600,0
2025-06-12,600,0
2025-06-13,600,0
2025-06-16,600,0
2025-06-17,600,0
2025-06-18,600,0
2025-06-19,600,0
2025-06-20,600,0
2025-06-23,600,0
2025-06-24,600,0
2025-06-25,0,-600
2025-06-26,0,0
2025-06-27,0,0
2025-06-30,0,0
2025-07-01,0,0
2025-07-02,0,0
2025-07-03,0,0
2025-07-04,0,0
2025-07-07,0,0
2025-07-08,0,0
2025-07-09,0,0
2025-07-10,0,0
2025-07-11,0,0
2025-07-14,0,0
2025-07-15,0,0
2025-07-16,0,0
2025-07-17,0,0
2025-07-18,0,0
2025-07-21,0,0
2025-07-22,0,0
2025-07-23,0,0
2025-07-24,0,0
2025-07-25,0,0
2025-07-28,0,0
2025-07-29,0,0
2025-07-30,0,0
2025-07-31,0,0
2025-08-01,0,0
2025-08-04,0,0
2025-08-05,0,0
2025-08-06,0,0
2025-08-07,0,0
2025-08-08,0,0
2025-08-11,0,0
2025-08-12,0,0
2025-08-13,0,0
2025-08-14,0,0
2025-08-15,0,0
2025-08-18,0,0
2025-08-19,0,0
2025-08-20,0,0
2025-08-21,0,0
2025-08-22,0,0
2025-08-25,0,0
2025-08-26,0,0
2025-08-27,0,0
2025-08-28,0,0
2025-08-29,292887,27009
2025-09-01,304662,11775
2025-09-02,0,0
2025-09-03,313644,-2736
2025-09-04,318171,4527
2025-09-05,336318,18147
2025-09-08,330960,-5358
2025-09-09,341733,10773
2025-09-10,365199,23466
2025-09-11,397470,32271
2025-09-12,416076,18606
2025-09-15,453891,37815
2025-09-16,453891,0
2025-09-17,453891,0
2025-09-18,0,0
2025-09-19,451179,0
