date,receipt,change
2025-06-03,1408,0
2025-06-04,1408,0
2025-06-05,1408,0
2025-06-06,1408,0
2025-06-09,1408,0
2025-06-10,1608,200
2025-06-11,1608,0
2025-06-12,1608,0
2025-06-13,6104,4496
2025-06-16,9488,3384
2025-06-17,9488,0
2025-06-18,8324,-1164
2025-06-19,6572,-1752
2025-06-20,6572,0
2025-06-23,3806,-2766
2025-06-24,3806,0
2025-06-25,3806,0
2025-06-26,3202,-604
2025-06-27,2998,-204
2025-06-30,5006,2008
2025-07-01,5006,0
2025-07-02,4806,-200
2025-07-03,6808,2002
2025-07-04,6808,0
2025-07-07,6808,0
2025-07-08,6358,-450
2025-07-09,8966,2608
2025-07-10,8864,-102
2025-07-11,13780,4916
2025-07-14,15442,1662
2025-07-15,20472,5030
2025-07-16,20472,0
2025-07-17,14750,-5722
2025-07-18,9334,-5416
2025-07-21,9334,0
2025-07-22,9334,0
2025-07-23,9334,0
2025-07-24,9334,0
2025-07-25,9334,0
2025-07-28,9334,0
2025-07-29,6626,-2708
2025-07-30,6626,0
2025-07-31,6626,0
2025-08-01,3106,-3520
2025-08-04,3106,0
2025-08-05,3106,0
2025-08-06,3106,0
2025-08-07,3106,0
2025-08-08,3106,0
2025-08-11,3106,0
2025-08-12,3106,0
2025-08-13,14844,11738
2025-08-14,14844,0
2025-08-15,14844,0
2025-08-18,28702,13858
2025-08-19,17560,-11142
2025-08-20,13448,-4112
2025-08-21,12250,-1198
2025-08-22,12250,0
2025-08-25,11796,-454
2025-08-26,11594,-202
2025-08-27,11594,0
2025-08-28,11594,0
2025-08-29,11194,-400
2025-09-01,11194,0
2025-09-02,11194,0
2025-09-03,10844,-350
2025-09-04,10644,-200
2025-09-05,10242,-402
2025-09-08,9840,-402
2025-09-09,8836,-1004
2025-09-10,8836,0
2025-09-11,10838,2002
2025-09-12,14946,4108
2025-09-15,22946,8000
2025-09-16,23588,642
2025-09-17,17448,-6140
2025-09-18,12990,-4458
2025-09-19,12990,0
