date,receipt,change
2025-06-03,15680,-190
2025-06-04,15470,-210
2025-06-05,15170,-300
2025-06-06,15170,0
2025-06-09,14690,-480
2025-06-10,14540,-150
2025-06-11,14140,-400
2025-06-12,13840,-300
2025-06-13,13040,-800
2025-06-16,13040,0
2025-06-17,13040,0
2025-06-18,13040,0
2025-06-19,1900,-11140
2025-06-20,1900,0
2025-06-23,1900,0
2025-06-24,1900,0
2025-06-25,1900,0
2025-06-26,1600,-300
2025-06-27,1600,0
2025-06-30,1600,0
2025-07-01,1600,0
2025-07-02,1600,0
2025-07-03,1600,0
2025-07-04,1600,0
2025-07-07,2700,1100
2025-07-08,3700,1000
2025-07-09,3700,0
2025-07-10,3700,0
2025-07-11,3700,0
2025-07-14,4300,600
2025-07-15,4700,400
2025-07-16,4700,0
2025-07-17,4700,0
2025-07-18,4700,0
2025-07-21,4700,0
2025-07-22,5300,600
2025-07-23,5280,-20
2025-07-24,5280,0
2025-07-25,5280,0
2025-07-28,5080,-200
2025-07-29,5080,0
2025-07-30,5080,0
2025-07-31,5080,0
2025-08-01,5080,0
2025-08-04,5480,400
2025-08-05,5480,0
2025-08-06,5480,0
2025-08-07,5480,0
2025-08-08,5480,0
2025-08-11,5480,0
2025-08-12,5480,0
2025-08-13,5480,0
2025-08-14,5480,0
2025-08-15,5480,0
2025-08-18,5480,0
2025-08-19,5480,0
2025-08-20,5480,0
2025-08-21,5480,0
2025-08-22,5480,0
2025-08-25,5480,0
2025-08-26,5480,0
2025-08-27,5480,0
2025-08-28,5480,0
2025-08-29,5480,0
2025-09-01,29310,0
2025-09-02,6220,200
2025-09-03,6220,0
2025-09-04,6220,0
2025-09-05,6820,600
2025-09-08,6820,0
2025-09-09,6820,0
2025-09-10,6820,0
2025-09-11,6820,0
2025-09-12,6820,0
2025-09-15,6820,0
2025-09-16,6820,0
2025-09-17,6820,0
2025-09-18,6100,-720
2025-09-19,22860,-2280
