date,receipt,change
2025-06-03,6400,0.0
2025-06-04,10400,3000.0
2025-06-05,18400,6000.0
2025-06-06,18400,0.0
2025-06-09,18400,0.0
2025-06-10,32480,10560.0
2025-06-11,36480,3000.0
2025-06-12,36480,0.0
2025-06-13,37236,567.0
2025-06-16,39036,1350.0
2025-06-17,39036,0.0
2025-06-18,39036,0.0
2025-06-19,31820,-5412.0
2025-06-20,31700,-90.0
2025-06-23,31468,-174.0
2025-06-24,31468,0.0
2025-06-25,31468,0.0
2025-06-26,31468,0.0
2025-06-27,32068,450.0
2025-06-30,31540,-396.0
2025-07-01,31540,0.0
2025-07-02,31540,0.0
2025-07-03,31540,0.0
2025-07-04,34620,2310.0
2025-07-07,34500,-90.0
2025-07-08,34880,285.0
2025-07-09,34880,0.0
2025-07-10,34880,0.0
2025-07-11,34760,-90.0
2025-07-14,34112,-486.0
2025-07-15,37004,2169.0
2025-07-16,35724,-960.0
2025-07-17,35144,-435.0
2025-07-18,34176,-726.0
2025-07-21,41376,5400.0
2025-07-22,41376,0.0
2025-07-23,40736,-480.0
2025-07-24,40536,-150.0
2025-07-25,40536,0.0
2025-07-28,10054,
2025-07-29,9834,
2025-07-30,8834,-1000.0
2025-07-31,8716,-118.0
2025-08-01,8546,-170.0
2025-08-04,8546,
2025-08-05,8546,0.0
2025-08-06,8748,
2025-08-07,8688,-60.0
2025-08-08,8688,0.0
2025-08-11,10088,1400.0
2025-08-12,11168,1080.0
2025-08-13,11168,0.0
2025-08-14,11168,0.0
2025-08-15,10968,-200.0
2025-08-18,10968,0.0
2025-08-19,10766,-202.0
2025-08-20,10766,0.0
2025-08-21,10766,0.0
2025-08-22,10666,-100.0
2025-08-25,10566,-100.0
2025-08-26,10466,-100.0
2025-08-27,10366,-100.0
2025-08-28,10266,-100.0
2025-08-29,9746,-520.0
2025-09-01,9516,-230.0
2025-09-02,9516,0.0
2025-09-03,10036,520.0
2025-09-04,10036,0.0
2025-09-05,10036,0.0
2025-09-08,10036,0.0
2025-09-09,13536,3500.0
2025-09-10,14519,983.0
2025-09-11,14979,460.0
2025-09-12,16131,1152.0
2025-09-15,16131,0.0
2025-09-16,16131,0.0
2025-09-17,10781,-5350.0
2025-09-18,10207,-574.0
2025-09-19,9892,-315.0
2025-09-22,8922,-970.0
2025-09-23,8922,0.0
2025-09-24,11332,2410.0
2025-09-25,11332,0.0
2025-09-26,11332,0.0
2025-09-29,10832,-500.0
2025-09-30,11862,1030.0
2025-10-09,11862,0.0
2025-10-10,11382,-480.0
2025-10-13,11282,-100.0
2025-10-14,11282,0.0
2025-10-15,11282,0.0
2025-10-16,11282,0.0
2025-10-17,11282,0.0
2025-10-20,14902,3620.0
2025-10-21,14092,-810.0
2025-10-22,14092,0.0
2025-10-23,14092,0.0
2025-10-24,14092,0.0
2025-10-27,13922,-170.0
2025-10-28,13872,-50.0
2025-10-29,12122,-1750.0
2025-10-30,11997,-125.0
2025-10-31,11837,-160.0
2025-11-03,11607,-230.0
2025-11-04,11447,-160.0
2025-11-05,11159,-288.0
2025-11-06,10854,-305.0
2025-11-07,10914,60.0
2025-11-10,10790,-124.0
2025-11-11,10960,170.0
2025-11-12,10819,-141.0
2025-11-13,11709,890.0
2025-11-14,11579,-130.0
2026-03-18,11117,
2026-03-19,8709,-2408.0
2026-03-20,7641,-1068.0
2026-03-23,7641,0.0
2026-03-24,7641,0.0
2026-03-25,7641,0.0
2026-03-26,7981,340.0
2026-03-27,7835,-146.0
2026-03-30,7835,0.0
2026-03-31,7835,0.0
2026-04-01,7835,0.0
2026-04-02,7835,0.0
2026-04-03,7735,-100.0
2026-04-07,8065,330.0
2026-04-08,8065,0.0
2026-04-09,8065,0.0
2026-04-10,8665,600.0
2026-04-13,8763,98.0
2026-04-14,8763,0.0
2026-04-15,8763,0.0
2026-04-16,8633,-130.0
2026-04-17,8633,0.0
2026-04-20,8628,-5.0
2026-04-21,8083,-545.0
2026-04-22,7913,-170.0
2026-04-23,7399,-514.0
2026-04-24,7369,-30.0
2026-04-27,7367,-2.0
2026-04-28,7347,-20.0
2026-04-29,7347,0.0
2026-04-30,7347,0.0
2026-05-06,7337,-10.0
2026-05-07,7800,463.0
2026-05-08,7771,-29.0
2026-05-11,9041,1270.0
2026-05-12,9061,20.0
2026-05-13,9011,-50.0
2026-05-14,9201,190.0
2026-05-15,9000,-201.0
2026-05-18,9000,0.0
2026-05-19,8985,-15.0
2026-05-20,8866,-119.0
2026-05-21,8866,0.0
2026-05-22,7027,-1839.0
2026-05-25,6911,-116.0
2026-05-26,0,-6911.0
2026-05-27,0,0.0
2026-05-28,0,0.0
2026-05-29,800,800.0
2026-06-01,800,0.0
2026-06-02,800,0.0
2026-06-03,1800,1000.0
2026-06-04,1800,0.0
2026-06-05,1800,0.0
2026-06-08,1860,60.0
2026-06-09,2920,1060.0
2026-06-10,2920,0.0
2026-06-11,2920,0.0
2026-06-12,2860,-60.0
2026-06-15,2860,0.0
2026-06-16,2860,0.0
2026-06-17,2309,-551.0
2026-06-18,2309,0.0
2026-06-22,2309,0.0
2026-06-23,2185,-124.0
2026-06-24,2185,0.0
2026-06-25,2185,0.0
2026-06-26,2185,0.0
