date,receipt,change
2025-06-03,0,0
2025-06-04,0,0
2025-06-05,0,0
2025-06-06,0,0
2025-06-09,0,0
2025-06-10,0,0
2025-06-11,0,0
2025-06-12,0,0
2025-06-13,0,0
2025-06-16,0,0
2025-06-17,0,0
2025-06-18,100,100
2025-06-19,100,0
2025-06-20,100,0
2025-06-23,100,0
2025-06-24,100,0
2025-06-25,100,0
2025-06-26,100,0
2025-06-27,100,0
2025-06-30,100,0
2025-07-01,100,0
2025-07-02,100,0
2025-07-03,100,0
2025-07-04,805,705
2025-07-07,805,0
2025-07-08,2720,1915
2025-07-09,3021,301
2025-07-10,3021,0
2025-07-11,3510,489
2025-07-14,3510,0
2025-07-15,3510,0
2025-07-16,3510,0
2025-07-17,3489,-21
2025-07-18,3487,-2
2025-07-21,3487,0
2025-07-22,3487,0
2025-07-23,3487,0
2025-07-24,3487,0
2025-07-25,3487,0
2025-07-28,3487,0
2025-07-29,3487,0
2025-07-30,3487,0
2025-07-31,3487,0
2025-08-01,3487,0
2025-08-04,3487,0
2025-08-05,3487,0
2025-08-06,3487,0
2025-08-07,3487,0
2025-08-08,3487,0
2025-08-11,3487,0
2025-08-12,3487,0
2025-08-13,3487,0
2025-08-14,3487,0
2025-08-15,3487,0
2025-08-18,3487,0
2025-08-19,3487,0
2025-08-20,3487,0
2025-08-21,3487,0
2025-08-22,3487,0
2025-08-25,3487,0
2025-08-26,3487,0
2025-08-27,3887,400
2025-08-28,3887,0
2025-08-29,3887,0
2025-09-01,11661,0
2025-09-02,13461,1800
2025-09-03,13461,0
2025-09-04,14166,705
2025-09-05,18084,3918
2025-09-08,18084,0
2025-09-09,19410,1326
2025-09-10,20571,1161
2025-09-11,20859,288
2025-09-12,24906,4047
2025-09-15,24606,-300
2025-09-16,24606,0
2025-09-17,24606,0
2025-09-18,24606,0
2025-09-19,24606,0
