date,receipt,change
2025-06-03,97089,2790
2025-06-04,99853,2764
2025-06-05,99853,0
2025-06-06,100055,202
2025-06-09,100055,0
2025-06-10,100853,798
2025-06-11,101651,798
2025-06-12,104855,3204
2025-06-13,105851,996
2025-06-16,109021,3170
2025-06-17,109021,0
2025-06-18,105875,-3146
2025-06-19,104623,-1252
2025-06-20,104821,198
2025-06-23,104621,-200
2025-06-24,105581,960
2025-06-25,106435,854
2025-06-26,108695,2260
2025-06-27,109909,1214
2025-06-30,110715,806
2025-07-01,110917,202
2025-07-02,111017,100
2025-07-03,111017,0
2025-07-04,111017,0
2025-07-07,111767,750
2025-07-08,114464,2697
2025-07-09,120329,5865
2025-07-10,120379,50
2025-07-11,124915,4536
2025-07-14,130003,5088
2025-07-15,140216,10213
2025-07-16,138852,-1364
2025-07-17,143248,4396
2025-07-18,142848,-400
2025-07-21,142773,-75
2025-07-22,142773,0
2025-07-23,143173,400
2025-07-24,142273,-900
2025-07-25,142273,0
2025-07-28,144888,2615
2025-07-29,144888,0
2025-07-30,146892,2004
2025-07-31,147744,852
2025-08-01,142920,-4824
2025-08-04,140939,-1981
2025-08-05,140237,-702
2025-08-06,140237,0
2025-08-07,140237,0
2025-08-08,139715,-522
2025-08-11,140117,402
2025-08-12,143441,3324
2025-08-13,151673,8232
2025-08-14,150171,-1502
2025-08-15,150171,0
2025-08-18,152048,1877
2025-08-19,150304,-1744
2025-08-20,148979,-1325
2025-08-21,145867,-3112
2025-08-22,144439,-1428
2025-08-25,144443,4
2025-08-26,142949,-1494
2025-08-27,143097,148
2025-08-28,142676,-421
2025-08-29,141024,-1652
2025-09-01,139902,-1122
2025-09-02,138234,-1668
2025-09-03,136825,-1409
2025-09-04,134866,-1959
2025-09-05,132629,-2237
2025-09-08,132039,-590
2025-09-09,132114,75
2025-09-10,132356,242
2025-09-11,146105,13749
2025-09-12,145401,-704
2025-09-15,145022,-379
2025-09-16,145022,0
2025-09-17,144525,-497
2025-09-18,119931,-24594
2025-09-19,115359,-4572
