date,receipt,change
2025-06-03,0,0.0
2025-06-04,0,0.0
2025-06-05,0,0.0
2025-06-06,0,0.0
2025-06-09,0,0.0
2025-06-10,0,0.0
2025-06-11,0,0.0
2025-06-12,0,0.0
2025-06-13,0,0.0
2025-06-16,0,0.0
2025-06-17,0,0.0
2025-06-18,0,0.0
2025-06-19,0,0.0
2025-06-20,0,0.0
2025-06-23,0,0.0
2025-06-24,0,0.0
2025-06-25,0,0.0
2025-06-26,0,0.0
2025-06-27,0,0.0
2025-06-30,0,0.0
2025-07-01,0,0.0
2025-07-02,0,0.0
2025-07-03,0,0.0
2025-07-04,0,0.0
2025-07-07,0,0.0
2025-07-08,0,0.0
2025-07-09,0,0.0
2025-07-10,0,0.0
2025-07-11,0,0.0
2025-07-14,0,0.0
2025-07-15,0,0.0
2025-07-16,0,0.0
2025-07-17,0,0.0
2025-07-18,0,0.0
2025-07-21,0,0.0
2025-07-22,0,0.0
2025-07-23,0,0.0
2025-07-24,0,0.0
2025-07-25,0,0.0
2025-07-28,0,
2025-07-29,0,
2025-07-30,0,0.0
2025-07-31,0,0.0
2025-08-01,0,0.0
2025-08-04,0,
2025-08-05,0,0.0
2025-08-06,0,
2025-08-07,0,0.0
2025-08-08,0,0.0
2025-08-11,0,0.0
2025-08-12,0,0.0
2025-08-13,0,0.0
2025-08-14,0,0.0
2025-08-15,0,0.0
2025-08-18,0,0.0
2025-08-19,0,0.0
2025-08-20,0,0.0
2025-08-21,0,0.0
2025-08-22,0,0.0
2025-08-25,0,0.0
2025-08-26,0,0.0
2025-08-27,0,0.0
2025-08-28,0,0.0
2025-08-29,0,0.0
2025-09-01,0,0.0
2025-09-02,0,0.0
2025-09-03,0,0.0
2025-09-04,0,0.0
2025-09-05,0,0.0
2025-09-08,0,0.0
2025-09-09,0,0.0
2025-09-10,0,0.0
2025-09-11,0,0.0
2025-09-12,0,0.0
2025-09-15,0,0.0
2025-09-16,0,0.0
2025-09-17,0,0.0
2025-09-18,0,0.0
2025-09-19,0,0.0
2025-09-22,0,0.0
2025-09-23,0,0.0
2025-09-24,0,0.0
2025-09-25,0,0.0
2025-09-26,0,0.0
2025-09-29,0,0.0
2025-09-30,0,0.0
2025-10-09,0,0.0
2025-10-10,0,0.0
2025-10-13,0,0.0
2025-10-14,0,0.0
2025-10-15,0,0.0
2025-10-16,0,0.0
2025-10-17,0,0.0
2025-10-20,0,0.0
2025-10-21,0,0.0
2025-10-22,0,0.0
2025-10-23,0,0.0
2025-10-24,0,0.0
2025-10-27,0,0.0
2025-10-28,0,0.0
2025-10-29,0,0.0
2025-10-30,0,0.0
2025-10-31,0,0.0
2025-11-03,0,0.0
2025-11-04,0,0.0
2025-11-05,0,0.0
2025-11-06,0,0.0
2025-11-07,0,0.0
2025-11-10,0,0.0
2025-11-11,0,0.0
2025-11-12,0,0.0
2025-11-13,0,0.0
2025-11-14,0,0.0
2026-03-18,900,
2026-03-19,900,0.0
2026-03-20,900,0.0
2026-03-23,900,0.0
2026-03-24,900,0.0
2026-03-25,900,0.0
2026-03-26,900,0.0
2026-03-27,900,0.0
2026-03-30,900,0.0
2026-03-31,900,0.0
2026-04-01,900,0.0
2026-04-02,900,0.0
2026-04-03,900,0.0
2026-04-07,900,0.0
2026-04-08,900,0.0
2026-04-09,900,0.0
2026-04-10,900,0.0
2026-04-13,900,0.0
2026-04-14,900,0.0
2026-04-15,900,0.0
2026-04-16,900,0.0
2026-04-17,900,0.0
2026-04-20,900,0.0
2026-04-21,900,0.0
2026-04-22,900,0.0
2026-04-23,900,0.0
2026-04-24,900,0.0
2026-04-27,900,0.0
2026-04-28,900,0.0
2026-04-29,900,0.0
2026-04-30,900,0.0
2026-05-06,900,0.0
2026-05-07,900,0.0
2026-05-08,900,0.0
2026-05-11,900,0.0
2026-05-12,900,0.0
2026-05-13,900,0.0
2026-05-14,900,0.0
2026-05-15,900,0.0
2026-05-18,900,0.0
2026-05-19,900,0.0
2026-05-20,900,0.0
2026-05-21,900,0.0
2026-05-22,900,0.0
2026-05-25,400,-500.0
2026-05-26,0,-400.0
2026-05-27,0,0.0
2026-05-28,0,0.0
2026-05-29,0,0.0
2026-06-01,0,0.0
2026-06-02,0,0.0
2026-06-03,0,0.0
2026-06-04,0,0.0
2026-06-05,0,0.0
2026-06-08,0,0.0
2026-06-09,0,0.0
2026-06-10,0,0.0
2026-06-11,0,0.0
2026-06-12,0,0.0
2026-06-15,0,0.0
2026-06-16,0,0.0
2026-06-17,0,0.0
2026-06-18,0,0.0
2026-06-22,0,0.0
2026-06-23,0,0.0
2026-06-24,0,0.0
2026-06-25,0,0.0
2026-06-26,0,0.0
