date,receipt,change
2025-06-03,10905000,0
2025-06-04,10905000,0
2025-06-05,10905000,0
2025-06-06,10905000,0
2025-06-09,10905000,0
2025-06-10,10905000,0
2025-06-11,10905000,0
2025-06-12,10905000,0
2025-06-13,10905000,0
2025-06-16,10905000,0
2025-06-17,10905000,0
2025-06-18,10905000,0
2025-06-19,10905000,0
2025-06-20,10905000,0
2025-06-23,10905000,0
2025-06-24,10905000,0
2025-06-25,15087000,4182000
2025-06-26,16551000,1464000
2025-06-27,16551000,0
2025-06-30,16551000,0
2025-07-01,16551000,0
2025-07-02,16551000,0
2025-07-03,13689000,-2862000
2025-07-04,13689000,0
2025-07-07,13689000,0
2025-07-08,12369000,-1320000
2025-07-09,12369000,0
2025-07-10,12369000,0
2025-07-11,12369000,0
2025-07-14,12369000,0
2025-07-15,12369000,0
2025-07-16,12369000,0
2025-07-17,12369000,0
2025-07-18,12369000,0
2025-07-21,12369000,0
2025-07-22,12369000,0
2025-07-23,12369000,0
2025-07-24,12369000,0
2025-07-25,12369000,0
2025-07-28,14565000,2196000
2025-07-29,14565000,0
2025-07-30,14565000,0
2025-07-31,14565000,0
2025-08-01,14565000,0
2025-08-04,14565000,0
2025-08-05,14565000,0
2025-08-06,14565000,0
2025-08-07,14565000,0
2025-08-08,14565000,0
2025-08-11,13119000,-1446000
2025-08-12,13119000,0
2025-08-13,13119000,0
2025-08-14,13119000,0
2025-08-15,13119000,0
2025-08-18,13119000,0
2025-08-19,13119000,0
2025-08-20,13119000,0
2025-08-21,13119000,0
2025-08-22,13119000,0
2025-08-25,13119000,0
2025-08-26,15981000,2862000
2025-08-27,15981000,0
2025-08-28,15981000,0
2025-08-29,15981000,0
2025-09-01,15981000,0
2025-09-02,15981000,0
2025-09-03,15981000,0
2025-09-04,15981000,0
2025-09-05,15981000,0
2025-09-08,15981000,0
2025-09-09,15981000,0
2025-09-10,15981000,0
2025-09-11,15981000,0
2025-09-12,15981000,0
2025-09-15,15981000,0
2025-09-16,15981000,0
2025-09-17,15021000,-960000
2025-09-18,15021000,0
2025-09-19,15021000,0
