date,receipt,change
2025-06-03,16453,-300
2025-06-04,16211,-242
2025-06-05,15836,-375
2025-06-06,15576,-260
2025-06-09,15462,-114
2025-06-10,15415,-47
2025-06-11,15395,-20
2025-06-12,15255,-140
2025-06-13,15228,-27
2025-06-16,15193,-35
2025-06-17,15161,-32
2025-06-18,15101,-60
2025-06-19,13832,-1269
2025-06-20,12535,-1297
2025-06-23,0,-12535
2025-06-24,0,0
2025-06-25,6415,6415
2025-06-26,6976,561
2025-06-27,6976,0
2025-06-30,8322,1346
2025-07-01,9109,787
2025-07-02,9509,400
2025-07-03,9678,169
2025-07-04,12277,2599
2025-07-07,12587,310
2025-07-08,12827,240
2025-07-09,12827,0
2025-07-10,17855,5028
2025-07-11,20519,2664
2025-07-14,21950,1431
2025-07-15,21950,0
2025-07-16,21950,0
2025-07-17,21950,0
2025-07-18,21950,0
2025-07-21,22150,200
2025-07-22,22150,0
2025-07-23,22150,0
2025-07-24,22124,-26
2025-07-25,22124,0
2025-07-28,22096,-28
2025-07-29,22009,-87
2025-07-30,22003,-6
2025-07-31,22051,48
2025-08-01,22042,-9
2025-08-04,21930,-112
2025-08-05,21930,0
2025-08-06,21890,-40
2025-08-07,19913,-1977
2025-08-08,19646,-267
2025-08-11,19619,-27
2025-08-12,19998,379
2025-08-13,20603,605
2025-08-14,20976,373
2025-08-15,20916,-60
2025-08-18,20716,-200
2025-08-19,20766,50
2025-08-20,20597,-169
2025-08-21,20202,-395
2025-08-22,20474,272
2025-08-25,20234,-240
2025-08-26,19622,-612
2025-08-27,19326,-296
2025-08-28,19201,-125
2025-08-29,19833,632
2025-09-01,57993,-1506
2025-09-02,56916,-1077
2025-09-03,56646,-270
2025-09-04,57105,459
2025-09-05,54927,-2178
2025-09-08,53376,-1551
2025-09-09,51990,-1386
2025-09-10,51990,0
2025-09-11,50235,-1755
2025-09-12,49395,-840
2025-09-15,48951,-444
2025-09-16,51111,2160
2025-09-17,53571,2460
2025-09-18,53271,-300
2025-09-19,52884,-387
