date,receipt,change
2025-06-03,0,0
2025-06-04,40,40
2025-06-05,40,0
2025-06-06,23,-17
2025-06-09,20,-3
2025-06-10,0,-20
2025-06-11,0,0
2025-06-12,0,0
2025-06-13,0,0
2025-06-16,0,0
2025-06-17,0,0
2025-06-18,0,0
2025-06-19,0,0
2025-06-20,0,0
2025-06-23,0,0
2025-06-24,0,0
2025-06-25,0,0
2025-06-26,0,0
2025-06-27,0,0
2025-06-30,0,0
2025-07-01,0,0
2025-07-02,50,50
2025-07-03,50,0
2025-07-04,2,-48
2025-07-07,19,17
2025-07-08,129,110
2025-07-09,121,-8
2025-07-10,110,-11
2025-07-11,100,-10
2025-07-14,29,-71
2025-07-15,0,-29
2025-07-16,0,0
2025-07-17,0,0
2025-07-18,0,0
2025-07-21,0,0
2025-07-22,0,0
2025-07-23,0,0
2025-07-24,0,0
2025-07-25,0,0
2025-07-28,0,0
2025-07-29,0,0
2025-07-30,0,0
2025-07-31,0,0
2025-08-01,388,388
2025-08-04,490,102
2025-08-05,395,-95
2025-08-06,358,-37
2025-08-07,358,0
2025-08-08,336,-22
2025-08-11,362,26
2025-08-12,360,-2
2025-08-13,360,0
2025-08-14,338,-22
2025-08-15,241,-97
2025-08-18,179,-62
2025-08-19,160,-19
2025-08-20,160,0
2025-08-21,160,0
2025-08-22,150,-10
2025-08-25,135,-15
2025-08-26,114,-21
2025-08-27,114,0
2025-08-28,93,-21
2025-08-29,163,70
2025-09-01,765,276
2025-09-02,765,0
2025-09-03,1071,306
2025-09-04,963,-108
2025-09-05,507,-456
2025-09-08,495,-12
2025-09-09,222,-273
2025-09-10,63,-159
2025-09-11,63,0
2025-09-12,0,-63
2025-09-15,0,0
2025-09-16,0,0
2025-09-17,0,0
2025-09-18,0,0
2025-09-19,0,0
