date,receipt,change
2025-06-03,104578,-2395
2025-06-04,103247,-1331
2025-06-05,102183,-1064
2025-06-06,101012,-1171
2025-06-09,100765,-247
2025-06-10,100048,-717
2025-06-11,100336,288
2025-06-12,99455,-881
2025-06-13,97951,-1504
2025-06-16,96168,-1783
2025-06-17,95641,-527
2025-06-18,94895,-746
2025-06-19,95545,650
2025-06-20,94951,-594
2025-06-23,95000,49
2025-06-24,93769,-1231
2025-06-25,93468,-301
2025-06-26,92481,-987
2025-06-27,91999,-482
2025-06-30,88732,-3267
2025-07-01,88062,-670
2025-07-02,87845,-217
2025-07-03,89598,1753
2025-07-04,88686,-912
2025-07-07,88213,-473
2025-07-08,87849,-364
2025-07-09,85991,-1858
2025-07-10,85444,-547
2025-07-11,85037,-407
2025-07-14,84776,-261
2025-07-15,84381,-395
2025-07-16,83835,-546
2025-07-17,83372,-463
2025-07-18,79931,-3441
2025-07-21,78754,-1177
2025-07-22,78495,-259
2025-07-23,77972,-523
2025-07-24,77552,-420
2025-07-25,77656,104
2025-07-28,77604,-52
2025-07-29,79190,1586
2025-07-30,78736,-454
2025-07-31,78527,-209
2025-08-01,77854,-673
2025-08-04,77611,-243
2025-08-05,77295,-316
2025-08-06,77190,-105
2025-08-07,76542,-648
2025-08-08,76045,-497
2025-08-11,75707,-338
2025-08-12,75520,-187
2025-08-13,75446,-74
2025-08-14,75359,-87
2025-08-15,74797,-562
2025-08-18,73660,-1137
2025-08-19,73191,-469
2025-08-20,73048,-143
2025-08-21,71820,-1228
2025-08-22,70094,-1726
2025-08-25,68919,-1175
2025-08-26,68108,-811
2025-08-27,67498,-610
2025-08-28,66783,-715
2025-08-29,66567,-216
2025-09-01,197280,-2421
2025-09-02,194046,-3234
2025-09-03,191610,-2436
2025-09-04,190764,-846
2025-09-05,188580,-2184
2025-09-08,187752,-828
2025-09-09,187230,-522
2025-09-10,186864,-366
2025-09-11,186510,-354
2025-09-12,184320,-2190
2025-09-15,182805,-1515
2025-09-16,179976,-2829
2025-09-17,184026,4050
2025-09-18,182988,-1038
2025-09-19,182028,-960
