date,receipt,change
2025-06-03,22560,-1056.0
2025-06-04,21684,-876.0
2025-06-05,21432,-252.0
2025-06-06,21060,-372.0
2025-06-09,20712,-348.0
2025-06-10,20598,-114.0
2025-06-11,20430,-168.0
2025-06-12,20526,96.0
2025-06-13,20322,-204.0
2025-06-16,20280,-42.0
2025-06-17,19986,-294.0
2025-06-18,19722,-264.0
2025-06-19,19839,117.0
2025-06-20,19506,-333.0
2025-06-23,19332,-174.0
2025-06-24,19386,54.0
2025-06-25,19416,30.0
2025-06-26,19773,357.0
2025-06-27,19653,-120.0
2025-06-30,20250,597.0
2025-07-01,20298,48.0
2025-07-02,20664,366.0
2025-07-03,20646,-18.0
2025-07-04,20421,-225.0
2025-07-07,20604,183.0
2025-07-08,20226,-378.0
2025-07-09,20214,-12.0
2025-07-10,20055,-159.0
2025-07-11,19893,-162.0
2025-07-14,19815,-78.0
2025-07-15,20541,726.0
2025-07-16,20331,-210.0
2025-07-17,20139,-192.0
2025-07-18,20451,312.0
2025-07-21,20427,-24.0
2025-07-22,20373,-54.0
2025-07-23,20421,48.0
2025-07-24,20589,168.0
2025-07-25,21375,786.0
2025-07-28,7369,
2025-07-29,7529,
2025-07-30,7433,-96.0
2025-07-31,7429,-4.0
2025-08-01,7286,-143.0
2025-08-04,7293,
2025-08-05,7283,-10.0
2025-08-06,7358,
2025-08-07,7332,-26.0
2025-08-08,7469,137.0
2025-08-11,7326,-143.0
2025-08-12,7397,71.0
2025-08-13,7430,33.0
2025-08-14,7422,-8.0
2025-08-15,7426,4.0
2025-08-18,7587,161.0
2025-08-19,7513,-74.0
2025-08-20,7329,-184.0
2025-08-21,7258,-71.0
2025-08-22,7053,-205.0
2025-08-25,7032,-21.0
2025-08-26,7152,120.0
2025-08-27,7163,11.0
2025-08-28,7120,-43.0
2025-08-29,7273,153.0
2025-09-01,7215,-58.0
2025-09-02,7263,48.0
2025-09-03,7407,144.0
2025-09-04,7495,88.0
2025-09-05,7397,-98.0
2025-09-08,7405,8.0
2025-09-09,7538,133.0
2025-09-10,7482,-56.0
2025-09-11,7504,22.0
2025-09-12,7326,-178.0
2025-09-15,7402,76.0
2025-09-16,7310,-92.0
2025-09-17,7204,-106.0
2025-09-18,6914,-290.0
2025-09-19,6558,-356.0
2025-09-22,6600,42.0
2025-09-23,6418,-182.0
2025-09-24,6342,-76.0
2025-09-25,6276,-66.0
2025-09-26,6077,-199.0
2025-09-29,5950,-127.0
2025-09-30,5841,-109.0
2025-10-09,5851,10.0
2025-10-10,5809,-42.0
2025-10-13,5745,-64.0
2025-10-14,5627,-118.0
2025-10-15,5677,50.0
2025-10-16,5609,-68.0
2025-10-17,5652,43.0
2025-10-20,5627,-25.0
2025-10-21,5535,-92.0
2025-10-22,5600,65.0
2025-10-23,5470,-130.0
2025-10-24,5567,97.0
2025-10-27,5652,85.0
2025-10-28,5609,-43.0
2025-10-29,5682,73.0
2025-10-30,5732,50.0
2025-10-31,5674,-58.0
2025-11-03,5730,56.0
2025-11-04,5976,246.0
2025-11-05,5959,-17.0
2025-11-06,5865,-94.0
2025-11-07,5803,-62.0
2025-11-10,5694,-109.0
2025-11-11,5582,-112.0
2025-11-12,5446,-136.0
2025-11-13,5698,252.0
2025-11-14,5932,234.0
2026-03-18,11312,
2026-03-19,10275,-1037.0
2026-03-20,9486,-789.0
2026-03-23,8978,-508.0
2026-03-24,8552,-426.0
2026-03-25,8144,-408.0
2026-03-26,7757,-387.0
2026-03-27,7404,-353.0
2026-03-30,7039,-365.0
2026-03-31,6775,-264.0
2026-04-01,6677,-98.0
2026-04-02,6481,-196.0
2026-04-03,6357,-124.0
2026-04-07,6113,-244.0
2026-04-08,8551,2438.0
2026-04-09,8459,-92.0
2026-04-10,8359,-100.0
2026-04-13,8264,-95.0
2026-04-14,8181,-83.0
2026-04-15,8171,-10.0
2026-04-16,8153,-18.0
2026-04-17,8001,-152.0
2026-04-20,7793,-208.0
2026-04-21,7545,-248.0
2026-04-22,7439,-106.0
2026-04-23,7245,-194.0
2026-04-24,6858,-387.0
2026-04-27,6827,-31.0
2026-04-28,6697,-130.0
2026-04-29,6341,-356.0
2026-04-30,6150,-191.0
2026-05-06,6040,-110.0
2026-05-07,5956,-84.0
2026-05-08,9112,3156.0
2026-05-11,8975,-137.0
2026-05-12,9115,140.0
2026-05-13,9136,21.0
2026-05-14,9022,-114.0
2026-05-15,9183,161.0
2026-05-18,9162,-21.0
2026-05-19,8878,-284.0
2026-05-20,8461,-417.0
2026-05-21,8341,-120.0
2026-05-22,8217,-124.0
2026-05-25,8105,-112.0
2026-05-26,8145,40.0
2026-05-27,8151,6.0
2026-05-28,7993,-158.0
2026-05-29,7786,-207.0
2026-06-01,7717,-69.0
2026-06-02,7647,-70.0
2026-06-03,11681,4034.0
2026-06-04,11790,109.0
2026-06-05,11905,115.0
2026-06-08,11736,-169.0
2026-06-09,11047,-689.0
2026-06-10,10664,-383.0
2026-06-11,10128,-536.0
2026-06-12,9659,-469.0
2026-06-15,9621,-38.0
2026-06-16,9438,-183.0
2026-06-17,9120,-318.0
2026-06-18,8893,-227.0
2026-06-22,8768,-125.0
2026-06-23,8560,-208.0
2026-06-24,8051,-509.0
2026-06-25,7435,-616.0
2026-06-26,6849,-586.0
