date,receipt,change
2025-06-03,389070,-900
2025-06-04,373173,-15897
2025-06-05,369366,-3807
2025-06-06,368835,-531
2025-06-09,364989,-3846
2025-06-10,360117,-4872
2025-06-11,357915,-2202
2025-06-12,356955,-960
2025-06-13,355149,-1806
2025-06-16,354066,-1083
2025-06-17,352230,-1836
2025-06-18,350937,-1293
2025-06-19,344607,-6330
2025-06-20,342267,-2340
2025-06-23,341709,-558
2025-06-24,339702,-2007
2025-06-25,338601,-1101
2025-06-26,337338,-1263
2025-06-27,336981,-357
2025-06-30,336420,-561
2025-07-01,335868,-552
2025-07-02,335685,-183
2025-07-03,335322,-363
2025-07-04,334785,-537
2025-07-07,334599,-186
2025-07-08,334230,-369
2025-07-09,333870,-360
2025-07-10,333870,0
2025-07-11,333153,-717
2025-07-14,333153,0
2025-07-15,332973,-180
2025-07-16,332616,-357
2025-07-17,331716,-900
2025-07-18,310797,-20919
2025-07-21,310797,0
2025-07-22,310425,-372
2025-07-23,310245,-180
2025-07-24,310062,-183
2025-07-25,310062,0
2025-07-28,309888,-174
2025-07-29,309888,0
2025-07-30,309702,-186
2025-07-31,309702,0
2025-08-01,308958,-744
2025-08-04,308775,-183
2025-08-05,308595,-180
2025-08-06,308409,-186
2025-08-07,309678,1269
2025-08-08,308949,-729
2025-08-11,309108,159
2025-08-12,311820,2712
2025-08-13,310554,-1266
2025-08-14,310563,9
2025-08-15,309831,-732
2025-08-18,309279,-552
2025-08-19,366309,57030
2025-08-20,359307,-7002
2025-08-21,355920,-3387
2025-08-22,305775,-50145
2025-08-25,305061,-714
2025-08-26,303078,-1983
2025-08-27,302553,-525
2025-08-28,301293,-1260
2025-08-29,299316,-1977
2025-09-01,298254,-1062
2025-09-02,300468,2214
2025-09-03,298848,-1620
2025-09-04,299229,381
2025-09-05,298317,-912
2025-09-08,296868,-1449
2025-09-09,295602,-1266
2025-09-10,294864,-738
2025-09-11,292662,-2202
2025-09-12,290847,-1815
2025-09-15,289047,-1800
2025-09-16,287235,-1812
2025-09-17,285795,-1440
2025-09-18,0,0
2025-09-19,269196,-1242
