date,receipt,change
2025-06-03,9600,-370
2025-06-04,9286,-314
2025-06-05,9234,-52
2025-06-06,8802,-432
2025-06-09,8770,-32
2025-06-10,8768,-2
2025-06-11,8759,-9
2025-06-12,8684,-75
2025-06-13,8679,-5
2025-06-16,8639,-40
2025-06-17,8527,-112
2025-06-18,6560,-1967
2025-06-19,6076,-484
2025-06-20,5698,-378
2025-06-23,0,-5698
2025-06-24,0,0
2025-06-25,0,0
2025-06-26,1000,1000
2025-06-27,1000,0
2025-06-30,1000,0
2025-07-01,1000,0
2025-07-02,1000,0
2025-07-03,1000,0
2025-07-04,1000,0
2025-07-07,2448,1448
2025-07-08,4138,1690
2025-07-09,3520,-618
2025-07-10,4320,800
2025-07-11,4320,0
2025-07-14,4290,-30
2025-07-15,4290,0
2025-07-16,4290,0
2025-07-17,4290,0
2025-07-18,4183,-107
2025-07-21,4183,0
2025-07-22,4183,0
2025-07-23,4183,0
2025-07-24,4183,0
2025-07-25,4183,0
2025-07-28,4837,654
2025-07-29,4837,0
2025-07-30,4837,0
2025-07-31,5503,666
2025-08-01,5633,130
2025-08-04,5633,0
2025-08-05,5633,0
2025-08-06,5633,0
2025-08-07,5633,0
2025-08-08,5883,250
2025-08-11,5883,0
2025-08-12,6083,200
2025-08-13,6083,0
2025-08-14,6083,0
2025-08-15,5833,-250
2025-08-18,5833,0
2025-08-19,5833,0
2025-08-20,5833,0
2025-08-21,5833,0
2025-08-22,6333,500
2025-08-25,8383,2050
2025-08-26,8383,0
2025-08-27,10733,2350
2025-08-28,10733,0
2025-08-29,10733,0
2025-09-01,21615,2196
2025-09-02,21615,0
2025-09-03,21615,0
2025-09-04,23784,2169
2025-09-05,24897,1113
2025-09-08,26301,1404
2025-09-09,26529,228
2025-09-10,26691,162
2025-09-11,26691,0
2025-09-12,26541,-150
2025-09-15,25839,-702
2025-09-16,24837,-1002
2025-09-17,24804,-33
2025-09-18,24564,-240
2025-09-19,23430,-1134
