时间,开盘,最高,最低,收盘,成交量,持仓量
2015-04-16,3107,3125,3100,3100,22,156
2015-04-17,3112,3112,3086,3100,6,157
2015-04-20,3051,3090,3051,3090,13,157
2015-04-21,3099,3125,3099,3110,22,171
2015-04-22,3115,3138,3096,3105,20,178
2015-04-23,3115,3116,3098,3106,19,178
2015-04-24,3117,3125,3102,3105,38,181
2015-04-27,3111,3111,3101,3105,30,201
2015-04-28,3109,3114,3103,3103,31,211
2015-04-29,3111,3122,3075,3075,32,211
2015-04-30,3104,3125,3104,3111,29,231
2015-05-04,3100,3105,3092,3100,23,250
2015-05-05,3107,3114,3099,3100,37,272
2015-05-06,3106,3110,3100,3100,84,334
2015-05-07,3103,3114,3075,3090,71,352
2015-05-08,3100,3100,3080,3093,21,353
2015-05-11,3089,3110,3080,3100,57,361
2015-05-12,3096,3102,3090,3091,45,368
2015-05-13,3096,3098,3090,3094,17,371
2015-05-14,3087,3092,3085,3085,8,369
2015-05-15,3090,3095,3090,3095,3,369
2015-05-18,3096,3096,3081,3081,8,372
2015-05-19,3092,3093,3092,3092,3,372
2015-05-20,3055,3085,3000,3025,29,372
2015-05-21,3020,3020,2952,2999,61,375
2015-05-22,3000,3050,2970,3005,71,360
2015-05-25,3013,3013,2915,2947,51,389
2015-05-26,2949,2965,2930,2945,58,409
2015-05-27,2974,2974,2926,2950,65,432
2015-05-28,2940,2964,2940,2950,49,452
2015-05-29,2957,2957,2940,2952,19,457
2015-06-01,2965,2965,2945,2950,56,487
2015-06-02,2935,2949,2935,2942,28,487
2015-06-03,2944,2959,2935,2955,103,497
2015-06-04,2952,2957,2946,2951,22,495
2015-06-05,2969,2969,2950,2950,16,488
2015-06-08,2955,2955,2949,2949,27,492
2015-06-09,2958,3020,2958,2974,51,503
2015-06-10,2970,2970,2959,2959,11,501
2015-06-11,2979,2980,2956,2963,17,503
2015-06-12,2977,2977,2944,2946,17,504
2015-06-15,2947,2955,2936,2936,10,506
2015-06-16,2948,2950,2937,2949,9,506
2015-06-17,2954,2956,2926,2947,18,506
2015-06-18,2994,2994,2947,2955,18,506
2015-06-19,2946,2953,2946,2952,9,506
2015-06-23,2960,2972,2952,2960,13,505
2015-06-24,2958,2963,2950,2954,24,507
2015-06-25,2955,2955,2946,2955,4,507
2015-06-26,2960,2960,2945,2945,32,507
2015-06-29,2955,2955,2940,2940,14,509
2015-06-30,2900,2931,2900,2904,50,508
2015-07-01,2885,2950,2885,2941,65,518
2015-07-02,2939,2939,2911,2930,90,506
2015-07-03,2935,2960,2926,2940,49,506
2015-07-06,2940,2950,2920,2933,22,505
2015-07-07,2907,2925,2816,2890,80,502
2015-07-08,2915,2915,2788,2788,144,409
2015-07-09,2700,2900,2688,2836,133,364
2015-07-10,2849,2872,2847,2872,38,356
2015-07-13,2897,2900,2812,2875,55,346
