时间,开盘,最高,最低,收盘,成交量,持仓量
2004-09-23,1865,1870,1825,1826,163732,0
2004-09-24,1816,1818,1807,1811,85099,0
2004-09-27,1800,1820,1800,1814,72485,0
2004-09-28,1826,1827,1794,1794,73356,0
2004-09-29,1794,1806,1794,1800,41430,0
2004-09-30,1801,1804,1786,1790,53599,0
2004-10-01,1783,1787,1761,1762,62686,0
2004-10-11,1764,1786,1751,1780,66506,0
2004-10-12,1778,1792,1768,1782,63788,0
2004-10-13,1786,1798,1769,1786,75414,0
2004-10-14,1778,1789,1776,1779,56020,0
2004-10-15,1784,1790,1778,1787,49289,0
2004-10-18,1783,1787,1771,1774,52340,0
2004-10-19,1778,1778,1768,1772,37547,0
2004-10-20,1769,1786,1769,1776,55019,0
2004-10-21,1785,1793,1780,1792,64792,0
2004-10-22,1790,1790,1781,1784,52811,0
2004-10-25,1782,1783,1771,1773,64894,0
2004-10-26,1773,1782,1768,1777,55614,0
2004-10-27,1786,1786,1777,1779,32834,0
2004-10-28,1781,1783,1778,1781,36394,0
2004-10-29,1777,1784,1774,1783,45834,0
2004-11-01,1777,1783,1775,1777,36216,0
2004-11-02,1773,1776,1760,1767,82420,0
2004-11-03,1763,1773,1763,1772,57923,0
2004-11-04,1771,1773,1765,1773,57955,0
2004-11-05,1774,1774,1768,1772,47274,0
2004-11-08,1768,1787,1767,1778,92916,0
2004-11-09,1780,1782,1776,1776,49707,0
2004-11-10,1776,1780,1773,1776,63139,0
2004-11-11,1777,1777,1772,1775,62650,0
2004-11-12,1775,1778,1772,1773,58945,0
2004-11-15,1773,1775,1766,1769,62284,0
2004-11-16,1773,1786,1772,1780,88338,0
2004-11-17,1784,1790,1779,1781,74588,0
2004-11-18,1783,1785,1778,1783,53681,0
2004-11-19,1788,1793,1785,1790,76793,0
2004-11-22,1787,1789,1782,1788,55745,0
2004-11-23,1781,1784,1780,1782,58118,0
2004-11-24,1781,1786,1781,1783,82951,0
2004-11-25,1784,1789,1784,1789,58916,0
2004-11-26,1788,1807,1787,1804,125752,0
2004-11-29,1805,1807,1797,1802,70877,0
2004-11-30,1799,1800,1782,1784,103621,0
2004-12-01,1782,1787,1781,1784,68790,0
2004-12-02,1783,1792,1783,1791,84847,0
2004-12-03,1789,1798,1785,1788,79579,0
2004-12-06,1787,1794,1786,1793,87735,0
2004-12-07,1796,1808,1795,1801,124157,0
2004-12-08,1805,1805,1796,1797,102528,0
2004-12-09,1791,1794,1788,1794,137854,0
2004-12-10,1796,1805,1796,1803,120620,0
2004-12-13,1800,1802,1796,1799,106147,0
2004-12-14,1800,1806,1797,1806,142262,0
2004-12-15,1810,1815,1801,1801,134894,0
2004-12-16,1804,1805,1801,1804,108155,0
2004-12-17,1803,1804,1801,1802,116842,0
2004-12-20,1801,1801,1796,1798,155892,0
2004-12-21,1802,1806,1799,1803,139762,0
2004-12-22,1803,1805,1800,1803,145167,0
2004-12-23,1803,1803,1800,1801,134111,0
2004-12-24,1800,1804,1797,1800,144853,0
2004-12-27,1803,1803,1799,1801,108589,0
2004-12-28,1801,1802,1799,1800,138282,0
2004-12-29,1800,1801,1784,1788,172894,0
2004-12-30,1788,1792,1785,1790,150670,0
2004-12-31,1788,1793,1787,1789,126763,0
2005-01-03,1790,1792,1787,1791,114294,0
2005-01-05,1785,1789,1778,1780,68299,0
