时间,开盘,最高,最低,收盘,成交量,持仓量
2019-04-30,8900,9020,8720,8840,367714,20559
2019-05-06,8820,8900,8620,8665,174602,28642
2019-05-07,8710,8720,8545,8615,150838,35452
2019-05-08,8620,8710,8595,8635,117221,35982
2019-05-09,8635,8690,8580,8620,101511,35355
2019-05-10,8655,8750,8620,8670,94233,32783
2019-05-13,8690,9115,8670,9115,308736,51931
2019-05-14,9125,9575,9125,9505,621179,44469
2019-05-15,9505,9865,9385,9660,600125,55821
2019-05-16,9680,9890,9620,9715,655301,64167
2019-05-17,9750,9795,9625,9755,416237,60155
2019-05-20,9790,9915,9655,9755,423001,60801
2019-05-21,9775,9905,9700,9840,377595,60534
2019-05-22,9835,10305,9790,10305,881339,74383
2019-05-23,10335,10415,10255,10350,591525,79148
2019-05-24,10280,10730,10230,10720,641769,89429
2019-05-27,10600,10935,10480,10560,888504,77896
2019-05-28,10605,10690,10295,10405,1025710,71374
2019-05-29,10460,10645,10395,10550,543892,84220
2019-05-30,10555,10745,10370,10530,621616,79580
2019-05-31,10520,10590,10340,10485,454048,75739
2019-06-03,10435,10560,10000,10095,526314,70346
2019-06-04,10145,10190,9955,10150,390368,69129
2019-06-05,10175,10210,10015,10100,284690,68235
2019-06-06,10030,10030,9625,9750,437535,59805
2019-06-10,9655,9890,9605,9815,285546,64344
2019-06-11,9850,9995,9810,9960,268211,62568
2019-06-12,9915,9925,9740,9815,234236,60347
2019-06-13,9850,10305,9850,10305,486332,78327
2019-06-14,10340,10550,10140,10230,477548,60642
2019-06-17,10260,10445,10130,10440,272052,70973
2019-06-18,10390,10450,10075,10120,423765,64013
2019-06-19,10180,10310,10110,10225,298842,60695
2019-06-20,10285,10370,10180,10270,191635,56244
2019-06-21,10360,10515,10285,10475,276191,67492
2019-06-24,10485,10580,10360,10440,170307,62309
2019-06-25,10430,10475,10310,10395,131894,58199
2019-06-26,10410,10445,10320,10415,99408,57568
2019-06-27,10415,10675,10365,10505,244186,63213
2019-06-28,10535,10610,10300,10335,153056,53274
2019-07-01,10380,10380,10185,10285,109195,53700
2019-07-02,10270,10365,10155,10340,121140,51102
2019-07-03,10305,10440,10230,10330,117728,49476
2019-07-04,10365,10430,10310,10380,109522,50048
2019-07-05,10395,10415,10220,10315,93380,46586
2019-07-08,10325,10565,10325,10555,131861,55071
2019-07-09,10625,10645,10425,10490,112056,49857
2019-07-10,10510,10510,10255,10405,128083,48075
2019-07-11,10430,10460,10285,10415,86241,46587
2019-07-12,10430,10535,10335,10485,111228,49057
2019-07-15,10485,10615,10405,10470,107047,47342
2019-07-16,10420,10545,10365,10540,66290,48735
2019-07-17,10550,10695,10430,10470,115561,49647
2019-07-18,10435,10480,10335,10360,77413,46406
2019-07-19,10330,10385,10220,10345,81951,44163
2019-07-22,10380,10380,10185,10315,67302,44401
2019-07-23,10265,10315,10170,10215,80072,48082
2019-07-24,10150,10215,9995,10135,108772,48739
2019-07-25,10130,10150,10065,10100,43597,46986
2019-07-26,10080,10235,10025,10230,73762,44213
2019-07-29,10225,10265,10150,10205,40643,42407
2019-07-30,10230,10325,10180,10280,52823,41651
2019-07-31,10290,10340,10240,10275,33722,38975
2019-08-01,10235,10285,10120,10130,52557,40819
2019-08-02,10065,10210,10055,10185,48916,38376
2019-08-05,10225,10270,10030,10125,62564,39762
2019-08-06,10195,10660,10165,10660,191613,63578
2019-08-07,10750,10825,10545,10695,194308,56767
2019-08-08,10755,10945,10635,10780,182783,62416
2019-08-09,10805,10870,10580,10785,142975,58899
2019-08-12,10840,11000,10705,10730,150106,62591
2019-08-13,10770,10770,10610,10645,95440,57768
2019-08-14,10625,10645,10505,10570,84374,52547
2019-08-15,10550,10660,10525,10650,50572,50063
2019-08-16,10755,10850,10695,10745,117107,55056
2019-08-19,10840,10840,10735,10750,57738,57306
2019-08-20,10750,10810,10600,10635,74950,51581
2019-08-21,10635,10750,10545,10745,56037,50000
2019-08-22,10760,10775,10655,10715,45699,51353
2019-08-23,10700,10750,10635,10705,51378,50518
2019-08-26,10700,10840,10565,10595,71227,47495
2019-08-27,10555,10700,10525,10695,48716,45051
2019-08-28,10690,10725,10595,10630,39014,42728
2019-08-29,10655,10820,10645,10760,74494,49274
2019-08-30,10750,10880,10700,10730,59651,46578
2019-09-02,10735,10760,10615,10695,41512,42800
2019-09-03,10715,11220,10690,11220,134758,68786
2019-09-04,11310,11555,11300,11475,205425,70023
2019-09-05,11490,11520,11105,11215,158357,61625
2019-09-06,11170,11255,10820,10820,155219,47376
2019-09-09,10800,10850,10665,10725,110892,45435
2019-09-10,10695,10815,10690,10725,61998,44278
2019-09-11,10680,10780,10335,10430,169825,45890
2019-09-12,10450,10480,10305,10370,117436,42648
2019-09-16,10400,10530,10230,10420,103454,41276
2019-09-17,10425,10505,10365,10490,55244,38822
2019-09-18,10475,10575,10400,10505,82187,38092
2019-09-19,10510,10520,10250,10505,137435,39775
2019-09-20,10495,10495,10355,10425,66162,37222
2019-09-23,10400,10415,10060,10255,169281,44154
2019-09-24,10280,10330,10190,10290,75230,41925
2019-09-25,10305,10320,10170,10290,63174,40783
2019-09-26,10280,10450,10250,10335,70018,38731
2019-09-27,10275,10340,10150,10320,80516,34371
2019-09-30,10350,10395,10155,10250,68822,32656
2019-10-08,10255,10545,10180,10385,82373,32538
2019-10-09,10390,10430,10320,10385,39601,32642
2019-10-10,10405,10450,10340,10385,40933,33484
2019-10-11,10385,10420,10260,10400,62684,32798
2019-10-14,10415,10525,10340,10490,70729,36374
2019-10-15,10455,10580,10400,10500,56066,34613
2019-10-16,10505,10525,10410,10460,38731,33341
2019-10-17,10465,10490,9930,9930,196579,54158
2019-10-18,9925,10070,9770,10010,205493,51431
2019-10-21,10000,10100,9895,10000,114119,48783
2019-10-22,9985,10030,9940,10000,58196,48182
2019-10-23,10025,10485,9955,10485,152083,55525
2019-10-24,10600,10670,10515,10625,163995,43375
2019-10-25,10645,10685,10525,10665,96054,43154
2019-10-28,10720,10750,10450,10680,91043,41585
2019-10-29,10660,10780,10595,10665,90108,40500
2019-10-30,10650,10690,10585,10670,46418,35029
2019-10-31,10680,10730,10580,10650,53618,28157
2019-11-01,10655,10760,10580,10730,40428,25248
2019-11-04,10805,11185,10755,11000,115395,26106
2019-11-05,11015,11075,10870,10955,39389,22775
2019-11-06,10965,10975,10760,10765,36401,19823
2019-11-07,10785,10890,10720,10855,24433,18630
2019-11-08,10915,11080,10870,11045,72625,32798
2019-11-11,11010,11050,10870,10990,61270,33171
2019-11-12,10980,11030,10905,10980,43869,33090
2019-11-13,10960,11115,10890,11045,48764,34442
