时间,开盘,最高,最低,收盘,成交量,持仓量
2011-04-18,2478.0,2478.0,2403.0,2425.0,28567,0
2011-04-19,2411.0,2566.0,2411.0,2559.0,66351,0
2011-04-20,2553.0,2562.0,2498.0,2514.0,102231,0
2011-04-21,2528.0,2573.0,2506.0,2521.0,87753,0
2011-04-22,2531.0,2541.0,2501.0,2514.0,48788,0
2011-04-25,2514.0,2529.0,2475.0,2508.0,64109,0
2011-04-26,2518.0,2537.0,2495.0,2507.0,32477,0
2011-04-27,2493.0,2507.0,2481.0,2500.0,22168,0
2011-04-28,2510.0,2517.0,2493.0,2498.0,16019,0
2011-04-29,2508.0,2525.0,2504.0,2515.0,13143,0
2011-05-02,2515.0,2521.0,2501.0,2507.0,8827,0
2011-05-04,2508.0,2532.0,2504.0,2522.0,13297,0
2011-05-05,2519.0,2524.0,2498.0,2507.0,7259,0
2011-05-06,2487.0,2497.0,2471.0,2486.0,6948,0
2011-05-09,2433.0,2467.0,2433.0,2449.0,7368,0
2011-05-10,2458.0,2462.0,2451.0,2458.0,3620,0
2011-05-11,2463.0,2466.0,2453.0,2465.0,3945,0
2011-05-12,2471.0,2516.0,2464.0,2492.0,15039,0
2011-05-13,2468.0,2530.0,2466.0,2522.0,30913,0
2011-05-16,2538.0,2622.0,2531.0,2597.0,67404,0
2011-05-17,2593.0,2601.0,2574.0,2585.0,28528,0
2011-05-18,2592.0,2595.0,2549.0,2569.0,28830,0
2011-05-19,2578.0,2601.0,2548.0,2550.0,35193,0
2011-05-20,2572.0,2572.0,2541.0,2545.0,23801,0
2011-05-23,2542.0,2570.0,2540.0,2554.0,18524,0
2011-05-24,2566.0,2567.0,2528.0,2535.0,9491,0
2011-05-25,2534.0,2558.0,2523.0,2558.0,15252,0
2011-05-26,2560.0,2563.0,2544.0,2553.0,9103,0
2011-05-27,2563.0,2576.0,2555.0,2556.0,9777,0
2011-05-30,2557.0,2558.0,2529.0,2549.0,10854,0
2011-05-31,2548.0,2560.0,2538.0,2543.0,8209,0
2011-06-01,2548.0,2556.0,2539.0,2542.0,7604,0
2011-06-02,2548.0,2553.0,2535.0,2537.0,6804,0
2011-06-03,2529.0,2541.0,2515.0,2517.0,9316,0
2011-06-06,2518.0,2522.0,2498.0,2504.0,8432,0
2011-06-08,2499.0,2519.0,2490.0,2509.0,7800,0
2011-06-09,2516.0,2516.0,2498.0,2504.0,3962,0
2011-06-10,2508.0,2511.0,2496.0,2496.0,4011,0
2011-06-13,2502.0,2502.0,2484.0,2489.0,6450,0
2011-06-14,2484.0,2499.0,2473.0,2498.0,4680,0
2011-06-15,2491.0,2531.0,2491.0,2512.0,21175,0
2011-06-16,2517.0,2520.0,2499.0,2501.0,4868,0
2011-06-17,2493.0,2499.0,2477.0,2485.0,4710,0
2011-06-20,2488.0,2498.0,2482.0,2485.0,3220,0
2011-06-21,2484.0,2488.0,2458.0,2459.0,4168,0
2011-06-22,2466.0,2478.0,2448.0,2473.0,5173,0
2011-06-23,2468.0,2474.0,2461.0,2466.0,3068,0
2011-06-24,2465.0,2500.0,2458.0,2496.0,11628,0
2011-06-27,2496.0,2501.0,2478.0,2480.0,6684,0
2011-06-28,2474.0,2496.0,2469.0,2486.0,6215,0
2011-06-29,2494.0,2516.0,2480.0,2481.0,9393,0
2011-06-30,2488.0,2491.0,2466.0,2474.0,5453,0
2011-07-01,2477.0,2490.0,2474.0,2487.0,5542,0
2011-07-04,2486.0,2495.0,2473.0,2474.0,3699,0
2011-07-05,2477.0,2503.0,2471.0,2494.0,7811,0
2011-07-06,2495.0,2500.0,2484.0,2493.0,4725,0
2011-07-07,2499.0,2523.0,2494.0,2520.0,11246,0
2011-07-08,2518.0,2526.0,2485.0,2489.0,9604,0
2011-07-11,2494.0,2500.0,2480.0,2485.0,6160,0
2011-07-12,2481.0,2494.0,2480.0,2482.0,3202,0
2011-07-13,2484.0,2493.0,2468.0,2475.0,3615,0
2011-07-14,2482.0,2491.0,2478.0,2488.0,2844,0
2011-07-15,2494.0,2494.0,2475.0,2483.0,3187,0
2011-07-18,2481.0,2487.0,2476.0,2481.0,1648,0
2011-07-19,2485.0,2492.0,2481.0,2483.0,2985,0
2011-07-20,2484.0,2488.0,2480.0,2483.0,1405,0
2011-07-21,2486.0,2492.0,2474.0,2476.0,3147,0
2011-07-22,2478.0,2478.0,2461.0,2464.0,3064,0
2011-07-25,2457.0,2471.0,2454.0,2464.0,1507,0
2011-07-26,2463.0,2476.0,2460.0,2464.0,2268,0
2011-07-27,2468.0,2471.0,2458.0,2467.0,1215,0
2011-07-28,2471.0,2471.0,2461.0,2462.0,1171,0
2011-07-29,2461.0,2472.0,2458.0,2463.0,2070,0
2011-08-01,2466.0,2469.0,2462.0,2463.0,1131,0
2011-08-02,2465.0,2466.0,2460.0,2463.0,874,0
2011-08-03,2463.0,2465.0,2460.0,2463.0,739,0
2011-08-04,2464.0,2466.0,2461.0,2464.0,656,0
