时间,开盘,最高,最低,收盘,成交量,持仓量
2000-07-18,2692,2692,2528,2528,582,0
2000-07-19,2545,2678,2545,2570,651,0
2000-07-20,2572,2572,2543,2544,78,0
2000-07-21,2553,2558,2538,2548,38,0
2000-07-24,2522,2530,2502,2502,359,0
2000-07-25,2502,2509,2462,2508,68,0
2000-07-26,2470,2530,2469,2530,150,0
2000-07-27,2522,2522,2472,2482,73,0
2000-07-28,2424,2482,2424,2480,88,0
2000-07-31,2492,2492,2412,2413,261,0
2000-08-01,2462,2519,2402,2464,2938,0
2000-08-02,2422,2422,2422,2422,25,0
2000-08-03,2415,2417,2374,2374,828,0
2000-08-04,2391,2392,2367,2367,785,0
2000-08-07,2363,2363,2321,2359,6413,0
2000-08-08,2323,2339,2267,2312,7823,0
2000-08-09,2312,2362,2312,2327,7695,0
2000-08-10,2312,2352,2312,2352,12118,0
2000-08-11,2312,2337,2312,2337,6954,0
2000-08-14,2322,2377,2322,2352,5961,0
2000-08-15,2332,2361,2332,2342,6299,0
2000-08-16,2322,2362,2282,2342,2733,0
2000-08-17,2342,2362,2327,2332,4221,0
2000-08-18,2342,2347,2332,2342,6927,0
2000-08-21,2342,2342,2332,2342,6283,0
2000-08-22,2322,2342,2322,2332,5866,0
2000-08-23,2332,2342,2312,2342,5855,0
2000-08-24,2362,2362,2334,2344,7138,0
2000-08-25,2312,2322,2309,2312,5999,0
2000-08-28,2330,2352,2330,2342,5812,0
2000-08-29,2332,2393,2332,2392,13942,0
2000-08-30,2382,2387,2372,2377,11129,0
2000-08-31,2342,2372,2342,2367,13315,0
2000-09-01,2352,2402,2352,2382,13061,0
2000-09-04,2362,2389,2362,2389,3413,0
2000-09-05,2452,2457,2392,2457,8227,0
2000-09-06,2442,2442,2402,2412,7053,0
2000-09-07,2542,2542,2477,2542,12901,0
2000-09-08,2562,2622,2560,2560,9040,0
2000-09-11,2572,2580,2543,2562,8731,0
2000-09-12,2567,2634,2552,2562,10115,0
2000-09-13,2562,2582,2562,2572,9550,0
