时间,开盘,最高,最低,收盘,成交量,持仓量
2019-08-12,9805,10175,9720,9820,43809,9728
2019-08-13,9780,9980,9775,9855,9478,8932
2019-08-14,9840,10220,9785,9995,18558,11507
2019-08-15,9935,9980,9850,9865,6098,11523
2019-08-16,9860,9940,9830,9875,5077,11352
2019-08-19,9885,10080,9885,10030,6610,12748
2019-08-20,10030,10035,9945,9975,2545,12504
2019-08-21,9960,9975,9835,9890,4546,11878
2019-08-22,9890,9925,9815,9910,1828,11574
2019-08-23,9860,9905,9780,9815,3156,10851
2019-08-26,9840,9940,9700,9915,5260,10781
2019-08-27,9915,9980,9860,9900,2362,10983
2019-08-28,9930,10095,9860,9970,7170,12287
2019-08-29,9965,10030,9905,9940,2039,12453
2019-08-30,9925,10080,9925,10065,3655,12369
2019-09-02,10080,10195,10000,10045,6053,12059
2019-09-03,10025,10135,10010,10135,2567,12248
2019-09-04,10110,10475,9900,10395,9723,13091
2019-09-05,10405,10455,10210,10310,3706,13305
2019-09-06,10325,10400,10160,10190,5078,13308
2019-09-09,10195,10300,10115,10265,2301,13502
2019-09-10,10280,10315,10155,10270,2282,13418
2019-09-11,10260,10270,10155,10220,2402,13518
2019-09-12,10190,10250,10120,10145,2057,13520
2019-09-16,10225,10380,10200,10255,2501,13375
2019-09-17,10275,10415,10210,10255,3081,13496
2019-09-18,10250,10260,10050,10145,3659,12694
2019-09-19,10145,10195,10080,10105,1438,12502
2019-09-20,10075,10120,10025,10100,2253,12049
2019-09-23,10100,10265,10085,10210,2767,12259
2019-09-24,10210,10240,10100,10100,1076,12021
2019-09-25,10105,10125,10000,10025,3397,11124
2019-09-26,9995,10060,9910,9910,2783,10949
2019-09-27,9910,9930,9700,9785,6451,10466
2019-09-30,9785,9875,9740,9745,2118,10320
2019-10-08,9725,9850,9600,9680,2740,10721
2019-10-09,9665,9790,9665,9770,2545,11138
2019-10-10,9780,9880,9700,9860,2643,11086
2019-10-11,9850,9865,9780,9860,3352,11419
2019-10-14,9845,9990,9795,9975,2792,11426
2019-10-15,9975,9975,9810,9820,1659,11633
2019-10-16,9815,9920,9790,9820,2164,11996
2019-10-17,9850,9950,9810,9845,2152,12002
2019-10-18,9850,10070,9850,9980,2995,12265
2019-10-21,9985,10010,9905,9960,1564,12267
2019-10-22,9955,10145,9945,10020,6014,13498
2019-10-23,10020,10150,9975,10015,4093,13835
2019-10-24,9970,10035,9920,9990,2229,13998
2019-10-25,9990,10040,9930,9985,2173,14161
2019-10-28,9970,10085,9850,9920,3437,14033
2019-10-29,9865,9975,9865,9945,1401,13874
2019-10-30,9890,10085,9890,10085,3421,14344
2019-10-31,10060,10165,10025,10075,4931,14777
2019-11-01,10010,10080,9930,10040,2861,14668
2019-11-04,10040,10060,9960,9990,1653,14654
2019-11-05,9985,10230,9985,10225,5514,15223
2019-11-06,10230,10260,10125,10165,2602,14949
2019-11-07,10155,10240,10060,10130,4195,15061
2019-11-08,10095,10220,10045,10165,5748,15233
2019-11-11,10050,10235,10050,10120,3479,15192
2019-11-12,10125,10325,10050,10310,5284,15544
2019-11-13,10295,10325,10180,10225,4438,15105
2019-11-14,10225,10385,10180,10360,3295,15238
2019-11-15,10450,10485,10115,10120,4611,16672
2019-11-18,10100,10420,10100,10385,4665,17298
2019-11-19,10430,10430,10295,10360,6007,16721
2019-11-20,10305,10850,10305,10780,11363,17917
2019-11-21,10750,10845,10670,10785,13098,19338
2019-11-22,10785,11105,10770,10845,17387,18914
2019-11-25,10850,11640,10160,10970,17276,18525
2019-11-26,11000,11035,10690,10825,14458,21933
2019-11-27,10800,10945,10735,10790,13181,22851
2019-11-28,10710,10850,10710,10785,8911,23399
2019-11-29,10785,10790,10625,10650,8734,23996
2019-12-02,10565,10825,10565,10690,7566,24376
2019-12-03,10695,10865,10600,10810,7874,24970
2019-12-04,10800,10920,10695,10905,7725,25305
2019-12-05,10895,11285,10850,11185,16657,26170
2019-12-06,11120,11345,11120,11325,14597,27618
2019-12-09,11355,11465,11150,11230,12417,26546
2019-12-10,11165,11390,11165,11245,12006,26567
2019-12-11,11285,11320,11065,11315,9433,26564
2019-12-12,11315,11350,11195,11290,8545,26406
2019-12-13,11260,11450,11050,11090,17685,25585
2019-12-16,11110,11155,10970,11010,13482,25187
2019-12-17,11020,11210,11000,11165,8655,25301
2019-12-18,11215,11215,10960,10970,6820,25273
2019-12-19,10995,11020,10660,10760,11137,24654
2019-12-20,10700,10890,10700,10815,7092,24367
2019-12-23,10815,10855,10660,10705,10061,23011
2019-12-24,10680,10820,10670,10780,4783,22597
2019-12-25,10820,10855,10745,10775,7428,22795
2019-12-26,10780,10780,10580,10740,9135,20634
2019-12-27,10775,10830,10725,10780,6689,18896
2019-12-30,10745,10975,10720,10810,7736,18118
2019-12-31,10780,10885,10745,10790,3323,17796
2020-01-02,10780,10930,10555,10600,5081,17693
2020-01-03,10640,10720,10580,10600,3643,17086
2020-01-06,10560,10940,10560,10840,5959,15880
2020-01-07,10975,11040,10880,11015,9886,18065
2020-01-08,11035,11105,10920,11080,11188,18271
2020-01-09,11060,11095,10825,10850,11420,18004
2020-01-10,10850,10970,10845,10935,6053,18526
2020-01-13,10940,11190,10910,11160,11816,19263
2020-01-14,11195,11210,10925,11045,12659,19729
2020-01-15,11045,11130,10905,11050,13306,19684
2020-01-16,11085,11085,10910,11010,10128,19150
2020-01-17,11015,11195,10900,10980,15098,19555
2020-01-20,10970,11040,10795,10815,12602,19348
2020-01-21,10755,10875,10500,10560,14979,18146
2020-01-22,10560,10630,10055,10360,17834,16307
2020-01-23,10375,10450,10110,10110,9769,16200
2020-02-03,9360,9785,9350,9350,1906,15911
2020-02-04,8300,9310,8300,9285,9747,15899
2020-02-05,9270,9560,9270,9445,11900,17426
2020-02-06,9550,9650,9445,9630,9008,18931
2020-02-07,9565,9665,9500,9540,7676,19457
2020-02-10,9550,9605,9455,9540,8708,19482
2020-02-11,9580,9685,9555,9640,11152,19514
2020-02-12,9690,9700,9520,9660,9505,19602
2020-02-13,9650,9710,9580,9620,7693,19776
2020-02-14,9660,9660,9535,9645,7692,19234
2020-02-17,9720,9875,9635,9855,6483,18883
2020-02-18,9820,9885,9725,9780,6648,18430
2020-02-19,9750,9800,9710,9740,3828,18172
2020-02-20,9800,9830,9650,9805,5940,17714
2020-02-21,9805,9920,9780,9860,6757,17053
2020-02-24,9840,9840,9495,9580,10633,15184
2020-02-25,9495,9775,9405,9715,7275,14048
2020-02-26,9650,9675,9515,9535,5630,11857
2020-02-27,9535,9600,9455,9480,3274,10171
2020-02-28,9350,9435,8980,8995,13114,15577
2020-03-02,8700,9445,8700,9375,9070,16897
2020-03-03,9680,9825,9300,9370,7260,17407
2020-03-04,9210,9430,9200,9380,4916,17844
2020-03-05,9405,9460,9370,9390,5904,18297
2020-03-06,9355,9355,9180,9205,5134,18846
2020-03-09,8850,8855,8585,8650,11248,20169
2020-03-10,8850,9090,8780,9000,7744,20038
2020-03-11,8935,9115,8845,8885,3977,19958
2020-03-12,8960,8975,8650,8830,7473,20454
2020-03-13,8700,8985,8525,8950,9829,21515
2020-03-16,8800,8915,8655,8680,6509,20638
2020-03-17,8605,8785,8535,8645,7372,20511
2020-03-18,8750,8825,8305,8380,7688,20441
2020-03-19,8355,8410,7905,8110,12606,19607
2020-03-20,8200,8390,8080,8230,7136,18744
2020-03-23,7975,7985,7760,7800,6250,18211
2020-03-24,7995,8050,7750,7950,7476,16383
2020-03-25,8055,8120,7920,8060,5911,13629
2020-03-26,7860,8155,7825,7975,6735,15736
2020-03-27,8000,8100,7850,7870,3843,15841
2020-03-30,7745,7755,7555,7630,4366,15968
2020-03-31,7645,7845,7645,7765,7562,13182
2020-04-01,7715,7815,7345,7620,5928,11963
2020-04-02,7590,7745,7400,7705,5284,11287
2020-04-03,7810,7840,7560,7665,4512,10881
2020-04-07,7930,7930,7745,7805,3535,10736
2020-04-08,7800,8300,7685,8200,8132,10950
2020-04-09,8110,8275,8080,8205,5825,10444
2020-04-10,8000,8280,7975,8265,4120,9730
2020-04-13,8435,8435,7960,8005,3993,9289
2020-04-14,8035,8230,8030,8130,3406,8961
2020-04-15,8280,8330,8185,8220,3417,12330
2020-04-16,8230,8275,8020,8060,3124,12299
2020-04-17,8195,8285,8130,8245,4892,11717
2020-04-20,8190,8455,8120,8380,4560,11895
2020-04-21,8305,8355,7900,8045,4890,11582
2020-04-22,7850,7980,7790,7950,5130,11388
2020-04-23,8005,8220,8000,8155,6670,9568
2020-04-24,8310,8310,8105,8160,4739,6847
2020-04-27,7960,8275,7920,8100,6784,9408
2020-04-28,8070,8115,7920,8030,3952,9844
2020-04-29,8095,8140,7950,7995,2232,10119
2020-04-30,8030,8140,8030,8050,5116,8642
2020-05-06,8165,8345,8045,8320,4457,9383
2020-05-07,8300,8550,8235,8440,7136,9685
2020-05-08,8460,8550,8290,8355,3875,9502
2020-05-11,8240,8650,8200,8515,5540,12507
2020-05-12,8440,8570,8275,8340,4757,12415
2020-05-13,8430,8430,8200,8385,4187,12766
2020-05-14,8450,8450,8190,8245,3489,13199
2020-05-15,8255,8460,8220,8395,3430,13413
2020-05-18,8400,8470,8285,8335,3831,13871
2020-05-19,8380,8625,8365,8440,6502,13821
2020-05-20,8450,8595,8430,8580,5095,14384
2020-05-21,8540,8700,8470,8520,4884,14472
2020-05-22,8520,8560,8280,8290,9079,10620
2020-05-25,8300,8420,8300,8375,3856,9099
2020-05-26,8360,8475,8320,8430,4175,7497
2020-05-27,8430,8490,8340,8405,2412,7254
2020-05-28,8475,8485,8295,8455,3974,6629
2020-05-29,8495,8500,8335,8340,3426,5848
2020-06-01,8595,8830,8510,8790,6613,10814
2020-06-02,8715,8910,8715,8765,4377,11483
2020-06-03,8715,8880,8715,8835,3045,12467
2020-06-04,8825,8845,8660,8720,4251,13427
2020-06-05,8695,9120,8695,9105,7191,15001
2020-06-08,9105,9155,8980,9030,5008,15453
2020-06-09,9080,9100,8960,9080,5245,15627
2020-06-10,9005,9070,8965,8985,3601,15928
2020-06-11,9040,9115,8870,8940,4933,16302
2020-06-12,8900,8905,8650,8815,4866,16709
2020-06-15,8805,8865,8625,8640,5292,17451
2020-06-16,8690,8800,8650,8765,3194,17770
2020-06-17,8840,8840,8640,8710,3606,17970
2020-06-18,8700,8750,8670,8735,3089,18116
2020-06-19,8775,8880,8695,8880,4157,18385
2020-06-22,8880,8950,8725,8760,4302,18356
2020-06-23,8770,8845,8725,8835,3953,18131
2020-06-24,8850,8850,8740,8740,5418,15407
2020-06-29,8670,8690,8445,8475,5114,16526
2020-06-30,8520,8645,8500,8595,3930,16729
2020-07-01,8555,8650,8555,8620,4337,17606
2020-07-02,8550,8770,8550,8715,5757,19433
2020-07-03,8705,8860,8705,8860,4812,20068
2020-07-06,8805,8980,8760,8965,7076,20429
2020-07-07,8955,9075,8855,8885,7913,20487
2020-07-08,8880,9000,8865,8910,7088,20637
2020-07-09,8910,9050,8830,8840,6998,21244
2020-07-10,8915,8930,8635,8675,6415,21150
2020-07-13,8700,8870,8685,8805,5116,21104
2020-07-14,8765,8875,8695,8775,4779,20989
2020-07-15,8730,8885,8720,8785,3965,21132
2020-07-16,8825,8925,8575,8605,8431,21325
2020-07-17,8585,8700,8585,8620,6118,21264
2020-07-20,8650,8675,8520,8565,6109,20551
2020-07-21,8635,8730,8575,8705,4741,19736
2020-07-22,8745,8775,8620,8655,8198,18560
2020-07-23,8630,8640,8510,8550,6156,17613
2020-07-24,8620,8700,8490,8540,12120,12225
2020-07-27,8550,8720,8535,8700,3660,11176
2020-07-28,8690,8770,8615,8730,5363,8000
2020-07-29,8755,8880,8675,8880,4951,6354
2020-07-30,8975,9240,8950,9020,11893,21022
2020-07-31,8990,9060,8795,8935,6253,21471
2020-08-03,8935,9040,8900,9040,4120,21955
2020-08-04,9015,9100,8950,8975,6091,22459
2020-08-05,8955,9050,8915,9025,4269,22371
2020-08-06,9100,9515,9020,9485,10617,23530
2020-08-07,9480,9740,9435,9740,21885,27346
2020-08-10,9720,9755,9315,9510,24325,25354
2020-08-11,9490,9615,9205,9255,11952,24207
2020-08-12,9310,9380,9110,9275,11804,23594
2020-08-13,9310,9370,9190,9225,5887,23896
2020-08-14,9230,9395,9200,9375,9127,23645
2020-08-17,9430,9515,9300,9400,8376,23323
2020-08-18,9445,9515,9385,9420,7109,23141
2020-08-19,9390,9480,9360,9380,11068,22088
2020-08-20,9430,9440,9260,9360,14340,20329
2020-08-21,9355,9430,9250,9355,10264,19080
2020-08-24,9365,9575,9240,9565,14160,18416
2020-08-25,9530,9625,9425,9455,14402,16550
2020-08-26,9415,9545,9405,9465,9100,11111
2020-08-27,9455,9745,9455,9550,8693,8715
2020-08-28,9665,9755,9585,9720,5284,24156
2020-08-31,9740,9990,9735,9865,10744,24912
2020-09-01,9900,9920,9780,9895,6223,24945
2020-09-02,9835,10005,9810,9855,7752,25430
2020-09-03,9840,9840,9590,9610,9784,25409
2020-09-04,9645,9680,9420,9595,8158,25798
2020-09-07,9600,9635,9410,9455,8856,25167
2020-09-08,9455,9585,9445,9475,5638,24556
2020-09-09,9420,9480,9100,9135,11022,23857
2020-09-10,9155,9285,9150,9200,6687,23464
2020-09-11,9240,9265,9160,9190,5109,23131
2020-09-14,9245,9355,9180,9315,5221,23018
2020-09-15,9280,9435,9280,9345,6087,22918
2020-09-16,9385,9500,9295,9465,6176,22569
2020-09-17,9470,9480,9265,9295,6767,22945
2020-09-18,9335,9490,9245,9460,7531,22581
2020-09-21,9440,9570,9365,9455,7877,22658
2020-09-22,9400,9440,9080,9240,9648,21803
2020-09-23,9295,9355,9130,9280,10105,19089
2020-09-24,9280,9450,9260,9375,11213,15736
2020-09-25,9370,9820,9305,9540,20684,10460
2020-09-28,9500,9595,9425,9520,7684,7241
2020-09-29,9730,9730,9500,9560,7205,21301
2020-09-30,9580,9620,9355,9360,7848,21346
2020-10-09,9500,9720,9500,9665,7947,21661
2020-10-12,9640,10100,9640,9995,11962,21861
2020-10-13,9935,10140,9885,10005,9095,22640
2020-10-14,10065,10270,10015,10185,12918,23234
2020-10-15,10195,10320,10055,10115,12075,24085
2020-10-16,10115,10450,9945,10130,21368,23822
2020-10-19,10150,10810,9970,10180,29570,23828
2020-10-20,10160,10800,10060,10715,24667,23630
2020-10-21,10780,10960,10525,10670,31577,22052
2020-10-22,10710,11050,10620,10850,35036,20183
2020-10-23,10890,11005,10785,10855,26637,17479
2020-10-26,10870,11550,10870,11275,30442,10556
2020-10-27,11505,11770,11350,11600,25129,7655
2020-10-28,11805,12275,11775,12145,53113,28591
2020-10-29,12000,12105,11280,11280,61498,29602
2020-10-30,11050,11570,10850,10865,66269,29621
2020-11-02,10915,11140,10420,10520,61818,31333
2020-11-03,10480,10765,10470,10525,45622,31772
2020-11-04,10550,10855,10350,10580,49461,31456
2020-11-05,10630,10750,10360,10475,36308,32611
2020-11-06,10700,10710,10390,10415,25578,31237
2020-11-09,10465,10530,10055,10295,43654,30121
2020-11-10,10475,10610,10265,10355,34631,30556
2020-11-11,10370,10675,10310,10610,25162,30025
2020-11-12,10585,10825,10505,10810,23356,29955
2020-11-13,10770,10850,10540,10610,23932,28919
2020-11-16,10545,10755,10545,10680,15503,28671
2020-11-17,10780,10790,10385,10445,17495,28125
2020-11-18,10400,10490,10275,10405,13052,27949
2020-11-19,10430,10585,10360,10510,14141,26900
2020-11-20,10450,10590,10350,10370,12203,26061
2020-11-23,10430,10665,10395,10630,13016,24143
2020-11-24,10640,10695,10385,10690,15395,21163
2020-11-25,10690,10825,10585,10700,15771,16411
2020-11-26,10705,10790,10570,10625,11565,12669
2020-11-27,10625,11255,10600,11195,16792,8909
2020-11-30,11175,11275,10875,10895,12264,7358
2020-12-01,11065,11275,11015,11130,12119,27517
2020-12-02,11180,11480,11070,11370,20200,28246
2020-12-03,11390,11410,11050,11090,19394,27409
2020-12-04,11100,11185,10545,10715,27358,27805
2020-12-07,10725,11000,10700,10745,17639,27685
2020-12-08,10730,10855,10505,10515,12510,28240
2020-12-09,10535,10550,10250,10270,21010,29468
2020-12-10,10320,10490,10230,10260,12544,28686
2020-12-11,10250,10540,10215,10465,13925,28431
2020-12-14,10475,10760,10370,10620,16991,28608
2020-12-15,10620,10625,10405,10505,10749,27181
2020-12-16,10585,10670,10335,10360,12383,26624
2020-12-17,10395,10645,10385,10555,13593,25003
2020-12-18,10520,10795,10480,10780,15205,24045
2020-12-21,10810,11070,10665,10865,19375,22277
2020-12-22,10765,10765,10060,10060,23927,20294
2020-12-23,10160,10325,10090,10280,16142,18638
2020-12-24,10315,10515,10235,10370,14045,15752
2020-12-25,10355,10535,10295,10340,11600,13165
2020-12-28,10375,10400,9980,10165,12855,10460
2020-12-29,10300,10395,10000,10045,16097,25908
2020-12-30,10075,10195,9910,10130,15462,26642
2020-12-31,10130,10355,10030,10310,12213,27264
2021-01-04,10455,10735,10405,10660,12432,27517
2021-01-05,10590,10690,10425,10685,14435,27859
2021-01-06,10715,10805,10515,10700,14412,28599
2021-01-07,10690,11100,10450,11015,22413,29967
2021-01-08,10970,11065,10800,10990,12354,30425
2021-01-11,10970,11185,10290,10440,25747,29833
2021-01-12,10460,10610,10330,10530,13522,29567
2021-01-13,10580,10690,10465,10670,15910,29109
2021-01-14,10620,10715,10405,10645,16136,28545
2021-01-15,10645,11085,10640,10945,19843,29202
2021-01-18,10920,11160,10820,11020,17211,29106
2021-01-19,10995,11005,10705,10820,13911,28303
2021-01-20,10870,10990,10745,10850,12030,27436
2021-01-21,10840,11160,10725,10890,17892,26377
2021-01-22,10900,10930,10535,10635,20135,24277
2021-01-25,10600,10710,10455,10505,16224,22147
2021-01-26,10510,10700,10390,10390,19968,16462
2021-01-27,10445,10675,10415,10595,12156,13388
2021-01-28,10565,10590,10285,10450,11450,11908
2021-01-29,10530,10690,10520,10660,11607,9933
2021-02-01,10720,10920,10705,10850,18531,26552
2021-02-02,10815,10935,10590,10675,20711,28047
2021-02-03,10700,10745,10505,10515,19307,28922
2021-02-04,10585,10845,10520,10810,21193,29155
2021-02-05,10790,10975,10760,10920,23035,30372
2021-02-08,10945,11130,10805,10920,23565,30176
