时间,开盘,最高,最低,收盘,成交量,持仓量
2018-03-26,440.0,447.1,426.3,429.9,20328,1557
2018-03-27,429.9,431.7,412.6,424.0,20301,1968
2018-03-28,429.0,429.2,406.5,410.4,33599,3037
2018-03-29,410.5,412.0,401.6,409.7,33334,3866
2018-03-30,407.4,421.7,405.0,420.3,29281,3529
2018-04-02,420.5,421.3,413.8,416.6,12322,3268
2018-04-03,414.3,414.3,400.5,402.5,26413,4273
2018-04-04,403.8,406.9,399.0,401.5,22117,4582
2018-04-09,398.2,403.5,397.7,402.3,7735,4752
2018-04-10,404.2,415.2,403.8,413.5,30845,4496
2018-04-11,415.0,421.8,414.1,417.8,33217,6231
2018-04-12,421.0,429.9,416.9,428.7,55038,7237
2018-04-13,425.3,428.7,423.3,427.0,31546,6740
2018-04-16,427.7,431.0,423.5,424.4,32642,6747
2018-04-17,426.0,427.5,421.5,427.4,27500,6501
2018-04-18,422.8,431.4,420.6,429.7,40169,7314
2018-04-19,435.0,444.0,432.5,440.6,42358,7964
2018-04-20,440.7,443.0,435.3,436.7,34215,7808
2018-04-23,435.1,441.2,432.4,439.7,35169,7993
2018-04-24,434.2,449.2,432.2,447.3,45795,9162
2018-04-25,447.0,448.9,436.6,438.0,49496,8092
2018-04-26,437.1,445.0,434.4,441.4,54628,8143
2018-04-27,444.0,445.5,440.4,444.2,40291,8128
2018-05-02,439.7,444.4,436.0,443.5,16727,8627
2018-05-03,441.6,448.0,439.1,447.0,55599,10696
2018-05-04,443.8,448.8,442.8,446.9,50347,10228
2018-05-07,448.3,461.6,448.3,458.3,67501,11393
2018-05-08,460.6,462.4,456.9,459.1,55463,11672
2018-05-09,459.1,466.6,445.3,465.2,122134,12880
2018-05-10,466.3,478.4,466.0,476.4,82728,15310
2018-05-11,474.2,474.3,467.0,471.2,82843,14068
2018-05-14,471.7,472.6,462.7,465.6,84129,12244
2018-05-15,467.5,475.6,467.5,472.8,75024,13936
2018-05-16,478.0,478.0,470.5,473.1,96918,12944
2018-05-17,472.0,485.3,470.5,481.9,110103,15507
2018-05-18,485.0,488.6,481.9,486.5,89663,14960
2018-05-21,484.8,486.0,477.0,482.4,87834,13446
2018-05-22,480.0,486.5,478.3,485.1,66508,14530
2018-05-23,486.0,493.8,482.6,484.6,109047,15478
2018-05-24,484.5,487.4,478.1,485.0,108584,15207
2018-05-25,481.1,483.8,476.6,477.4,90187,15482
2018-05-28,467.4,470.5,456.6,462.8,122797,15169
2018-05-29,462.5,466.0,459.2,463.8,72600,15083
2018-05-30,467.0,468.3,458.5,463.9,112081,15380
2018-05-31,466.0,476.8,465.3,472.5,117272,16912
2018-06-01,470.5,483.9,469.9,474.7,137503,16993
2018-06-04,472.9,473.1,467.6,470.9,101105,15591
2018-06-05,468.7,471.4,461.6,466.2,106188,15129
2018-06-06,461.7,466.7,455.8,465.0,119232,16540
2018-06-07,461.0,466.0,458.0,465.8,125840,16632
2018-06-08,467.7,474.2,466.6,468.3,114262,17145
2018-06-11,469.0,476.3,466.8,467.5,96395,16423
2018-06-12,466.4,473.0,463.9,472.1,117792,16939
2018-06-13,469.2,471.7,463.0,464.5,108949,16100
2018-06-14,466.3,472.0,464.4,468.1,111498,15505
2018-06-15,470.7,472.2,465.5,467.2,91127,14335
2018-06-19,463.1,465.5,458.0,460.3,37894,15985
2018-06-20,461.1,465.7,458.8,464.2,111567,16495
2018-06-21,465.0,468.7,458.7,459.8,156222,17098
2018-06-22,458.0,461.8,453.7,459.0,135583,17796
2018-06-25,464.4,472.0,464.3,466.5,127048,17200
