时间,涨跌,涨跌幅,成交额,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,WILLIAMS_R14,KDJ_K,KDJ_D,KDJ_J,CCI20,PLUS_DI14,MINUS_DI14,ADX14,STOCH_RSI,PSAR,HHV20,LLV20,BREAKOUT_LONG20,BREAKOUT_SHORT20,VOL_MA20,OBV,VWAP20,BUY_PRESSURE,SELL_PRESSURE,PRICE_EFFICIENCY,LIQUIDITY_RATIO,DRAWDOWN_20,MAX_DRAWDOWN_20,SHARPE_RATIO_20,VAR_95_1D,RSI_UPPER_DYNAMIC,RSI_LOWER_DYNAMIC,PANIC_INDEX,MARKET_BREADTH,OI_MA20,OI_CHANGE,OI_CHANGE_PCT,OI_CONCENTRATION,ROLLOVER_PRESSURE,MONEY_FLOW_DIRECTION,PRICE_OI_DIVERGENCE
2006-01-09,,,,6052.0,6052.0,6052.0,6052.0,6052.0,150.0,0.0,0.0,0.0,0.0,6052.0,6052.0,6052.0,0.0,-39.333333333333336,60.666666666666664,60.666666666666664,60.66666666666667,0.0,0.0,0.0,0.0,0.0,6052.0,6052.0,6052.0,0,0,14261.0,0,6041.333333333333,0.6066666666666667,0.3933333333333333,0.0,95073.33333333334,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,142610000000000.0,0.0,0.0
2006-01-10,,,,6041.5,6041.5,6041.5,6041.5,6050.0,101.5,0.0,-1.6752136752129445,-0.3350427350425889,-1.3401709401703557,6071.198484809835,6011.801515190165,6041.5,59.39696961966911,-53.333333333333336,56.0,59.111111111111114,49.77777777777777,-35.35533905932737,0.0,0.0,0.0,0.0,6111.0,6052.0,6031.0,0,1,8993.5,-3726,6040.504734901132,0.32075471698113206,0.6792452830188679,0.39622641509433965,70301.88679245283,-0.34699272967614325,-0.34699272967614325,-11.224972160321824,-0.3296430931923361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89935000000000.0,0.0,0.0
2006-01-11,,,,6046.333333333333,6046.333333333333,6046.333333333333,6046.333333333333,6050.571428571428,101.0,54.34782608695652,-0.9743102734546483,-0.4628962427250008,-0.5114140307296475,6073.190982771312,6019.475683895354,6046.333333333333,53.71529887595716,-36.666666666666664,58.44444444444444,58.888888888888886,57.55555555555554,-55.879875622705455,0.0,17.491749174917494,33.333333333333336,100.0,5961.0,6056.0,6031.0,1,0,7538.666666666667,903,6037.535933262587,0.95,0.05,0.25,46290.0,0.0,-0.34699272967614325,0.9372848135726524,-0.3122934567085289,32.60869565217392,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,75386666666666.67,0.0,0.0
2006-01-12,,,,6040.0,6040.0,6040.0,6040.0,6047.755102040816,92.25,30.86419753086419,-3.2060889726644746,-1.0115347887128956,-2.194554183951579,6073.506218328344,6006.493781671656,6040.0,67.0124366566888,-60.0,52.2962962962963,56.691358024691354,43.50617283950618,-30.97068305489998,1.3550135501355014,14.363143631436314,45.689655172413794,56.790123456790106,6111.0,6056.0,6021.0,0,1,7230.75,-5404,6035.674572716061,0.3181818181818182,0.6818181818181818,0.5303030303030303,95560.60606060606,-0.5779392338177036,-0.5779392338177036,-4.683707128312389,-0.5432972581964696,40.25764895330113,0.0,0.0,0.25,0.0,0.0,0.0,0.0,72307500000000.0,0.0,0.0
2006-01-13,,,,6027.8,6027.8,6027.8,6027.8,6041.206997084549,83.0,20.325203252032523,-8.26852426152982,-2.4629326832762803,-5.805591578253539,6089.596440026914,5966.003559973086,6027.8,123.59288005382768,-88.0,38.8641975308642,50.74897119341564,15.094650205761326,-85.23592238332463,1.2048192771084338,18.795180722891565,54.14208558371416,37.39837398373984,6111.0,6056.0,5979.0,0,1,6591.8,-9440,6030.0814850774195,0.0975609756097561,0.9024390243902439,1.024390243902439,98439.0243902439,-1.2714663143989502,-1.2714663143989502,-8.465314995364722,-0.6736346828372852,35.56092324208266,0.0,0.0,0.2,0.0,0.0,0.0,0.0,65918000000000.0,0.0,0.0
2006-01-16,,,,6006.0,6013.666666666667,6013.666666666667,6013.666666666667,6031.853949743163,77.5,15.723270440251568,-15.012386390852953,-4.972823424791615,-10.039562966061338,6102.261625138731,5925.071708194603,6013.666666666667,177.18991694412762,-97.67441860465117,26.684658819025753,42.72753373528568,-5.40109101349411,-85.21954653018948,1.0752688172043012,24.516129032258064,60.38451109567217,28.930817610062885,6111.0,6056.0,5943.0,0,1,6066.166666666667,-12878,6023.178329715819,0.08,0.92,0.72,68760.0,-1.8659180977542933,-1.8659180977542933,-11.108360818461405,-0.6736957527729737,30.86419753086419,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,44272000000000.0,0.0,0.0
2006-01-17,,,,6028.6,6032.285714285715,6032.285714285715,6032.285714285715,6042.5345259581,95.28571428571429,62.77777777777777,-4.090769695696508,-4.796412678972594,0.7056429832760855,6159.7518629198485,5904.819565651581,6032.285714285715,254.93229726826758,-0.4854368932038835,50.96129358161588,45.472120350729085,61.93964004338946,82.37360394476858,24.137931034482758,17.091454272863565,54.19971080927745,100.0,5939.0,6144.0,5943.0,1,0,7333.428571428572,2059,6044.9496954585,0.9928571428571429,0.007142857142857143,1.4357142857142857,106692.85714285713,0.0,-1.8659180977542933,2.4639506138129725,-0.6689231943091323,49.65110037573807,3.1446540880503164,1.0,0.2857142857142857,0.0,0.0,0.0,0.0,66694000000000.0,0.0,0.0
2006-01-18,,,,6049.0,6048.0,6048.0,6048.0,6053.5312377716145,89.75,64.1711229946524,5.629480076242544,-2.7112341279295666,8.34071420417211,6195.744953986833,5900.255046013167,6048.0,295.48990797366605,-10.612244897959183,63.770114088424194,51.571451596627455,88.16743907201769,93.47779402313283,27.855153203342617,15.877437325905293,50.84831383709866,100.0,5939.0,6158.0,5943.0,1,0,8363.5,17633,6071.341708016978,0.49019607843137253,0.5098039215686274,0.27450980392156865,305372.54901960783,0.0,-1.8659180977542933,2.666235880955241,-0.6641506358452909,59.405797101449274,6.289308176100629,1.0,0.375,0.0,0.0,0.0,0.0,88584000000000.0,0.0,0.0
2006-01-19,,,,6105.0,6076.111111111111,6076.111111111111,6076.111111111111,6077.099691317175,98.77777777777777,74.08123791102514,24.58831417019701,2.7486755316957487,21.83963863850126,6294.167169143087,5858.055053079135,6076.111111111111,436.11211606395227,-7.17948717948718,73.45358033245374,58.86549450856955,102.62975198022214,105.41252990849742,38.80764904386952,12.823397075365579,50.79036756471224,100.0,5939.0,6301.0,5943.0,1,0,10354.0,43911,6126.610395696062,0.821656050955414,0.17834394904458598,0.910828025477707,167375.79617834397,0.0,-1.8659180977542933,5.067179395523925,-0.6593780773814495,63.33511586452762,9.433962264150942,1.0,0.4444444444444444,0.0,0.0,0.0,0.0,128526000000000.0,0.0,0.0
2006-01-20,,,,6176.4,6102.1,6102.1,6102.1,6101.756863572682,100.7,75.72463768115942,41.953915649276496,10.589723555211897,31.3641920940646,6365.315078933138,5838.884921066863,6102.1,526.4301578662744,-15.889830508474576,77.00577671881096,64.91225524531669,101.1928196657995,99.98124275289834,42.403177755710026,11.320754716981131,51.4969130633242,100.0,5939.0,6336.0,5943.0,1,0,12593.8,76663,6183.839214534136,0.3644067796610169,0.635593220338983,0.2966101694915254,277559.3220338983,0.0,-1.8659180977542933,5.487491493841806,-0.6546055189176081,66.15314597792695,12.578616352201255,1.0,0.5,0.0,0.0,0.0,0.0,185958000000000.0,0.0,0.0
2006-01-23,,,,6290.2,6148.1,6139.363636363636,6139.363636363636,6140.827638470522,107.81818181818181,81.5934065934066,69.12122261266632,22.296023366702784,46.82519924596353,6490.720176336664,5788.007096390608,6139.363636363636,702.7130799460556,-0.5208333333333334,84.49690670142954,71.4404723973543,110.60977530958002,105.46839258937271,44.772344013490724,9.612141652613827,52.69275394763088,100.0,5939.0,6512.0,5943.0,1,0,13952.363636363636,104201,6237.457437427785,0.9680851063829787,0.031914893617021274,1.872340425531915,292957.44680851063,0.0,-1.8659180977542933,7.366771552401981,-0.6498329604537667,74.08123791102514,15.723270440251568,1.0,0.5454545454545454,0.0,0.0,0.0,0.0,234158000000000.0,0.0,0.0
