时间,开盘,最高,最低,收盘,成交量,持仓量
2013-07-05,6625,6625,6610,6610,652,11356
2013-07-08,6610,6630,6610,6630,830,11113
2013-07-09,6630,6640,6590,6590,2132,10329
2013-07-10,6595,6605,6545,6570,2697,10118
2013-07-11,6570,6650,6560,6625,3050,9103
2013-07-12,6635,6680,6610,6660,4221,7830
2013-07-15,6650,6685,6640,6655,1823,8154
2013-07-16,6635,6685,6635,6685,1168,7717
2013-07-18,6695,6745,6685,6735,2366,7364
2013-07-19,6810,6840,6800,6825,2093,9070
2013-07-22,6850,6875,6800,6805,3746,8849
2013-07-23,6815,6845,6810,6835,2995,9283
2013-07-24,6830,6845,6820,6830,1506,9195
2013-07-25,6835,6845,6805,6830,1738,9372
2013-07-26,6815,6835,6795,6815,1359,9688
2013-07-29,6835,6860,6710,6725,5410,9107
2013-07-30,6735,6735,6650,6650,5245,9037
2013-07-31,6660,6670,6630,6645,3054,9613
2013-08-01,6635,6685,6635,6680,2139,9733
2013-08-02,6695,6775,6695,6765,4831,9317
2013-08-05,6785,6790,6760,6780,2677,9128
2013-08-06,6770,6815,6745,6810,3218,10093
2013-08-07,6800,6805,6765,6785,2362,10350
2013-08-08,6760,6795,6750,6780,2350,10851
2013-08-09,6780,6825,6775,6815,3654,12087
2013-08-12,6815,6825,6780,6805,3494,13022
2013-08-13,6820,6820,6780,6805,1967,13397
2013-08-14,6815,6850,6795,6845,8057,17273
2013-08-15,6855,6860,6755,6755,9131,17373
2013-08-16,6755,6775,6710,6715,5883,16871
2013-08-19,6725,6770,6710,6720,5483,17023
2013-08-20,6720,6755,6710,6715,3071,16980
2013-08-21,6710,6710,6500,6680,10179,15468
2013-08-22,6695,6695,6660,6675,2262,14575
2013-08-23,6660,6680,6650,6655,3187,14702
2013-08-26,6670,6675,6630,6660,3249,13982
2013-08-27,6675,6730,6670,6700,6100,13738
2013-08-28,6705,6710,6680,6700,3901,13137
2013-08-29,6725,6820,6660,6675,34446,12075
2013-08-30,6700,6700,6640,6665,5902,11542
2013-09-02,6650,6690,6615,6640,3728,11892
2013-09-03,6640,6670,6635,6655,2281,12459
2013-09-04,6660,6675,6635,6660,1739,12401
2013-09-05,6660,6665,6630,6650,1470,12659
2013-09-06,6650,6690,6640,6680,2552,12542
2013-09-09,6685,6695,6655,6670,2612,12855
2013-09-10,6680,6690,6660,6660,2171,13431
2013-09-11,6640,6665,6630,6635,2813,13588
2013-09-12,6620,6675,6615,6670,2444,13425
2013-09-13,6665,6665,6640,6645,948,13347
2013-09-16,6650,6675,6635,6635,2718,12819
2013-09-17,6625,6645,6595,6615,2375,13276
2013-09-18,6610,6630,6605,6615,2960,12455
2013-09-19,6610,6615,6580,6580,2006,12160
2013-09-20,6610,6615,6580,6580,2006,12160
2013-09-23,6610,6615,6580,6580,2006,12160
2013-09-24,6590,6595,6550,6585,2639,12436
2013-09-25,6580,6595,6550,6555,2134,12827
2013-09-26,6555,6555,6530,6545,1543,12900
2013-09-27,6535,6550,6490,6520,5163,14158
2013-09-30,6515,6535,6510,6520,1816,13911
2013-10-01,6505,6540,6500,6520,2173,12876
2013-10-09,6530,6540,6520,6530,1422,12921
2013-10-10,6535,6545,6530,6535,1286,13087
2013-10-11,6525,6555,6520,6550,1534,12746
2013-10-14,6565,6580,6535,6535,3945,11406
2013-10-15,6535,6560,6530,6560,1712,11780
2013-10-16,6570,6575,6510,6515,1978,11839
2013-10-17,6505,6545,6490,6535,1470,11887
2013-10-18,6545,6560,6515,6515,1765,12138
2013-10-21,6520,6530,6505,6515,1515,12858
2013-10-22,6520,6540,6500,6500,3759,14734
2013-10-23,6495,6510,6410,6425,6773,16532
2013-10-24,6410,6435,6410,6430,1605,16104
2013-10-25,6400,6425,6390,6420,1639,16068
2013-10-28,6425,6470,6375,6405,3974,15552
2013-10-29,6405,6415,6390,6405,898,15403
2013-10-30,6410,6425,6390,6420,1861,15012
2013-10-31,6410,6425,6395,6395,3396,16153
2013-11-01,6385,6395,6340,6365,3057,16085
2013-11-04,6370,6395,6355,6360,2983,16617
2013-11-05,6355,6375,6340,6370,2565,16583
2013-11-06,6365,6375,6350,6355,1849,16678
2013-11-07,6350,6350,6325,6325,1852,16920
2013-11-08,6330,6335,6315,6335,1623,16991
2013-11-11,6330,6390,6325,6355,4938,15887
2013-11-12,6355,6370,6355,6365,1125,16028
2013-11-13,6365,6370,6350,6350,1330,15837
2013-11-14,6345,6350,6325,6350,1406,15432
2013-11-15,6345,6360,6295,6300,2496,14983
2013-11-18,6305,6350,6305,6325,2609,13972
2013-11-19,6335,6345,6315,6315,1758,13772
2013-11-20,6310,6330,6305,6325,779,13631
2013-11-21,6335,6355,6320,6355,2239,13703
2013-11-22,6345,6355,6330,6350,1382,13744
2013-11-25,6355,6375,6340,6375,3193,12665
2013-11-26,6360,6390,6355,6370,1565,12232
2013-11-27,6380,6385,6355,6365,1462,11735
2013-11-28,6360,6365,6335,6335,1021,11519
2013-11-29,6335,6340,6320,6325,897,11344
2013-12-02,6330,6340,6310,6315,1077,10909
2013-12-03,6315,6330,6315,6320,644,10664
2013-12-04,6330,6330,6310,6320,524,10579
2013-12-05,6325,6340,6325,6330,1003,10129
2013-12-06,6545,6560,6520,6520,1539,11236
