时间,开盘,最高,最低,收盘,成交量,持仓量
2006-01-10,5300,5350,5070,5096,69319,0
2006-01-11,5072,5108,5050,5086,41396,0
2006-01-12,5072,5094,5060,5080,35393,0
2006-01-13,5070,5094,5066,5086,39811,0
2006-01-16,5080,5080,5032,5036,33430,0
2006-01-17,5056,5076,5038,5058,39227,0
2006-01-18,5058,5066,5030,5030,33401,0
2006-01-19,5008,5058,5008,5028,40041,0
2006-01-20,5036,5104,5036,5092,46943,0
2006-01-23,5080,5148,5060,5098,47657,0
2006-01-24,5132,5142,5084,5096,42945,0
2006-01-25,5100,5100,5008,5050,38308,0
2006-01-26,5046,5076,5030,5058,36190,0
2006-01-27,5038,5060,5020,5026,35600,0
2006-01-30,5046,5068,5026,5050,29850,0
2006-02-07,5198,5236,5150,5200,42057,0
2006-02-08,5150,5176,5110,5164,39946,0
2006-02-09,5100,5106,4970,5064,43457,0
2006-02-10,5080,5106,5048,5058,38800,0
2006-02-13,5122,5122,5060,5080,31465,0
2006-02-14,5088,5088,5054,5070,31727,0
2006-02-15,5070,5086,5064,5078,38662,0
2006-02-16,5062,5078,5052,5068,42227,0
2006-02-17,5062,5100,5062,5088,43850,0
2006-02-20,5100,5160,5096,5144,49053,0
2006-02-21,5196,5196,5148,5150,49369,0
2006-02-22,5150,5172,5122,5122,45526,0
2006-02-23,5110,5144,5102,5136,44466,0
2006-02-24,5090,5130,5086,5104,48741,0
2006-02-27,5112,5236,5112,5202,61164,0
2006-02-28,5180,5194,5136,5150,51842,0
2006-03-01,5182,5220,5166,5174,53150,0
2006-03-02,5230,5290,5196,5268,75053,0
2006-03-03,5284,5308,5252,5268,60853,0
2006-03-06,5318,5346,5284,5296,59597,0
2006-03-07,5280,5282,5238,5238,43909,0
2006-03-08,5250,5278,5226,5238,54035,0
2006-03-09,5204,5228,5196,5220,50976,0
2006-03-10,5200,5236,5192,5236,39679,0
2006-03-13,5228,5252,5204,5206,45862,0
2006-03-14,5212,5246,5204,5232,69836,0
2006-03-15,5206,5230,5202,5216,73630,0
2006-03-16,5228,5240,5218,5222,85376,0
2006-03-17,5220,5220,5200,5210,78483,0
2006-03-20,5196,5202,5170,5172,65196,0
2006-03-21,5172,5190,5170,5186,63300,0
2006-03-22,5166,5172,5140,5150,58610,0
2006-03-23,5150,5172,5148,5162,60900,0
2006-03-24,5150,5156,5142,5154,70229,0
2006-03-27,5162,5184,5162,5168,62420,0
2006-03-28,5148,5174,5148,5166,62563,0
2006-03-29,5166,5168,5146,5148,65060,0
2006-03-30,5164,5166,5150,5154,65111,0
2006-03-31,5160,5160,5132,5150,72642,0
2006-04-03,5170,5180,5148,5156,82450,0
2006-04-04,5108,5118,5074,5112,82587,0
2006-04-05,5086,5110,5086,5092,65160,0
2006-04-06,5086,5098,5078,5092,77757,0
2006-04-07,5096,5104,5076,5076,77758,0
2006-04-10,5084,5084,5018,5036,72696,0
2006-04-11,5022,5022,4994,4996,77741,0
2006-04-12,5000,5046,4996,5028,77952,0
2006-04-13,5040,5042,5026,5036,77304,0
2006-04-14,5004,5028,5004,5020,83982,0
2006-04-17,5030,5038,5022,5032,70218,0
2006-04-18,5030,5050,5024,5032,78428,0
2006-04-19,5036,5040,5002,5028,72945,0
2006-04-20,5048,5096,5044,5078,83818,0
2006-04-21,5108,5108,5070,5078,80612,0
2006-04-24,5080,5080,5050,5054,75556,0
2006-04-25,5098,5146,5080,5124,78436,0
2006-04-26,5096,5130,5090,5122,85629,0
2006-04-27,5140,5154,5104,5130,77504,0
2006-04-28,5120,5150,5116,5120,73479,0
2006-05-01,5150,5184,5134,5178,64523,0
2006-05-09,5160,5184,5140,5152,72672,0
2006-05-10,5120,5174,5120,5166,69912,0
2006-05-11,5152,5210,5152,5190,68564,0
2006-05-12,5186,5268,5186,5236,69265,0
2006-05-15,5302,5340,5230,5246,74015,0
2006-05-16,5260,5268,5216,5250,81108,0
2006-05-17,5160,5220,5152,5180,89297,0
2006-05-18,5220,5280,5202,5236,82057,0
2006-05-19,5230,5230,5176,5216,101653,0
