时间,开盘,最高,最低,收盘,成交量,持仓量
2007-03-27,28600,29600,28580,29220,10803,0
2007-03-28,29550,29870,29500,29725,8599,0
2007-03-29,29495,29700,29420,29565,4513,0
2007-03-30,29510,29560,29010,29030,4595,0
2007-04-02,29430,29500,29180,29390,7070,0
2007-04-03,29390,29445,29250,29290,3023,0
2007-04-04,28935,28980,28660,28780,6371,0
2007-04-05,29250,29260,28980,28985,4615,0
2007-04-06,29700,30245,29540,30245,9902,0
2007-04-09,30245,31515,30105,31385,31450,0
2007-04-10,31550,32195,31550,32195,17041,0
2007-04-11,32850,33865,31980,32745,66499,0
2007-04-12,32800,32990,32020,32395,59072,0
2007-04-13,32535,33220,32370,32955,57069,0
2007-04-16,32000,32265,31600,31720,29904,0
2007-04-17,32055,32360,31860,32245,29836,0
2007-04-18,32100,32640,31855,32160,38205,0
2007-04-19,33590,33590,33400,33590,12754,0
2007-04-20,33790,34030,31560,32790,73111,0
2007-04-23,33000,33100,31990,32960,64604,0
2007-04-24,33280,33660,32400,32840,55407,0
2007-04-25,33980,34100,33460,34065,51331,0
2007-04-26,33335,33480,32860,33070,62925,0
2007-04-27,33365,33500,33120,33305,33865,0
2007-04-30,32500,32700,32160,32270,36940,0
2007-05-01,32310,32775,32120,32700,25489,0
2007-05-09,33705,33705,33705,33705,329,0
2007-05-10,35590,35590,34500,34555,50093,0
2007-05-11,34190,34745,34105,34710,55157,0
2007-05-14,33800,34000,33205,33330,43916,0
2007-05-15,33860,33900,33330,33410,36485,0
2007-05-16,32600,32630,32255,32255,29794,0
2007-05-17,32300,32530,31435,31830,46509,0
2007-05-18,30525,31015,30520,30520,31363,0
2007-05-21,29720,30140,28900,29355,69852,0
2007-05-22,29545,30725,29545,30725,29128,0
2007-05-23,31350,32000,30565,30895,70424,0
2007-05-24,30110,30350,29920,30130,37199,0
2007-05-25,29910,30600,29910,30585,45943,0
2007-05-28,29310,29880,29310,29800,30974,0
2007-05-29,30650,30650,30650,30650,1168,0
2007-05-30,31200,31200,30120,30245,32416,0
2007-05-31,30200,30655,30005,30125,38433,0
2007-06-01,30365,30780,30295,30705,27865,0
2007-06-04,31010,31095,30490,30590,28541,0
2007-06-05,30900,30965,30400,30400,21703,0
2007-06-06,30980,31010,30730,30905,28471,0
2007-06-07,30600,30850,30535,30675,17604,0
2007-06-08,30300,30485,30010,30140,21799,0
2007-06-11,30100,30250,29780,29925,17580,0
2007-06-12,30010,30280,29730,30270,26504,0
2007-06-13,30490,30530,29960,29980,18691,0
2007-06-14,29900,30050,29780,29965,10969,0
2007-06-15,30010,30045,29730,29780,9456,0
2007-06-18,29850,29900,28820,28870,25349,0
2007-06-19,29080,29360,28785,29280,25767,0
2007-06-20,28980,28980,28615,28750,19384,0
2007-06-21,28610,29050,28580,28905,20037,0
2007-06-22,28805,28880,28680,28810,12021,0
2007-06-25,28480,28490,28110,28160,22990,0
2007-06-26,28205,28220,27090,27090,31701,0
2007-06-27,27270,27290,26445,26455,56764,0
2007-06-28,26000,26000,25625,25625,24467,0
2007-06-29,25410,26620,25410,26575,103930,0
2007-07-02,26565,27015,25850,26695,133748,0
2007-07-03,26415,26750,26165,26620,87057,0
2007-07-04,27100,27535,27000,27535,61941,0
2007-07-05,27255,27440,26605,26655,96889,0
2007-07-06,26900,27000,26510,26670,81222,0
2007-07-09,26555,26580,26150,26250,59755,0
2007-07-10,26325,27070,26320,26990,58953,0
2007-07-11,26810,26885,26520,26565,60105,0
2007-07-12,26510,26510,26215,26360,46222,0
2007-07-13,26880,26955,26560,26940,41757,0
2007-07-16,27000,27325,26830,27210,42372,0
2007-07-17,27255,27420,27030,27070,43661,0
2007-07-18,26800,27000,26680,26980,27523,0
2007-07-19,26910,27450,26900,27340,38586,0
2007-07-20,27340,27535,27250,27400,35680,0
2007-07-23,27810,28470,27810,28470,43045,0
2007-07-24,28820,29880,28780,29230,77295,0
2007-07-25,28950,29030,28470,28530,79164,0
2007-07-26,28600,28970,28600,28900,56775,0
2007-07-27,28400,29195,28280,29120,68080,0
2007-07-30,28310,28815,28120,28275,79149,0
2007-07-31,28300,28600,28255,28425,47025,0
2007-08-01,28530,28800,28530,28700,33804,0
2007-08-02,28820,29000,28100,28110,44552,0
2007-08-03,28450,28495,28040,28395,49146,0
2007-08-06,28250,28400,28150,28350,26203,0
2007-08-07,27350,27660,27350,27470,31530,0
2007-08-08,27960,27960,27580,27630,25621,0
2007-08-09,27960,28030,27710,27820,26644,0
2007-08-10,27860,28390,27805,28390,37466,0
2007-08-13,27950,28155,27780,27965,42619,0
2007-08-14,28160,28215,28000,28120,22789,0
2007-08-15,28150,28170,27905,28005,17368,0
2007-08-16,27710,27850,27630,27750,15052,0
2007-08-17,27610,27875,26700,27100,54305,0
2007-08-20,26120,26280,26120,26120,14625,0
2007-08-21,26405,27080,26405,27020,45186,0
2007-08-22,26790,26975,26555,26770,43830,0
2007-08-23,26700,26890,26485,26800,37324,0
2007-08-24,27490,27650,27320,27600,35846,0
2007-08-27,27605,27610,27210,27240,37453,0
2007-08-28,27550,27790,27430,27725,35071,0
2007-08-29,27780,27780,27400,27450,27615,0
2007-08-30,27015,27300,26880,27290,29212,0
2007-08-31,27445,27675,27445,27535,27154,0
2007-09-03,27500,27750,27345,27735,32396,0
2007-09-04,27830,27980,27730,27750,28893,0
2007-09-05,27750,27920,27470,27790,32380,0
2007-09-06,27900,27900,27390,27450,51712,0
2007-09-07,27020,27095,26620,26800,56751,0
2007-09-10,27065,27065,26865,26905,37085,0
2007-09-11,26660,26660,26030,26100,40820,0
2007-09-12,25710,26360,25710,26295,78005,0
2007-09-13,26295,26500,26100,26170,62574,0
2007-09-14,25900,25950,25630,25670,38538,0
2007-09-17,26100,26100,25825,26065,47298,0
2007-09-18,26000,26480,25950,26435,46139,0
2007-09-19,26100,26380,26050,26125,51735,0
2007-09-20,26650,26780,26420,26695,55151,0
2007-09-21,26800,27080,26695,26820,47402,0
2007-09-24,26700,26780,26500,26715,38055,0
2007-09-25,26630,26845,26600,26720,29951,0
2007-09-26,26760,26850,26635,26840,31220,0
2007-09-27,26845,26900,26690,26740,25911,0
2007-09-28,26945,27005,26850,26980,35372,0
2007-10-01,27080,27125,26910,27125,34300,0
