date,symbol,close,volume,open_interest,roll_yield
20250606,RR2509,3643.0,816.0,3134.0,-0.072687446915071
20250606,RR2510,3621.0,28.0,198.0,-0.0697966238572772
20250606,RR2511,3600.0,75.0,76.0,0.0465761604956685
20250606,RR2512,3614.0,23.0,92.0,-0.023265482983618
20250606,RR2601,3607.0,36.0,187.0,0.0099764450806511
20250606,RR2602,3610.0,20.0,148.0,0.0
20250609,RR2509,3646.0,1128.0,3586.0,-0.0792518015429961
20250609,RR2510,3622.0,4.0,198.0,-0.0364994059908112
20250609,RR2511,3611.0,20.0,77.0,0.0364994059908106
20250609,RR2512,3622.0,5.0,91.0,-0.0364994059908112
20250609,RR2601,3611.0,7.0,185.0,0.029871402508307
20250609,RR2602,3620.0,2.0,148.0,0.0
20250610,RR2509,3642.0,880.0,3846.0,-0.0660794621303346
20250610,RR2510,3622.0,6.0,199.0,-0.0564550646917108
20250610,RR2511,3605.0,6.0,79.0,0.0564550646917119
20250610,RR2512,3622.0,1.0,91.0,-0.029854887548621
20250610,RR2601,3613.0,6.0,190.0,0.0265413434160113
20250610,RR2602,3621.0,2.0,148.0,0.0
20250611,RR2509,3627.0,410.0,3963.0,-0.0730090747662343
20250611,RR2510,3605.0,19.0,194.0,-0.0033291718898515
20250611,RR2511,3604.0,17.0,84.0,0.0365701903756387
20250611,RR2512,3615.0,5.0,90.0,-0.0265854442719127
20250611,RR2601,3607.0,6.0,188.0,0.0265854442719115
20250611,RR2602,3615.0,2.0,148.0,0.0
20250612,RR2509,3625.0,473.0,4131.0,-0.0597346366228335
20250612,RR2510,3607.0,42.0,205.0,-0.0233106775120519
20250612,RR2511,3600.0,45.0,90.0,0.0199833518287349
20250612,RR2512,3606.0,15.0,94.0,-0.0166504813726481
20250612,RR2601,3601.0,14.0,187.0,0.0233042104036694
20250612,RR2602,3608.0,17.0,158.0,0.0
20250613,RR2509,3623.0,891.0,4361.0,-0.0630968660021845
20250613,RR2510,3604.0,21.0,207.0,0.003329171889851
20250613,RR2511,3605.0,29.0,96.0,0.0
20250613,RR2512,3605.0,7.0,94.0,0.0
20250613,RR2601,3605.0,19.0,183.0,0.0066555742138755
20250613,RR2602,3607.0,12.0,157.0,0.0
20250616,RR2509,3617.0,536.0,4551.0,-0.0532004196386726
20250616,RR2510,3601.0,30.0,221.0,0.0399224099851792
20250616,RR2511,3613.0,5.0,95.0,-0.0232719286125311
20250616,RR2512,3606.0,14.0,101.0,0.016627410170342
20250616,RR2601,3611.0,37.0,191.0,0.0
20250617,RR2509,3616.0,534.0,4757.0,-0.0049799421865611
20250617,RR2511,3613.0,1.0,95.0,-0.0432552804412661
20250617,RR2512,3600.0,2.0,103.0,0.0366107619990769
20250617,RR2601,3611.0,3.0,191.0,0.0
20250617,RR2602,3611.0,5.0,158.0,0.0
20250618,RR2509,3613.0,432.0,4949.0,-0.0499237996459422
20250618,RR2510,3598.0,4.0,220.0,-0.0066740830018443
